iter	Passed	Remaining
0	1	1587
1	2	1111
2	4	1382
3	6	1523
4	8	1604
5	8	1432
6	9	1408
7	11	1455
8	13	1435
9	14	1403
10	15	1436
11	17	1473
12	19	1510
13	21	1540
14	23	1550
15	24	1531
16	25	1497
17	27	1507
18	29	1524
19	30	1518
20	32	1536
21	34	1544
22	36	1553
23	38	1564
24	40	1574
25	42	1581
26	43	1583
27	45	1586
28	47	1592
29	48	1582
30	50	1588
31	51	1561
32	52	1535
33	54	1545
34	56	1552
35	58	1561
36	58	1533
37	60	1528
38	61	1506
39	63	1512
40	64	1518
41	66	1524
42	67	1513
43	70	1521
44	72	1529
45	73	1534
46	75	1540
47	78	1547
48	79	1552
49	80	1535
50	82	1541
51	84	1547
52	86	1541
53	88	1546
54	90	1552
55	92	1557
56	94	1561
57	96	1565
58	98	1566
59	100	1569
60	102	1573
61	104	1573
62	105	1568
63	106	1564
64	108	1566
65	110	1570
66	112	1571
67	114	1570
68	115	1563
69	118	1568
70	120	1571
71	122	1572
72	123	1573
73	125	1575
74	127	1576
75	129	1577
76	131	1580
77	134	1583
78	135	1585
79	137	1586
80	139	1581
81	141	1583
82	143	1585
83	145	1584
84	147	1583
85	148	1582
86	150	1583
87	153	1587
88	155	1587
89	157	1588
90	158	1586
91	160	1587
92	162	1588
93	164	1589
94	166	1588
95	168	1587
96	170	1586
97	172	1587
98	174	1588
99	176	1587
100	178	1588
101	180	1588
102	182	1587
103	184	1586
104	185	1582
105	187	1581
106	188	1577
107	190	1577
108	193	1582
109	195	1580
110	197	1581
111	199	1580
112	201	1580
113	203	1582
114	205	1582
115	207	1583
116	209	1583
117	211	1583
118	213	1583
119	216	1585
120	218	1585
121	220	1585
122	222	1587
123	224	1587
124	226	1588
125	228	1588
126	231	1589
127	232	1581
128	234	1582
129	236	1582
130	238	1582
131	240	1582
132	242	1582
133	244	1582
134	246	1581
135	248	1581
136	250	1581
137	253	1581
138	255	1581
139	257	1580
140	259	1579
141	261	1578
142	263	1577
143	265	1577
144	267	1577
145	269	1577
146	271	1577
147	273	1576
148	276	1576
149	278	1576
150	280	1575
151	282	1575
152	284	1575
153	285	1569
154	287	1569
155	289	1568
156	292	1568
157	294	1567
158	296	1566
159	298	1565
160	300	1564
161	302	1563
162	304	1562
163	306	1562
164	308	1561
165	310	1560
166	312	1558
167	313	1551
168	315	1550
169	317	1550
170	319	1548
171	321	1547
172	323	1546
173	325	1545
174	327	1544
175	329	1543
176	331	1543
177	333	1541
178	335	1540
179	338	1540
180	340	1539
181	342	1538
182	344	1537
183	346	1534
184	348	1533
185	350	1532
186	352	1531
187	354	1529
188	356	1528
189	358	1526
190	360	1527
191	362	1526
192	364	1524
193	366	1523
194	368	1522
195	370	1521
196	373	1520
197	375	1520
198	377	1518
199	379	1517
200	381	1516
201	383	1515
202	385	1514
203	387	1512
204	389	1511
205	391	1509
206	393	1508
207	395	1506
208	397	1505
209	400	1504
210	402	1504
211	404	1503
212	406	1502
213	408	1501
214	410	1500
215	413	1499
216	415	1498
217	416	1492
218	418	1491
219	420	1489
220	422	1488
221	424	1486
222	426	1485
223	428	1483
224	430	1482
225	432	1481
226	434	1480
227	436	1478
228	438	1477
229	441	1476
230	443	1475
231	445	1475
232	447	1474
233	450	1473
234	451	1471
235	453	1469
236	455	1467
237	458	1466
238	460	1465
239	462	1464
240	464	1462
241	466	1461
242	468	1460
243	470	1459
244	472	1457
245	475	1455
246	477	1454
247	479	1453
248	481	1451
249	483	1450
250	485	1448
251	487	1446
252	489	1445
253	491	1443
254	493	1442
255	495	1440
256	497	1438
257	499	1437
258	502	1436
259	504	1434
260	506	1433
261	508	1431
262	510	1429
263	512	1428
264	514	1426
265	516	1425
266	518	1424
267	520	1422
268	522	1420
269	524	1419
270	526	1417
271	529	1415
272	531	1415
273	533	1413
274	535	1411
275	537	1409
276	539	1408
277	541	1407
278	543	1405
279	545	1403
280	547	1401
281	550	1400
282	552	1399
283	554	1397
284	556	1395
285	558	1393
286	560	1391
287	562	1390
288	564	1388
289	566	1387
290	568	1385
291	570	1383
292	572	1381
293	574	1379
294	576	1377
295	578	1376
296	580	1374
297	582	1373
298	584	1371
299	586	1369
300	588	1367
301	590	1365
302	593	1364
303	595	1362
304	597	1361
305	599	1359
306	601	1357
307	603	1356
308	605	1354
309	607	1352
310	609	1350
311	611	1348
312	613	1347
313	615	1345
314	617	1343
315	619	1341
316	622	1340
317	624	1338
318	626	1337
319	628	1334
320	630	1333
321	632	1331
322	634	1329
323	636	1328
324	639	1327
325	641	1325
326	643	1324
327	645	1323
328	648	1321
329	650	1319
330	652	1318
331	654	1317
332	656	1315
333	658	1313
334	660	1311
335	663	1310
336	665	1308
337	666	1306
338	668	1304
339	670	1302
340	672	1300
341	674	1297
342	676	1296
343	678	1293
344	680	1291
345	682	1289
346	684	1287
347	686	1286
348	688	1283
349	690	1281
350	691	1279
351	693	1277
352	696	1275
353	697	1273
354	699	1271
355	701	1269
