feature,importance,model,importance_type,rank
project_prf_functional_size,3131.1096080389693,BayesianRidge,coef_ (absolute values),1
tech_tf_tools_used,546.674542315892,BayesianRidge,coef_ (absolute values),2
project_prf_application_type,489.20871332768183,BayesianRidge,coef_ (absolute values),3
tech_tf_language_type_4gl,415.2122864928027,BayesianRidge,coef_ (absolute values),4
project_prf_development_type_enhancement,368.4882146097909,BayesianRidge,coef_ (absolute values),5
tech_tf_primary_programming_language,332.0745433714059,BayesianRidge,coef_ (absolute values),6
process_pmf_docs,303.73817081994724,BayesianRidge,coef_ (absolute values),7
project_prf_development_type_new_development,298.0475121809185,BayesianRidge,coef_ (absolute values),8
tech_tf_language_type_3gl,273.20586239799474,BayesianRidge,coef_ (absolute values),9
tech_tf_architecture_stand_alone,266.2879820267871,BayesianRidge,coef_ (absolute values),10
external_eef_organisation_type_financial_property_and_business_services,238.70211072114182,BayesianRidge,coef_ (absolute values),11
tech_tf_development_platform_mf,233.62840574317954,BayesianRidge,coef_ (absolute values),12
project_prf_relative_size_xs,211.53696268299305,BayesianRidge,coef_ (absolute values),13
project_prf_relative_size_missing,203.3440637133266,BayesianRidge,coef_ (absolute values),14
tech_tf_client_server_yes,193.99163217745482,BayesianRidge,coef_ (absolute values),15
project_prf_relative_size_l,189.22518987215798,BayesianRidge,coef_ (absolute values),16
project_prf_application_group_business_application,178.82388862091977,BayesianRidge,coef_ (absolute values),17
project_prf_year_of_project,165.83639284292713,BayesianRidge,coef_ (absolute values),18
tech_tf_development_platform_mr,162.57413742866254,BayesianRidge,coef_ (absolute values),19
project_prf_application_group_missing,160.34715042236553,BayesianRidge,coef_ (absolute values),20
external_eef_organisation_type_banking,149.41298188037516,BayesianRidge,coef_ (absolute values),21
project_prf_relative_size_s,140.84352898892564,BayesianRidge,coef_ (absolute values),22
tech_tf_client_server_don_t_know,135.5991681941453,BayesianRidge,coef_ (absolute values),23
project_prf_case_tool_used_missing,132.9156000805658,BayesianRidge,coef_ (absolute values),24
project_prf_relative_size_m2,109.91948969674749,BayesianRidge,coef_ (absolute values),25
tech_tf_development_platform_multi,104.13464586575506,BayesianRidge,coef_ (absolute values),26
project_prf_case_tool_used_no,103.67944724714965,BayesianRidge,coef_ (absolute values),27
tech_tf_language_type_missing,92.96576313099962,BayesianRidge,coef_ (absolute values),28
tech_tf_dbms_used_yes,89.30882351674141,BayesianRidge,coef_ (absolute values),29
tech_tf_language_type_apg,86.79629269083325,BayesianRidge,coef_ (absolute values),30
tech_tf_architecture_missing,83.40275878246756,BayesianRidge,coef_ (absolute values),31
project_prf_relative_size_m1,74.83949157997505,BayesianRidge,coef_ (absolute values),32
tech_tf_dbms_used_no,74.38209891760403,BayesianRidge,coef_ (absolute values),33
tech_tf_client_server_no,67.76083598328493,BayesianRidge,coef_ (absolute values),34
external_eef_organisation_type_financial,67.15246674332903,BayesianRidge,coef_ (absolute values),35
tech_tf_client_server_missing,66.38289799333536,BayesianRidge,coef_ (absolute values),36
external_eef_organisation_type_banking_insurance_stock,59.36678541661808,BayesianRidge,coef_ (absolute values),37
tech_tf_development_platform_missing,54.83720255510093,BayesianRidge,coef_ (absolute values),38
project_prf_relative_size_xxl,54.37584523207821,BayesianRidge,coef_ (absolute values),39
project_prf_case_tool_used_don_t_know,49.56995560686288,BayesianRidge,coef_ (absolute values),40
project_prf_max_team_size,48.83602842599076,BayesianRidge,coef_ (absolute values),41
tech_tf_dbms_used_missing,48.69320127818777,BayesianRidge,coef_ (absolute values),42
external_eef_industry_sector_financial,45.66757581590002,BayesianRidge,coef_ (absolute values),43
project_prf_development_type_not_defined,45.06149375352945,BayesianRidge,coef_ (absolute values),44
project_prf_relative_size_xl,41.74877522264052,BayesianRidge,coef_ (absolute values),45
external_eef_organisation_type_missing,38.908070783624545,BayesianRidge,coef_ (absolute values),46
tech_tf_architecture_multi_tier_client_server,38.48069885767116,BayesianRidge,coef_ (absolute values),47
tech_tf_development_platform_proprietary,37.45775824409523,BayesianRidge,coef_ (absolute values),48
process_pmf_development_methodologies_missing,36.54954588766172,BayesianRidge,coef_ (absolute values),49
project_prf_development_type_re_development,35.92481333348353,BayesianRidge,coef_ (absolute values),50
project_prf_relative_size_xxs,33.424185231221244,BayesianRidge,coef_ (absolute values),51
tech_tf_architecture_client_server,32.54957913813956,BayesianRidge,coef_ (absolute values),52
project_prf_case_tool_used_yes,27.08540417996494,BayesianRidge,coef_ (absolute values),53
project_prf_team_size_group_3_4,26.288271385163355,BayesianRidge,coef_ (absolute values),54
tech_tf_development_platform_pc,23.15042461937385,BayesianRidge,coef_ (absolute values),55
tech_tf_client_server_not_applicable,17.221037779802323,BayesianRidge,coef_ (absolute values),56
project_prf_application_group_infrastructure_software,17.03228882067589,BayesianRidge,coef_ (absolute values),57
tech_tf_language_type_5gl,15.367681379053373,BayesianRidge,coef_ (absolute values),58
external_eef_organisation_type_credit_card_processor,14.723740011856929,BayesianRidge,coef_ (absolute values),59
project_prf_team_size_group_missing,13.283634306734701,BayesianRidge,coef_ (absolute values),60
external_eef_organisation_type_revenue_collection,12.047449298322206,BayesianRidge,coef_ (absolute values),61
tech_tf_architecture_multi_tier,9.449112772727208,BayesianRidge,coef_ (absolute values),62
external_eef_industry_sector_banking,8.52189800211119,BayesianRidge,coef_ (absolute values),63
external_eef_organisation_type_insurance,6.727910788429998,BayesianRidge,coef_ (absolute values),64
project_prf_application_group_real_time_application,6.155951456938642,BayesianRidge,coef_ (absolute values),65
tech_tf_architecture_multi_tier_with_web_public_interface,5.649198404803391,BayesianRidge,coef_ (absolute values),66
project_prf_development_type_poc,2.9945080862793905,BayesianRidge,coef_ (absolute values),67
external_eef_organisation_type_revenue,2.8861127163773412,BayesianRidge,coef_ (absolute values),68
external_eef_organisation_type_amusement_game_center,1.8145397140112927,BayesianRidge,coef_ (absolute values),69
