feature,importance,model,importance_type,rank
project_prf_functional_size,3193.95352680263,LassoLars,coef_ (absolute values),1
tech_tf_tools_used,566.2040853562095,LassoLars,coef_ (absolute values),2
project_prf_application_type,498.5591279167797,LassoLars,coef_ (absolute values),3
tech_tf_language_type_4gl,417.77801021899427,LassoLars,coef_ (absolute values),4
project_prf_development_type_enhancement,365.4213782685457,LassoLars,coef_ (absolute values),5
tech_tf_primary_programming_language,333.67105950219775,LassoLars,coef_ (absolute values),6
process_pmf_docs,319.6622754856013,LassoLars,coef_ (absolute values),7
project_prf_development_type_new_development,297.2474205811628,LassoLars,coef_ (absolute values),8
tech_tf_language_type_3gl,274.5727249800058,LassoLars,coef_ (absolute values),9
tech_tf_architecture_stand_alone,268.72635040304823,LassoLars,coef_ (absolute values),10
tech_tf_development_platform_mf,241.1997289204867,LassoLars,coef_ (absolute values),11
external_eef_organisation_type_financial_property_and_business_services,239.3080041863905,LassoLars,coef_ (absolute values),12
project_prf_relative_size_xs,209.45778873256708,LassoLars,coef_ (absolute values),13
project_prf_relative_size_missing,206.06380302690658,LassoLars,coef_ (absolute values),14
tech_tf_client_server_yes,198.06818031251728,LassoLars,coef_ (absolute values),15
project_prf_application_group_business_application,185.3942027215881,LassoLars,coef_ (absolute values),16
project_prf_relative_size_l,183.05868370893097,LassoLars,coef_ (absolute values),17
project_prf_year_of_project,182.2820243816507,LassoLars,coef_ (absolute values),18
project_prf_application_group_missing,166.51484008888602,LassoLars,coef_ (absolute values),19
tech_tf_development_platform_mr,162.1725924162087,LassoLars,coef_ (absolute values),20
external_eef_organisation_type_banking,148.9041983201782,LassoLars,coef_ (absolute values),21
tech_tf_client_server_don_t_know,134.715416055251,LassoLars,coef_ (absolute values),22
project_prf_relative_size_s,132.85669401327652,LassoLars,coef_ (absolute values),23
project_prf_case_tool_used_missing,132.44444479197844,LassoLars,coef_ (absolute values),24
project_prf_case_tool_used_no,106.65634244846072,LassoLars,coef_ (absolute values),25
tech_tf_development_platform_multi,105.6733381013155,LassoLars,coef_ (absolute values),26
project_prf_relative_size_m2,103.46522027425227,LassoLars,coef_ (absolute values),27
tech_tf_language_type_missing,92.8797647387866,LassoLars,coef_ (absolute values),28
tech_tf_dbms_used_yes,88.27866152132144,LassoLars,coef_ (absolute values),29
tech_tf_language_type_apg,85.17559710281297,LassoLars,coef_ (absolute values),30
tech_tf_architecture_missing,81.70273072433385,LassoLars,coef_ (absolute values),31
project_prf_relative_size_m1,78.24512544962866,LassoLars,coef_ (absolute values),32
tech_tf_dbms_used_no,73.87601435130561,LassoLars,coef_ (absolute values),33
tech_tf_client_server_no,68.08651771228955,LassoLars,coef_ (absolute values),34
external_eef_organisation_type_financial,67.62190702448937,LassoLars,coef_ (absolute values),35
tech_tf_client_server_missing,65.31522237067662,LassoLars,coef_ (absolute values),36
external_eef_organisation_type_banking_insurance_stock,60.21690068823689,LassoLars,coef_ (absolute values),37
tech_tf_development_platform_missing,53.8444064451994,LassoLars,coef_ (absolute values),38
project_prf_relative_size_xxl,53.10353498216772,LassoLars,coef_ (absolute values),39
project_prf_case_tool_used_don_t_know,49.6674680574854,LassoLars,coef_ (absolute values),40
project_prf_max_team_size,46.839026100469745,LassoLars,coef_ (absolute values),41
tech_tf_dbms_used_missing,46.24377840375114,LassoLars,coef_ (absolute values),42
