feature_index,feature_name,model_name
1,project_prf_year_of_project,top_model_2_ExtraTreesRegressor
2,external_eef_industry_sector,top_model_2_ExtraTreesRegressor
3,tech_tf_primary_programming_language,top_model_2_ExtraTreesRegressor
4,project_prf_functional_size,top_model_2_ExtraTreesRegressor
5,project_prf_team_size_group,top_model_2_ExtraTreesRegressor
6,project_prf_max_team_size,top_model_2_ExtraTreesRegressor
7,process_pmf_development_methodologies,top_model_2_ExtraTreesRegressor
8,process_pmf_docs,top_model_2_ExtraTreesRegressor
9,tech_tf_client_roles,top_model_2_ExtraTreesRegressor
10,tech_tf_server_roles,top_model_2_ExtraTreesRegressor
11,tech_tf_tools_used,top_model_2_ExtraTreesRegressor
12,project_prf_application_group_business_application,top_model_2_ExtraTreesRegressor
13,project_prf_application_group_infrastructure_software,top_model_2_ExtraTreesRegressor
14,project_prf_application_group_mathematically_intensive_application,top_model_2_ExtraTreesRegressor
15,project_prf_application_group_nan,top_model_2_ExtraTreesRegressor
16,project_prf_application_group_real_time_application,top_model_2_ExtraTreesRegressor
17,tech_tf_clientserver_description_browser_server_architecture,top_model_2_ExtraTreesRegressor
18,tech_tf_clientserver_description_client_server,top_model_2_ExtraTreesRegressor
19,tech_tf_clientserver_description_client_presentation,top_model_2_ExtraTreesRegressor
20,tech_tf_clientserver_description_client_presentation_processing,top_model_2_ExtraTreesRegressor
21,tech_tf_clientserver_description_client_server_architecture,top_model_2_ExtraTreesRegressor
22,tech_tf_clientserver_description_client_server_architecture_p2p,top_model_2_ExtraTreesRegressor
23,tech_tf_clientserver_description_nan,top_model_2_ExtraTreesRegressor
24,tech_tf_clientserver_description_server_processing,top_model_2_ExtraTreesRegressor
25,tech_tf_clientserver_description_stand_alone,top_model_2_ExtraTreesRegressor
26,tech_tf_clientserver_description_web,top_model_2_ExtraTreesRegressor
27,external_eef_data_quality_rating_a,top_model_2_ExtraTreesRegressor
28,external_eef_data_quality_rating_c_lang,top_model_2_ExtraTreesRegressor
29,external_eef_data_quality_rating_d,top_model_2_ExtraTreesRegressor
30,project_prf_development_type_enhancement,top_model_2_ExtraTreesRegressor
31,project_prf_development_type_new_development,top_model_2_ExtraTreesRegressor
32,project_prf_development_type_other,top_model_2_ExtraTreesRegressor
33,project_prf_development_type_poc,top_model_2_ExtraTreesRegressor
34,project_prf_development_type_porting,top_model_2_ExtraTreesRegressor
35,project_prf_development_type_re_development,top_model_2_ExtraTreesRegressor
36,tech_tf_development_platform_mf,top_model_2_ExtraTreesRegressor
37,tech_tf_development_platform_mr,top_model_2_ExtraTreesRegressor
38,tech_tf_development_platform_multi,top_model_2_ExtraTreesRegressor
39,tech_tf_development_platform_nan,top_model_2_ExtraTreesRegressor
40,tech_tf_development_platform_pc,top_model_2_ExtraTreesRegressor
41,tech_tf_development_platform_proprietary,top_model_2_ExtraTreesRegressor
42,tech_tf_language_type_2gl,top_model_2_ExtraTreesRegressor
43,tech_tf_language_type_3gl,top_model_2_ExtraTreesRegressor
44,tech_tf_language_type_4gl,top_model_2_ExtraTreesRegressor
45,tech_tf_language_type_5gl,top_model_2_ExtraTreesRegressor
46,tech_tf_language_type_apg,top_model_2_ExtraTreesRegressor
47,tech_tf_language_type_nan,top_model_2_ExtraTreesRegressor
48,project_prf_relative_size_l,top_model_2_ExtraTreesRegressor
49,project_prf_relative_size_m1,top_model_2_ExtraTreesRegressor
50,project_prf_relative_size_m2,top_model_2_ExtraTreesRegressor
51,project_prf_relative_size_nan,top_model_2_ExtraTreesRegressor
52,project_prf_relative_size_s,top_model_2_ExtraTreesRegressor
53,project_prf_relative_size_xl,top_model_2_ExtraTreesRegressor
54,project_prf_relative_size_xs,top_model_2_ExtraTreesRegressor
55,project_prf_relative_size_xxl,top_model_2_ExtraTreesRegressor
56,project_prf_relative_size_xxs,top_model_2_ExtraTreesRegressor
57,project_prf_case_tool_used_don_t_know,top_model_2_ExtraTreesRegressor
58,project_prf_case_tool_used_nan,top_model_2_ExtraTreesRegressor
59,project_prf_case_tool_used_no,top_model_2_ExtraTreesRegressor
60,project_prf_case_tool_used_yes,top_model_2_ExtraTreesRegressor
61,process_pmf_prototyping_used_nan,top_model_2_ExtraTreesRegressor
62,process_pmf_prototyping_used_yes,top_model_2_ExtraTreesRegressor
63,tech_tf_architecture_client_server,top_model_2_ExtraTreesRegressor
64,tech_tf_architecture_multi_tier,top_model_2_ExtraTreesRegressor
65,tech_tf_architecture_multi_tier_with_web_interface,top_model_2_ExtraTreesRegressor
66,tech_tf_architecture_multi_tier_with_web_public_interface,top_model_2_ExtraTreesRegressor
67,tech_tf_architecture_nan,top_model_2_ExtraTreesRegressor
68,tech_tf_architecture_stand_alone,top_model_2_ExtraTreesRegressor
69,tech_tf_architecture_standalone,top_model_2_ExtraTreesRegressor
70,tech_tf_client_server_don_t_know,top_model_2_ExtraTreesRegressor
71,tech_tf_client_server_nan,top_model_2_ExtraTreesRegressor
72,tech_tf_client_server_no,top_model_2_ExtraTreesRegressor
73,tech_tf_client_server_yes,top_model_2_ExtraTreesRegressor
74,tech_tf_type_of_server_back_end,top_model_2_ExtraTreesRegressor
75,tech_tf_type_of_server_client_server,top_model_2_ExtraTreesRegressor
76,tech_tf_type_of_server_lan_based,top_model_2_ExtraTreesRegressor
77,tech_tf_type_of_server_mainframe,top_model_2_ExtraTreesRegressor
78,tech_tf_type_of_server_multi_tier_with_web_public_interface,top_model_2_ExtraTreesRegressor
79,tech_tf_type_of_server_nan,top_model_2_ExtraTreesRegressor
80,tech_tf_type_of_server_standalone,top_model_2_ExtraTreesRegressor
81,tech_tf_type_of_server_unix,top_model_2_ExtraTreesRegressor
82,tech_tf_type_of_server_webserver,top_model_2_ExtraTreesRegressor
83,tech_tf_web_development_nan,top_model_2_ExtraTreesRegressor
84,tech_tf_web_development_web,top_model_2_ExtraTreesRegressor
85,tech_tf_dbms_used_nan,top_model_2_ExtraTreesRegressor
86,tech_tf_dbms_used_no,top_model_2_ExtraTreesRegressor
87,tech_tf_dbms_used_yes,top_model_2_ExtraTreesRegressor
88,people_prf_project_user_involvement_best,top_model_2_ExtraTreesRegressor
89,people_prf_project_user_involvement_don_t_know,top_model_2_ExtraTreesRegressor
90,people_prf_project_user_involvement_low,top_model_2_ExtraTreesRegressor
91,people_prf_project_user_involvement_nan,top_model_2_ExtraTreesRegressor
92,people_prf_project_user_involvement_no,top_model_2_ExtraTreesRegressor
93,people_prf_project_user_involvement_yes,top_model_2_ExtraTreesRegressor
94,project_prf_currency_multiple_nan,top_model_2_ExtraTreesRegressor
95,project_prf_currency_multiple_no,top_model_2_ExtraTreesRegressor
96,project_prf_currency_multiple_yes_1_000,top_model_2_ExtraTreesRegressor
97,project_prf_currency_multiple_yes_10_000,top_model_2_ExtraTreesRegressor
98,external_eef_organisation_type_top_insurance,top_model_2_ExtraTreesRegressor
99,external_eef_organisation_type_top_medical and health care,top_model_2_ExtraTreesRegressor
100,external_eef_organisation_type_top_manufacturing,top_model_2_ExtraTreesRegressor
101,external_eef_organisation_type_top_telecommunications,top_model_2_ExtraTreesRegressor
102,external_eef_organisation_type_top_government,top_model_2_ExtraTreesRegressor
103,external_eef_organisation_type_top_nan,top_model_2_ExtraTreesRegressor
104,external_eef_organisation_type_top_communications,top_model_2_ExtraTreesRegressor
105,external_eef_organisation_type_top_banking,top_model_2_ExtraTreesRegressor
106,external_eef_organisation_type_top_computers & software,top_model_2_ExtraTreesRegressor
107,external_eef_organisation_type_top_defence,top_model_2_ExtraTreesRegressor
108,external_eef_organisation_type_top_public administration,top_model_2_ExtraTreesRegressor
109,external_eef_organisation_type_top_aerospace / automotive,top_model_2_ExtraTreesRegressor
110,external_eef_organisation_type_top_transport & storage,top_model_2_ExtraTreesRegressor
111,"external_eef_organisation_type_top_financial, property & business services",top_model_2_ExtraTreesRegressor
112,external_eef_organisation_type_top_education institution,top_model_2_ExtraTreesRegressor
113,external_eef_organisation_type_top_community services,top_model_2_ExtraTreesRegressor
114,"external_eef_organisation_type_top_electricity, gas, water",top_model_2_ExtraTreesRegressor
115,external_eef_organisation_type_top_logistics,top_model_2_ExtraTreesRegressor
116,external_eef_organisation_type_top_wholesale & retail trade,top_model_2_ExtraTreesRegressor
117,external_eef_organisation_type_top_telecommunication,top_model_2_ExtraTreesRegressor
118,external_eef_organisation_type_other,top_model_2_ExtraTreesRegressor
119,project_prf_application_type_top_financial transaction process/accounting,top_model_2_ExtraTreesRegressor
120,project_prf_application_type_top_not recorded,top_model_2_ExtraTreesRegressor
121,project_prf_application_type_top_nan,top_model_2_ExtraTreesRegressor
122,project_prf_application_type_top_unknown,top_model_2_ExtraTreesRegressor
123,project_prf_application_type_top_customer relationship management,top_model_2_ExtraTreesRegressor
124,project_prf_application_type_top_relatively complex application,top_model_2_ExtraTreesRegressor
125,project_prf_application_type_top_workflow support & management,top_model_2_ExtraTreesRegressor
126,project_prf_application_type_top_business application,top_model_2_ExtraTreesRegressor
127,project_prf_application_type_top_embedded system/real_time application,top_model_2_ExtraTreesRegressor
128,project_prf_application_type_top_online. esales,top_model_2_ExtraTreesRegressor
129,project_prf_application_type_top_management of licences and permits,top_model_2_ExtraTreesRegressor
130,project_prf_application_type_top_online analysis and reporting,top_model_2_ExtraTreesRegressor
131,project_prf_application_type_top_catalogue/register of things or events,top_model_2_ExtraTreesRegressor
132,project_prf_application_type_top_software for machine control,top_model_2_ExtraTreesRegressor
133,project_prf_application_type_top_document management,top_model_2_ExtraTreesRegressor
134,project_prf_application_type_top_electronic data interchange,top_model_2_ExtraTreesRegressor
135,project_prf_application_type_top_management information system,top_model_2_ExtraTreesRegressor
136,project_prf_application_type_top_data warehouse system,top_model_2_ExtraTreesRegressor
137,project_prf_application_type_top_stock control & order processing,top_model_2_ExtraTreesRegressor
138,project_prf_application_type_top_management or performance reporting,top_model_2_ExtraTreesRegressor
139,project_prf_application_type_other,top_model_2_ExtraTreesRegressor
140,tech_tf_clientserver_description,top_model_2_ExtraTreesRegressor
141,project_prf_development_type_not_defined,top_model_2_ExtraTreesRegressor
142,tech_tf_development_platform_hand_held,top_model_2_ExtraTreesRegressor
143,project_prf_relative_size_xxxl,top_model_2_ExtraTreesRegressor
144,tech_tf_architecture_multi_tier_client_server,top_model_2_ExtraTreesRegressor
145,tech_tf_client_server_not_applicable,top_model_2_ExtraTreesRegressor
146,tech_tf_type_of_server_proprietary_midrange,top_model_2_ExtraTreesRegressor
147,project_prf_application_type_top_transaction/production system,top_model_2_ExtraTreesRegressor
148,project_prf_application_type_top_financial application area,top_model_2_ExtraTreesRegressor
149,project_prf_application_type_top_client-server,top_model_2_ExtraTreesRegressor
150,project_prf_application_type_top_customer billing/relationship management,top_model_2_ExtraTreesRegressor
151,project_prf_normalised_work_effort,top_model_2_ExtraTreesRegressor
