feature_index,feature_name,model_name
1,project_prf_year_of_project,top_model_3_RandomForestRegressor
2,external_eef_industry_sector,top_model_3_RandomForestRegressor
3,tech_tf_primary_programming_language,top_model_3_RandomForestRegressor
4,project_prf_functional_size,top_model_3_RandomForestRegressor
5,project_prf_team_size_group,top_model_3_RandomForestRegressor
6,project_prf_max_team_size,top_model_3_RandomForestRegressor
7,process_pmf_development_methodologies,top_model_3_RandomForestRegressor
8,process_pmf_docs,top_model_3_RandomForestRegressor
9,tech_tf_client_roles,top_model_3_RandomForestRegressor
10,tech_tf_server_roles,top_model_3_RandomForestRegressor
11,tech_tf_tools_used,top_model_3_RandomForestRegressor
12,project_prf_application_group_business_application,top_model_3_RandomForestRegressor
13,project_prf_application_group_infrastructure_software,top_model_3_RandomForestRegressor
14,project_prf_application_group_mathematically_intensive_application,top_model_3_RandomForestRegressor
15,project_prf_application_group_nan,top_model_3_RandomForestRegressor
16,project_prf_application_group_real_time_application,top_model_3_RandomForestRegressor
17,tech_tf_clientserver_description_browser_server_architecture,top_model_3_RandomForestRegressor
18,tech_tf_clientserver_description_client_server,top_model_3_RandomForestRegressor
19,tech_tf_clientserver_description_client_presentation,top_model_3_RandomForestRegressor
20,tech_tf_clientserver_description_client_presentation_processing,top_model_3_RandomForestRegressor
21,tech_tf_clientserver_description_client_server_architecture,top_model_3_RandomForestRegressor
22,tech_tf_clientserver_description_client_server_architecture_p2p,top_model_3_RandomForestRegressor
23,tech_tf_clientserver_description_nan,top_model_3_RandomForestRegressor
24,tech_tf_clientserver_description_server_processing,top_model_3_RandomForestRegressor
25,tech_tf_clientserver_description_stand_alone,top_model_3_RandomForestRegressor
26,tech_tf_clientserver_description_web,top_model_3_RandomForestRegressor
27,external_eef_data_quality_rating_a,top_model_3_RandomForestRegressor
28,external_eef_data_quality_rating_c_lang,top_model_3_RandomForestRegressor
29,external_eef_data_quality_rating_d,top_model_3_RandomForestRegressor
30,project_prf_development_type_enhancement,top_model_3_RandomForestRegressor
31,project_prf_development_type_new_development,top_model_3_RandomForestRegressor
32,project_prf_development_type_other,top_model_3_RandomForestRegressor
33,project_prf_development_type_poc,top_model_3_RandomForestRegressor
34,project_prf_development_type_porting,top_model_3_RandomForestRegressor
35,project_prf_development_type_re_development,top_model_3_RandomForestRegressor
36,tech_tf_development_platform_mf,top_model_3_RandomForestRegressor
37,tech_tf_development_platform_mr,top_model_3_RandomForestRegressor
38,tech_tf_development_platform_multi,top_model_3_RandomForestRegressor
39,tech_tf_development_platform_nan,top_model_3_RandomForestRegressor
40,tech_tf_development_platform_pc,top_model_3_RandomForestRegressor
41,tech_tf_development_platform_proprietary,top_model_3_RandomForestRegressor
42,tech_tf_language_type_2gl,top_model_3_RandomForestRegressor
43,tech_tf_language_type_3gl,top_model_3_RandomForestRegressor
44,tech_tf_language_type_4gl,top_model_3_RandomForestRegressor
45,tech_tf_language_type_5gl,top_model_3_RandomForestRegressor
