isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,project_prf_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
10279,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,26.0,xs,52,2.0,2.0,,2.2,2.2,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
10317,b,2015,government,government,business application,business application,enhancement,,4GL,.net,8.0,xxs,816,102.0,102.0,0.0,7.3,,1.1,,,,agile development,,3,,,,,,,,0.0,,,,,,,,,,,,,,81500.0,"european, euro",no
10572,b,2014,government,government,business application,business application,enhancement,,4GL,oracle,85.0,s,774,9.1,9.1,0.0,212.5,,0.4,,,,agile development,,3,,,,,,,,0.0,,,,,,,,,,,,,,69850.0,"european, euro",no
11278,a,2010,service industry,community services,business application,complex process control; workflow support & management,enhancement,multi,3GL,javascript,89.0,s,4036,45.3,45.3,56.2,17.8,2.0,5.0,9-14,9.0,no,agile development,,16,client-server,yes,data entry & validation; data retrieval & presentation; web/html browser,html/web server; security/authentication,,,yes,2.0,,3.0,1.0,5.0,,,,0.0,5.0,4.0,3.0,0.0,3.0,,,
11497,b,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,31.0,s,88,2.8,2.8,,2.6,2.6,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
11509,b,2012,communication,telecommunications,real-time application,embedded software - simple device control; online analysis and reporting; telecom & network management,enhancement,multi,3GL,c++,204.0,m1,7805,38.3,38.3,0.0,29.1,3.6,7.0,5-8,8.0,,,,6,multi-tier,,,,,,yes,2.0,,,,,,,,,,,,,,,,
11738,b,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,10.0,xs,29,2.9,2.9,,0.8,0.8,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
11801,a,2009,government,government,,idm,enhancement,multi,3GL,c#,63.0,s,2742,43.5,43.5,47.6,6.3,0.8,10.0,5-8,8.0,,agile development,,18,multi-tier with web public interface,yes,web public interface,multi-user legacy application,,web,yes,3.0,,8.0,0.0,0.0,,,,2.0,2.0,4.0,1.0,1.0,0.0,,,
12664,b,2014,government,government,business application,business application,enhancement,,4GL,oracle,138.0,m1,682,4.9,4.9,0.0,345.0,,0.4,,,,agile development,,3,,,,,,,,0.0,,,,,,,,,,,,,,61435.0,"european, euro",no
13026,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,5.0,xxs,27,5.4,5.4,,0.4,0.4,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
13120,b,2015,service industry,"art , events , ticketing",business application,"customer billing; document management; financial transaction process/accounting; online analysis and reporting; reservation system (eg. airline, hotel); stock control & order processing; workflow support & management",re-development,pc,3GL,java,46.0,s,28,0.4,0.6,43.5,23.0,11.5,2.0,2,2.0,,,,7,stand-alone,,,,,web,yes,0.0,,,,,,,,,,,,,,,,
13384,b,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,30.0,s,51,1.7,1.7,,2.5,2.5,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
13695,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,2.0,xxs,6,3.0,3.0,,0.2,0.2,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
13784,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,14.0,xs,49,3.5,3.5,,1.2,1.2,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
14319,b,2010,banking,banking,business application,auditing management,new development,proprietary,5GL,proprietary agile platform,748.0,m2,1518,2.0,2.0,,249.3,,3.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,0.0,,,,,,,,,,,,,,,,
14325,b,2009,government,government,business application,data warehouse system; financial transaction process/accounting; management or performance reporting,new development,mr,4GL,.net,498.0,m2,19795,39.7,39.7,,27.7,1.3,18.0,21-30,22.0,,agile development; unified process,,18,client-server,yes,data entry & validation; data retrieval & presentation; run a computer-human interface; security; web/html browser,database server; file &/or print server; html/web server; multi-user legacy application,,,,2.0,,,,,,,,,,,,0.0,1.0,,,
14335,a,2011,manufacturing,aerospace / automotive,mathematically-intensive application,mathematical modelling (finance or eng.); software development tool,re-development,pc,3GL,c#,456.0,m2,5408,11.9,11.9,0.0,50.7,10.1,9.0,5-8,5.0,yes,agile development,,17,multi-tier with web public interface,yes,data entry & validation; run a computer-human interface; web public interface,database server; html/web server; mail server; security/authentication,,web,yes,7.0,,0.0,1.0,2.0,,,,1.0,2.0,0.0,3.0,1.0,1.0,,,
14345,a,2009,education,"education institution; electricity, gas, water; ieee",business application,content management system; dynamic website,new development,pc,3GL,java,114.0,m1,429,3.8,3.8,,38.0,9.5,3.0,3-4,4.0,,agile development; personal software process (psp); unified process,,18,multi-tier with web public interface,yes,web/html browser,security/authentication,,web,yes,4.0,,,,,,,,4.0,,,,0.0,0.0,17160.0,"canada, dollar",
14525,a,2010,service industry,community services; government; public administration,business application,catalogue/register of things or events,enhancement,multi,3GL,c#,695.0,m2,19606,28.2,28.2,59.0,36.6,1.4,19.0,21-30,26.0,,agile development; scrum,,17,client-server,yes,business logic or rule processing; data entry & validation; data retrieval & presentation,database server,,,yes,2.0,,5.0,5.0,16.0,,,,2.0,0.0,24.0,10.0,2.0,2.0,,,
14535,b,2009,education,education institution,business application,catalogue/register of things or events; logistic or supply planning & control,re-development,pc,3GL,c#,483.0,m2,331,0.7,0.7,,120.8,24.2,4.0,5-8,5.0,no,agile development,,14,stand-alone,no,,,,,yes,2.0,,6.0,0.0,1.0,,,,1.0,3.0,3.0,,1.0,1.0,,,
14621,b,2008,service industry,food processing,business application,customer billing; financial transaction process/accounting,new development,pc,3GL,c++,23.0,xs,248,10.8,10.8,173.9,15.3,5.1,1.5,3-4,3.0,no,agile development,,15,stand-alone,no,,,,,yes,2.0,,,2.0,1.0,,,,1.0,1.0,1.0,20.0,0.0,0.0,4871.0,"canada, dollar",
14928,b,2014,government,government,business application,business application,enhancement,,4GL,oracle,88.0,s,551,6.3,6.3,0.0,220.0,,0.4,,,,agile development,,3,,,,,,,,0.0,,,,,,,,,,,,,,49753.0,"european, euro",no
15011,b,2010,service industry,transport & storage,business application,auditing management,new development,proprietary,5GL,proprietary agile platform,257.0,m1,452,1.8,1.8,,85.7,,3.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,0.0,,,,,,,,,,,,,,,,
15148,b,2014,government,government,business application,business application,enhancement,,4GL,oracle,72.0,s,615,8.5,8.5,0.0,180.0,,0.4,,,,agile development,,3,,,,,,,,0.0,,,,,,,,,,,,,,55440.0,"european, euro",no
15558,b,2014,government,government,business application,business application,enhancement,,4GL,.net,45.0,s,1271,28.2,28.2,0.0,32.1,,1.4,,,,agile development,,3,,,,,,,,0.0,,,,,,,,,,,,,,104200.0,"european, euro",no
15723,b,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,12.0,xs,34,2.8,2.8,,1.0,1.0,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
16039,a,2010,,all industry organization types,business application,security/authentication,enhancement,multi,3GL,c#,47.0,s,1002,21.3,21.3,21.3,9.4,3.1,5.0,3-4,3.0,no,agile development,yes,19,multi-tier with web public interface,yes,,html/web server; security/authentication,,web,,4.0,,0.0,0.0,3.0,,,,0.0,2.0,1.0,3.0,0.0,0.0,,,
16563,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,9.0,xxs,23,2.6,2.6,,0.8,0.8,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
16712,b,2015,service industry,"art , events , ticketing",business application,"customer billing; document management; financial transaction process/accounting; online analysis and reporting; reservation system (eg. airline, hotel); stock control & order processing; workflow support & management",new development,pc,3GL,java,97.0,s,89,0.2,0.9,51.5,32.3,16.2,3.0,2,2.0,,,,7,stand-alone,,,,,web,yes,0.0,,,,,,,,,,,,,,,,
17137,b,2014,government,government,business application,business application,enhancement,,4GL,.net,51.0,s,1222,24.0,24.0,0.0,72.9,,0.7,,,,agile development,,3,,,,,,,,0.0,,,,,,,,,,,,,,100200.0,"european, euro",no
17275,b,2010,service industry,transport & storage,business application,security controls,new development,proprietary,5GL,proprietary agile platform,168.0,m1,312,1.9,1.9,,56.0,,3.0,,,,agile development,,5,multi-tier with web public interface,,,,,web,,0.0,,,,,,,,,,,,,,,,
17293,b,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,business application,surveillance and security,enhancement,pc,3GL,c#,59.0,s,82,1.4,1.4,,4.9,4.9,12.0,1,1.0,,agile development,,6,stand-alone,,,,,,yes,2.0,,,,,,,,,,,,,,,,
