isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
10003,b,2015,communication,telecommunications,business application,online. esales,enhancement,multi,,,67.0,s,741.0,741,11.1,11.1,,15.2,,4.4,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,web,,0.0,,,,,,,,,,,,,,,,
10011,b,1996,construction,construction,business application,stock control & order processing,new development,multi,4gl,access,443.0,m2,856.0,856,1.9,1.9,,170.4,,2.6,,,no,waterfall incl linear processing & ssadm,,3,yes,,,c/s,,,yes,0.0,,,,,,,,,,,,,,,,
10012,b,2002,wholesale & retail,billing,business application,billing,enhancement,,3gl,cobol,76.0,s,1100.0,1100,14.5,14.5,,,,,,,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,,,
10014,b,2004,,,,,enhancement,,,,3.0,xxs,28.0,28,9.3,9.3,,,,,,,,,,2,yes,,,c/s,,,,0.0,,,,,,,,,,,,,,,,
10015,b,2000,wholesale & retail,wholesale & retail trade,business application,management information system,enhancement,mf,3gl,cobol,382.0,m2,,23913,,62.6,,127.3,,3.0,,,yes,,,4,yes,,,,,,yes,2.0,,,,,,,,,,,,,,,,
10019,b,2014,communication,telecommunications,business application,data warehouse system,enhancement,multi,3gl,shell,98.0,s,324.0,324,3.3,3.3,,22.8,,4.3,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10026,b,2000,insurance,insurance,business application,sales contact management,new development,mf,3gl,java,620.0,m2,18160.0,18160,29.3,29.3,,88.6,,7.0,,,no,waterfall incl linear processing & ssadm,,3,don't know,,,,,,yes,0.0,,,,,,,,,,,,,,,,
10028,b,2015,communication,telecommunications,business application,customer relationship management,enhancement,multi,4gl,siebel,138.0,m1,2954.0,2954,21.4,21.4,,28.2,,4.9,,,,waterfall incl linear processing & ssadm,yes,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10029,b,2004,banking,banking,business application,financial transaction process/accounting,new development,mf,3gl,cobol,297.0,m1,8186.0,8186,27.6,27.6,,,,,,,,,,3,,,,,,,,0.0,,,,,,,,,,,,,,,,
10033,b,2012,medical & health care,medical and health care,,not recorded,enhancement,,,,162.0,m1,92380.0,92380,570.2,570.2,,8.1,0.0,20.0,101+,253.0,,,,2,,,,,,,,0.0,,,,,,,,,,,,,,4071933.0,"united states, dollar",no
