isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_speed_of_delivery,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,_case_tool_used,process_pmf_development_methodologies,process_pmf_docs,tech_tf_architecture,tech_tf_dbms_used,tech_tf_tools_used
10003,b,2015,communication,telecommunications,business application,online. esales,enhancement,multi,Missing,Missing,67.0,s,741.0,741,11.1,11.1,15.2,4.4,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
10011,b,1996,construction,construction,business application,stock control & order processing,new development,multi,4GL,access,443.0,m2,856.0,856,1.9,1.9,170.4,2.6,Missing,,no,waterfall incl linear processing & ssadm,3,yes,yes,0.0
10012,b,2002,wholesale & retail,billing,business application,billing,enhancement,Missing,3GL,cobol,76.0,s,1100.0,1100,14.5,14.5,,,Missing,,Missing,Missing,2,Missing,Missing,0.0
10014,b,2004,Missing,Missing,Missing,Missing,enhancement,Missing,Missing,Missing,3.0,xxs,28.0,28,9.3,9.3,,,Missing,,Missing,Missing,2,yes,Missing,0.0
10015,b,2000,wholesale & retail,wholesale & retail trade,business application,management information system,enhancement,mf,3GL,cobol,382.0,m2,,23913,,62.6,127.3,3.0,Missing,,yes,Missing,4,yes,yes,2.0
10019,b,2014,communication,telecommunications,business application,data warehouse system,enhancement,multi,3GL,shell,98.0,s,324.0,324,3.3,3.3,22.8,4.3,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
10026,b,2000,insurance,insurance,business application,sales contact management,new development,mf,3GL,java,620.0,m2,18160.0,18160,29.3,29.3,88.6,7.0,Missing,,no,waterfall incl linear processing & ssadm,3,don't know,yes,0.0
10028,b,2015,communication,telecommunications,business application,customer relationship management,enhancement,multi,4GL,siebel,138.0,m1,2954.0,2954,21.4,21.4,28.2,4.9,Missing,,Missing,waterfall incl linear processing & ssadm,3,Missing,Missing,0.0
10029,b,2004,banking,banking,business application,financial transaction process/accounting,new development,mf,3GL,cobol,297.0,m1,8186.0,8186,27.6,27.6,,,Missing,,Missing,Missing,3,Missing,Missing,0.0
10033,b,2012,medical & health care,medical and health care,Missing,not recorded,enhancement,Missing,Missing,Missing,162.0,m1,92380.0,92380,570.2,570.2,8.1,20.0,101+,253.0,Missing,Missing,2,Missing,Missing,0.0
