isbsg_project_id,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_speed_of_delivery,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,process_pmf_development_methodologies,process_pmf_docs,tech_tf_tools_used,external_eef_data_quality_rating_b,project_prf_application_group_business_application,project_prf_application_group_business_application__infrastructure_software,project_prf_application_group_infrastructure_software,project_prf_application_group_mathematically_intensive_application,project_prf_application_group_mathematically_intensive_application_1,project_prf_application_group_real_time_application,project_prf_development_type_new_development,project_prf_development_type_re_development,tech_tf_development_platform_hand_held,tech_tf_development_platform_mf,tech_tf_development_platform_mr,tech_tf_development_platform_multi,tech_tf_development_platform_pc,tech_tf_development_platform_proprietary,tech_tf_language_type_3GL,tech_tf_language_type_4GL,tech_tf_language_type_5GL,tech_tf_language_type_APG,tech_tf_language_type_Missing,_case_tool_used_don_t_know,_case_tool_used_no,_case_tool_used_yes,tech_tf_architecture_don_t_know,tech_tf_architecture_no,tech_tf_architecture_not_applicable,tech_tf_architecture_yes,tech_tf_dbms_used_no,tech_tf_dbms_used_yes
10003,2015,communication,telecommunications,online. esales,Missing,67.0,s,741.0,741,11.1,11.1,15.2,4.4,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10011,1996,construction,construction,stock control & order processing,access,443.0,m2,856.0,856,1.9,1.9,170.4,2.6,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
10012,2002,wholesale & retail,billing,billing,cobol,76.0,s,1100.0,1100,14.5,14.5,,,Missing,,Missing,2,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10014,2004,Missing,Missing,Missing,Missing,3.0,xxs,28.0,28,9.3,9.3,,,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
10015,2000,wholesale & retail,wholesale & retail trade,management information system,cobol,382.0,m2,,23913,,62.6,127.3,3.0,Missing,,Missing,4,2.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10019,2014,communication,telecommunications,data warehouse system,shell,98.0,s,324.0,324,3.3,3.3,22.8,4.3,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10026,2000,insurance,insurance,sales contact management,java,620.0,m2,18160.0,18160,29.3,29.3,88.6,7.0,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
10028,2015,communication,telecommunications,customer relationship management,siebel,138.0,m1,2954.0,2954,21.4,21.4,28.2,4.9,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10029,2004,banking,banking,financial transaction process/accounting,cobol,297.0,m1,8186.0,8186,27.6,27.6,,,Missing,,Missing,3,0.0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10033,2012,medical & health care,medical and health care,not recorded,Missing,162.0,m1,92380.0,92380,570.2,570.2,8.1,20.0,101+,253.0,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10036,1999,electronics & computers,client/server architecture for language services; engineering; research & development; software development,linguistic software; management information system,Missing,183.0,m1,,568,,3.1,65.4,2.8,Missing,,Missing,2,0.0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
10039,1998,communication,telecommunication,transaction/production system,ads/online,,m1,271.0,327,,,,4.0,Missing,,Missing,2,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
10046,2015,communication,telecommunications,customer relationship management,java,63.0,s,888.0,888,14.1,14.1,16.2,3.9,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10047,2002,wholesale & retail,ordering,stock control & order processing,c,730.0,m2,20975.0,20975,28.7,28.7,,,Missing,,Missing,2,0.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10052,2002,professional services,sales & marketing,trading,coldfusion,179.0,m1,789.0,789,4.4,4.4,,,Missing,,Missing,2,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10056,2002,communication,voice provisioning,voice provisioning,c,114.0,m1,7290.0,7290,63.9,63.9,,,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10059,2006,service industry,community services; government,customer billing/relationship management,c#,568.0,m2,7936.0,7936,14.0,14.0,37.9,15.0,Missing,,multifunctional teams,9,0.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10062,2007,insurance,insurance,Missing,pl/i,401.0,m2,4321.0,4321,10.8,10.8,26.4,15.2,Missing,,waterfall incl linear processing & ssadm,3,1.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10063,1999,manufacturing,manufacturing,customer billing/relationship management,visual basic,849.0,m2,2499.0,2499,2.9,2.9,160.2,5.3,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
10065,2013,medical & health care,medical and health care,not recorded,Missing,34.0,s,3444.0,3444,101.3,101.3,2.8,12.0,81-90,90.0,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10066,2006,banking,banking,financial transaction process/accounting,visual basic,108.0,m1,1402.0,1402,13.0,13.0,21.2,5.1,Missing,,Missing,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10067,2003,financial,"financial, property & business services",Missing,cobol,,Missing,60838.0,60838,,,,9.0,81-90,87.0,Missing,0,2.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10069,2013,communication,telecommunications,data warehouse system,shell,949.0,m2,3567.0,3567,3.8,3.8,306.1,3.1,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10074,1997,Missing,Missing,Missing,Missing,460.0,m2,2253.0,2253,4.9,4.9,115.0,4.0,5-8,5.0,Missing,4,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
10075,1994,financial,"financial, property & business services",office information system,sql,1502.0,l,6020.0,7490,4.0,5.0,375.5,4.0,5-8,7.0,joint application development jad; multifunctional teams; rapid application development rad; timeboxing,6,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
10076,2003,insurance,insurance,Missing,pl/i,66.0,s,507.0,507,7.7,7.7,3.9,17.0,Missing,,waterfall incl linear processing & ssadm,4,2.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10078,2015,communication,telecommunications,broadband application,Missing,56.0,s,439.0,439,7.8,7.8,15.1,3.7,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10080,2004,Missing,Missing,Missing,powerbuilder,46.0,s,1009.0,1009,21.9,21.9,25.6,1.8,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
10085,2010,electronics & computers,computers & software,Missing,abap,416.0,m2,9205.0,9205,22.1,22.1,59.4,7.0,21-30,28.0,incremental,4,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
10090,2004,financial,"financial, property & business services",client server; financial transaction process/accounting,Missing,,l,2525.0,2525,,,,8.4,Missing,,Missing,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
10095,2002,insurance,insurance,Missing,cool:gen,400.0,m2,150.0,150,0.4,0.4,80.0,5.0,Missing,,Missing,4,0.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
10096,2005,insurance,insurance,Missing,Missing,22.0,xs,134.0,134,6.1,6.1,7.3,3.0,Missing,,Missing,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10104,2004,Missing,Missing,Missing,oracle,7.0,xxs,396.0,396,56.6,56.6,3.7,1.9,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
10109,2015,insurance,insurance,workflow support & management,.net,317.0,m2,3735.0,3735,11.8,11.8,47.3,6.7,5-8,7.0,Missing,2,0.0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10116,1999,Missing,Missing,management information system,Missing,779.0,m2,,33387,,42.9,,,Missing,,Missing,3,0.0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
10132,2010,manufacturing,manufacturing,cars selling,java,260.0,m1,,3480,,13.4,81.3,3.2,Missing,,Missing,8,2.0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
10135,1998,communication,telecommunication,transaction/production system,visual basic,,m1,7781.0,9375,,,,3.0,Missing,,Missing,2,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
10136,2004,Missing,Missing,financial application area,Missing,83.0,s,855.0,855,10.3,10.3,18.4,4.5,Missing,,Missing,2,0.0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
10139,1999,Missing,Missing,transaction/production system,cobol,80.0,s,3199.0,3199,40.0,40.0,5.8,13.7,3-4,3.5,Missing,2,1.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
10143,1998,government,community services; insurance; public administration,electronic data interchange,cobol,243.0,m1,2924.0,3249,12.0,13.4,30.4,8.0,5-8,8.0,Missing,5,7.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
10145,2011,manufacturing,manufacturing,computing of the thermodynamic process,matlab,99.0,s,,870,,8.8,11.0,9.0,Missing,,Missing,8,2.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
10149,2012,communication,telecommunications,customer relationship management,pl/sql,244.0,m1,4566.0,4566,18.7,18.7,55.5,4.4,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10151,1994,banking,banking,transaction/production system,easytrieve,174.0,m1,2288.0,2288,13.1,13.1,24.9,7.0,2,2.0,Missing,5,4.0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True
10154,1999,insurance,insurance,financial transaction process/accounting,cobol,152.0,m1,2569.0,2569,16.9,16.9,38.0,4.0,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
10159,2000,banking,banking,financial transaction process/accounting,pl/i,4.0,xxs,145.0,145,36.3,36.3,40.0,0.1,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
10163,1994,manufacturing,manufacturing; transport & storage,transaction/production system,telon,55.0,s,503.0,648,9.1,11.8,9.2,6.0,3-4,4.0,Missing,5,4.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
10164,2004,Missing,Missing,ms billing,cobol,68.0,s,12702.0,12702,186.8,186.8,,,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10169,2015,insurance,insurance,workflow support & management,oracle,168.0,m1,137.0,137,0.8,0.8,93.3,1.8,1,1.0,Missing,2,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10171,2005,insurance,insurance,Missing,pl/i,140.0,m1,1000.0,1000,7.1,7.1,20.0,7.0,Missing,,waterfall incl linear processing & ssadm,4,2.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10172,2005,manufacturing,manufacturing,Missing,c++,135.0,m1,499.0,499,3.7,3.7,15.0,9.0,Missing,,Missing,4,2.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10173,2004,Missing,Missing,financial application area,java,25.0,xs,118.0,118,4.7,4.7,25.0,1.0,Missing,,Missing,2,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
10174,2000,Missing,Missing,Missing,spreadsheet,582.0,m2,2632.0,2632,4.5,4.5,97.0,6.0,5-8,7.0,Missing,4,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
10176,2004,financial,"financial, property & business services",client server; financial transaction process/accounting,Missing,,xs,81.0,81,,,,1.9,Missing,,Missing,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
10178,2005,medical & health care,medical and health care,catalogue/register of things or events; complex process control; document management; online analysis and reporting; workflow support & management,java,826.0,m2,2503.0,2503,3.0,3.0,18.8,44.0,3-4,4.0,Missing,14,1.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
10180,2001,insurance,insurance,financial transaction process/accounting,visual basic,309.0,m2,2516.0,2516,8.1,8.1,103.0,3.0,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
10181,1998,communication,communications,transaction/production system,cool:gen,338.0,m2,1009.0,1009,3.0,3.0,135.2,2.5,Missing,,Missing,4,1.0,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
10184,2012,medical & health care,medical and health care,not recorded,Missing,13.0,xs,2565.0,2565,197.3,197.3,0.9,15.0,21-30,28.0,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10189,1996,insurance,insurance,Missing,cobol,250.0,m1,,4150,,16.6,14.7,17.0,Missing,,joint application development jad; multifunctional teams,6,8.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True
10196,2003,Missing,Missing,Missing,java,69.0,s,2915.0,2915,42.2,42.2,7.7,9.0,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
10200,2009,electronics & computers,computers & software,"job, case, incident, project management",java,90.0,s,1112.0,1112,12.4,12.4,22.5,4.0,3-4,4.0,waterfall incl linear processing & ssadm,12,2.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
10214,2000,insurance,insurance,Missing,visual basic,261.0,m1,2175.0,2175,8.3,8.3,43.5,6.0,Missing,,Missing,4,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10218,1995,utilities,"electricity, gas, water",management information system,pl/i,163.0,m1,668.0,668,4.1,4.1,18.1,9.0,3-4,3.0,Missing,4,3.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
10220,2007,electronics & computers,computers & software,Missing,visual basic,40.0,s,514.0,514,12.9,12.9,10.0,4.0,3-4,3.0,waterfall incl linear processing & ssadm,4,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
10223,2004,Missing,Missing,Missing,cobol,16.0,xs,536.0,536,33.5,33.5,4.3,3.7,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10225,1999,insurance,insurance,Missing,pl/i,442.0,m2,3772.0,3772,8.5,8.5,73.7,6.0,Missing,,Missing,4,2.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10226,2011,insurance,insurance,unknown,Missing,206.0,m1,2020.0,2020,9.8,9.8,206.0,1.0,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
10228,2006,Missing,Missing,financial transaction process/accounting,.net,,s,263.0,263,,,,2.7,Missing,,waterfall incl linear processing & ssadm,3,0.0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10232,2002,financial,"financial, property & business services",financial transaction process/accounting,visual c++,171.0,m1,420.0,420,2.5,2.5,,,Missing,,Missing,2,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
