isbsg_project_id,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_type,project_prf_functional_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_max_team_size,process_pmf_development_methodologies,process_pmf_docs,tech_tf_tools_used,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,external_eef_data_quality_rating_b,external_eef_data_quality_rating_c,external_eef_data_quality_rating_d,project_prf_application_group_infrastructure_software,project_prf_application_group_mathematically_intensive_application,project_prf_application_group_missing,project_prf_application_group_real_time_application,project_prf_development_type_new_development,project_prf_development_type_re_development,tech_tf_development_platform_mr,tech_tf_development_platform_multi,tech_tf_development_platform_pc,tech_tf_development_platform_proprietary,tech_tf_language_type_4gl,tech_tf_language_type_5gl,tech_tf_primary_programming_language_cpp,tech_tf_primary_programming_language_csharp,tech_tf_primary_programming_language_dotnet,tech_tf_primary_programming_language_java,tech_tf_primary_programming_language_javascript,tech_tf_primary_programming_language_oracle,tech_tf_primary_programming_language_pl_i,tech_tf_primary_programming_language_proprietary_agile_platform,project_prf_relative_size_m1,project_prf_relative_size_m2,project_prf_relative_size_missing,project_prf_relative_size_s,project_prf_relative_size_xl,project_prf_relative_size_xs,project_prf_relative_size_xxs,project_prf_team_size_group_2,project_prf_team_size_group_21_30,project_prf_team_size_group_3_4,project_prf_team_size_group_41_50,project_prf_team_size_group_5_8,project_prf_team_size_group_61_70,project_prf_team_size_group_9_14,project_prf_team_size_group_missing,tech_tf_architecture_missing,tech_tf_architecture_multi_tier_with_web_public_interface,tech_tf_architecture_standalone,tech_tf_client_server_no,tech_tf_client_server_yes,tech_tf_web_development_web,tech_tf_dbms_used_yes,project_prf_cost_currency_european_euro,project_prf_cost_currency_missing,project_prf_cost_currency_united_states_dollar
10279,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,26.0,52,52,2.0,2.0,0.0,2.2,2.2,12.0,1.0,agile development,6,2,0.0,0.0,60775.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
10317,2015,government,government,business application,8.0,816,816,102.0,102.0,0.0,7.3,2.1,1.1,2.0,agile development,3,0,0.0,0.0,81500.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
10572,2014,government,government,business application,85.0,774,774,9.1,9.1,0.0,212.5,2.1,0.4,2.0,agile development,3,0,0.0,0.0,69850.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
11278,2010,service industry,community services,complex process control; workflow support & management,89.0,4036,4036,45.3,45.3,56.2,17.8,2.0,5.0,9.0,agile development,16,2,0.0,3.0,60775.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
11497,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,31.0,88,88,2.8,2.8,0.0,2.6,2.6,12.0,1.0,agile development,6,2,0.0,0.0,60775.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
11738,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,10.0,29,29,2.9,2.9,0.0,0.8,0.8,12.0,1.0,agile development,6,2,0.0,0.0,60775.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
11801,2009,government,government,idm,63.0,2742,2742,43.5,43.5,47.6,6.3,0.8,10.0,8.0,agile development,18,3,1.0,0.0,60775.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,True,False
12664,2014,government,government,business application,138.0,682,682,4.9,4.9,0.0,345.0,2.1,0.4,2.0,agile development,3,0,0.0,0.0,61435.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
13026,2013,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,5.0,27,27,5.4,5.4,0.0,0.4,0.4,12.0,1.0,agile development,6,2,0.0,0.0,60775.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
13384,2012,banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,30.0,51,51,1.7,1.7,0.0,2.5,2.5,12.0,1.0,agile development,6,2,0.0,0.0,60775.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
