Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237,Unnamed: 238,Unnamed: 239,Unnamed: 240,Unnamed: 241,Unnamed: 242,Unnamed: 243,Unnamed: 244,Unnamed: 245,Unnamed: 246,Unnamed: 247,Unnamed: 248,Unnamed: 249,Unnamed: 250,Unnamed: 251,Unnamed: 252
"D&E Corporate
Release
May 2021",31 rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rating,Rating,Software Age,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Major Grouping,Sizing,Sizing,Sizing,Sizing,Effort,Effort,Effort,Productivity,Productivity,Productivity,Other Metrics,Other Metrics,Other Metrics,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Schedule,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Effort Attributes,Project Attributes,Project Attributes,Project Attributes,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,1st Platform,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Documents & Techniques,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Architecture,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Tool data,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Size Attributes,Additional data,Additional data,Additional data,Additional data,Additional data,Additional data,Additional data,Additional data,Additional data,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Grouping Attributes,Quality Delivered,Quality Delivered,Quality Delivered,Quality Delivered,Process,Process,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Product Attributes,Estimates,Estimates,Estimates,Estimates,Estimates,Estimates,Estimates,Estimates,Estimates,Estimates,Estimates,Estimates,Estimates,Primary project goals,Primary project goals,Primary project goals,Primary project goals,Project team,Project team,Project team,Project team,Project team,Project team,Project team,Project team,Project team,Project team,Project team,Project team,Project team,Survey data,Survey data,Survey data,Survey data,Survey data,Survey data,Survey data,Survey data,Survey data,Survey data,Survey data,Survey data,Other Size,Other Size,Other Size,Reuse,Reuse,Reuse,Reuse,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Costs,Proj Quality,Proj Quality,Proj Quality,Proj Quality,Proj Quality,Proj Quality,Proj Quality,Proj Quality,Proj Quality,Proj Quality,Proj Quality,Proj Quality,Proj Quality,Proj Quality,Proj Quality,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,2nd Platform,Hrs per Role,Hrs per Role,Hrs per Role,Hrs per Role,Hrs per Role,Hrs per Role,Hrs per Role,Hrs per Role,Hrs per Role,Hrs per Role,Hrs per Role,Hrs per Role,Hrs per Role,Hrs per Role,Project
ISBSG Project ID,Data Quality Rating,UFP rating,Year of Project,Industry Sector,Organisation Type,Application Group,Application Type,Development Type,Development Platform,Language Type,Primary Programming Language,Count Approach,Functional Size,Relative Size,Adjusted Function Points,Value Adjustment Factor,Normalised Work Effort Level 1,Normalised Work Effort,Summary Work Effort,Normalised Level 1 PDR (ufp),Normalised PDR (ufp),Pre 2002 PDR,Defect Density,Speed of Delivery,Manpower Delivery Rate,Project Elapsed Time,Project Inactive Time,Implementation Date,Project Activity Scope,Effort Plan,Effort Specify,Effort Design,Effort Build,Effort Test,Effort Implement,Effort Unrecorded,Recording Method,Resource Level,Team Size Group,Max Team Size,Average Team Size,Ratio of Project Work Effort to Non-Project Activity,Percentage of Uncollected Work Effort,CASE Tool Used,Used Methodology,How Methodology Acquired,1st Hardware,1st Language,1st Operating System,Integrated Development Environment,1st Debugging Tool,1st Data Base System,1st Component Server,1st Web Server,1st Message Server,1st Other Platform,Development Methodologies,Development Techniques,JAD Method Used,Agile Method Used,Sprints / iterations,Sprints / iterations length,Sprints / iterations size,Prototyping Used,Planning Documents,Specification Documents,Specification Techniques,Design Documents,Design Techniques,Build Products,Build Activity,Test Documents,Test Activity,Implement Documents,Implement Activity,Functional Sizing Technique,FP Standard,FP Standards All,Reference Table Approach,Architecture,Client Server?,Client Roles,Server Roles,Type of Server,Client/Server Description,Web Development,DBMS Used,Upper CASE Used,Lower CASE Used (with code gen),Lower CASE Used (no code gen),Integrated CASE Used,Other CASE tools?,Other CASE tool names,Staged development?,Project management tools?,Project management tool name,Debugging tools?,Debugging tool name,Testing tools?,Testing tool name,Performance monitoring tools?,Performance tool name,Other tools?,Other tools name,Input count,Output count,Enquiry count,File count,Interface count,Added count,Changed count,Deleted count,COSMIC Entry,COSMIC Exit,COSMIC Read,COSMIC Write,Portability requirements,Metrics Program,Metrics Program duration,FP training,FP counter experience,FP count frequency,FP counter certification,FP counter membership,Count Tool,Business Area Type,Software Process CMM,Software Process CMMI,Software Process SPICE,Software Process ISO,Software Process TICKIT,Software Process Other,Package Customisation,Degree of Customisation,Minor Defects,Major Defects,Extreme Defects,Total Defects Delivered,Process improvement pgm?,Decision making process,User Base - Business Units,User Base - Locations,User Base - Distinct Users,User Base - Concurrent Users,Intended Market,Target Platform,Device Embedded,Size estimate,Size estimate approach,Size estimate method,Effort estimate,Effort estimate method,Delivery date estimate,Delivery date estimate method,Cost estimate,Cost estimate currency,Cost estimate method,Estimating tool,Estimating comments,Estimate compilation date,Project objective A all functionality,Project objective B minimum defects,Project objective C minimum cost,Project objective D shortest time,Project user involvement,BA team experience <1 yr,BA team experience 1 to 3 yr,BA team experience >3 yr,IT experience <1 yr,IT experience 1 to 3 yr,IT experience >3 yr,IT experience <3 yr,IT experience 3 to 9 yr,IT experience >9 yr,Project manage experience,Project manage changes,Personnel changes,User satisfaction survey,Meet stated objectives,Meet business requirements,Quality of functionality,Quality of documentation,Ease of use,Training given,Speed of defining solution,Speed of providing solution,Survey respondent role,User survey comments,Date user survey,Lines of Code,Lines of Code not Statements,Other Size Units,Software reuse?,Software reuse,Reuse FP count,Reuse FP approach,Total project cost,Cost currency,Currency multiple,Plan total cost,Specify total cost,Design total cost,Build total cost,Test total cost,Impl total cost,Overheads included,Cost recording method,All cost included,Unreported costs,Estimate unreported costs,Cost method description,Cost Confidence Level,Cost Confidence Reason,Cost Other Comment,Plan Defects,Specification Defects,Design Defects,Minor Build Defects,Major Build Defects,Extreme Build Defects,Total Build Defects,Minor Test Defects,Major Test Defects,Extreme Test Defects,Total Test Defects,Minor Impl Defects,Major Impl Defects,Extreme Impl Defects,Total Impl Defects,2nd Hardware,2nd Language,2nd Operating System,2nd Data Base System,2nd Component Server,2nd Web Server,2nd Message Server,2nd Other Platform,Project Manager,Business Analyst,Software Architect,User-Interface,Graphic Artist,Developer,QA/Tester,Training & Documentation,Database Administrator,IT System Administrator,Other (1),Other (1) Effort,Other (2),Other (2) Effort,Project Type
10003,B,B,2015,Communication,Telecommunications;,Business Application,Online. eSales;,Enhancement,Multi,,,IFPUG 4+,67,S,67,,741,741,608,11.1,11.1,9.1,,15.2,,4.4,,2015-07-23 00:00:00,Design;Build;Test;Implement;,,,,,,,608,Staff hours (recorded),1,,,,,,,,,,,,,,,,Yes,,,Waterfall (incl Linear Processing & SSADM);,Business Area Modelling;Data Modelling;Object Oriented;Prototyping;,,,,,,Yes,,,,,,,,,,,,,IFPUG 4.3,IFPUG 4.3.1;,,Multi-tier with web public interface,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outsourced;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project
10011,B,A,1996,Construction,Construction;,Business Application,Stock control & order processing;,New Development,Multi,4GL,Access,IFPUG 4+,443,M2,443,,856,856,796,1.9,1.9,1.8,,170.4,,2.6,0,1996-06-20 00:00:00,Planning;Specification;Build;Test;,,,,,,,796,Staff hours (derived),1,,,,1,under 5%,No,Don't Know,,PC;,ACCESS;,Windows 95;,,,ACCESS;,,,,,Waterfall (incl Linear Processing & SSADM);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,Multi-tier / Client server,Yes,,,,C/S;,,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't Know;,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project
10012,B,A,2002,Wholesale & Retail,Billing;,Business Application,Billing;,Enhancement,,3GL,COBOL,IFPUG 4+,76,S,74,0.98,1100,1100,1100,14.5,14.5,14.9,,,,,,2002-03-01 00:00:00,,,,,,,,1100,Staff hours (recorded),1,,,,,,,Yes,,,COBOL II;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG 4.1,IFPUG 4.1;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project
10026,B,A,2000,Insurance,Insurance;,Business Application,Sales contact management;,New Development,MF,3GL,Java,IFPUG 4+,620,M2,620,,18160,18160,18160,29.3,29.3,29.3,,88.6,,7,0,2000-06-30 00:00:00,Planning;Specification;Build;Test;,,,,,,,18160,Staff hours (recorded),1,,,,1,under 5%,No,Don't Know,,MF;,Java;,Soralis;Windows 95/Windows 98;,,,IMS;DB2;,,,,,Waterfall (incl Linear Processing & SSADM);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,,Don't Know,,,,,,Yes,No,No,No,No,,,,,,,,,,,,,,125,159,221,73,42,620,,,,,,,,,,,,,,,,Don't Know;,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project
10033,B,B,2012,Medical & Health Care,Medical and Health Care;,,not recorded;,Enhancement,,,,IFPUG 4+,162,M1,162,,92380,92380,92380,570.2,570.2,570.2,,8.1,0,20,,2012-09-05 00:00:00,Planning;Specification;Design;Build;Test;Implement;Proj Management;,1188,14709,10759,24497,17620,8564,15043,Staff hours (recorded),1,101+,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFPUG,IFPUG;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4071933,"United States, dollar",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project
10063,B,A,1999,Manufacturing,Manufacturing;,Business Application,Customer billing/relationship management;,New Development,Multi,3GL,Visual Basic,IFPUG 4+,849,M2,849,,2499,2499,1874,2.9,2.9,2.2,,160.2,,5.3,0,1999-03-24 00:00:00,Planning;Specification;Build;,,,,,,,1874,Staff hours (derived),1,,,,1,under 5%,No,Don't Know,,MR;,VB;,UNIX;Windows 98;,,,Oracle;,,,,,Waterfall (incl Linear Processing & SSADM);,,,,,,,,,,,,,,,,,,,,Addendum to existing standards,Addendum to existing standards;,Don't Know;,Multi-tier / Client server,Yes,,,,C/S;,,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Don't Know;,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project
10085,A,B,2010,Electronics & Computers,Computers & Software;,,,Enhancement,MR,4GL,ABAP,IFPUG 4+,416,M2,424,1.01,9205,9205,9205,22.1,22.1,21.7,0,59.4,2.1,7,,2010-01-25 00:00:00,,327,362,1000,4700,2038,778,0,Staff hours (recorded),1,21-30,28,,,,,,,Unix Server;,ABAP;,z/OS;,,,Yes,,,,,Incremental;,,,,,,,,,,,,,,Unit Testing;,,Integration Testing;,,,,IFPUG 4.2,IFPUG 4.2;,,Client server,Yes,,,,,,,,,,,,,,Yes,PreSage;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,50,,,,,292,IFPUG FPs,,11845,,2010-01-25 00:00:00,,,,,,,2009-09-21 00:00:00,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project
