Unnamed_0,External_EEF_Data_Quality_Rating,Project_PRF_Year_of_Project,External_EEF_Industry_Sector,External_EEF_Organisation_Type,Project_PRF_Application_Group,Project_PRF_Application_Type,Project_PRF_Development_Type,Tech_TF_Development_Platform,Tech_TF_Language_Type,Tech_TF_Primary_Programming_Language,Project_PRF_Functional_Size,Project_PRF_Relative_Size,Project_PRF_Normalised_Work_Effort_Level_1,Project_PRF_Normalised_Work_Effort,Project_PRF_Normalised_Level_1_PDR_ufp,Project_PRF_Normalised_PDR_ufp,Project_PRF_Speed_of_Delivery,Project_PRF_Project_Elapsed_Time,Project_PRF_Team_Size_Group,Project_PRF_Max_Team_Size,Project_PRF_CASE_Tool_Used,Process_PMF_Development_Methodologies,Process_PMF_Docs,Tech_TF_Architecture,Tech_TF_Client_Server,Tech_TF_DBMS_Used,Tech_TF_Tools_Used
10003,B,2015,Communication,Telecommunications;,Business Application,Online. eSales;,Enhancement,Multi,Missing,Missing,67.0,S,741.0,741,11.1,11.1,15.2,4.4,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier with web public interface,Missing,Missing,0.0
10011,B,1996,Construction,Construction;,Business Application,Stock control & order processing;,New Development,Multi,4GL,Access,443.0,M2,856.0,856,1.9,1.9,170.4,2.6,Missing,,No,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier / Client server,Yes,Yes,0.0
10012,B,2002,Wholesale & Retail,Billing;,Business Application,Billing;,Enhancement,Missing,3GL,COBOL,76.0,S,1100.0,1100,14.5,14.5,,,Missing,,Missing,Missing,2,Missing,Missing,Missing,0.0
10014,B,2004,Missing,Missing,Missing,Missing,Enhancement,Missing,Missing,Missing,3.0,XXS,28.0,28,9.3,9.3,,,Missing,,Missing,Missing,2,Client server,Yes,Missing,0.0
10015,B,2000,Wholesale & Retail,Wholesale & Retail Trade;,Business Application,Management Information System;,Enhancement,MF,3GL,COBOL,382.0,M2,,23913,,62.6,127.3,3.0,Missing,,Yes,Missing,4,Client server,Yes,Yes,2.0
10019,B,2014,Communication,Telecommunications;,Business Application,Data Warehouse system;,Enhancement,Multi,3GL,Shell,98.0,S,324.0,324,3.3,3.3,22.8,4.3,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier,Missing,Missing,0.0
10026,B,2000,Insurance,Insurance;,Business Application,Sales contact management;,New Development,MF,3GL,Java,620.0,M2,18160.0,18160,29.3,29.3,88.6,7.0,Missing,,No,Waterfall (incl Linear Processing & SSADM);,3,Missing,Don't Know,Yes,0.0
10028,B,2015,Communication,Telecommunications;,Business Application,Customer relationship management;,Enhancement,Multi,4GL,Siebel,138.0,M1,2954.0,2954,21.4,21.4,28.2,4.9,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier,Missing,Missing,0.0
10029,B,2004,Banking,Banking;,Business Application,Financial transaction process/accounting;,New Development,MF,3GL,COBOL,297.0,M1,8186.0,8186,27.6,27.6,,,Missing,,Missing,Missing,3,Missing,Missing,Missing,0.0
10033,B,2012,Medical & Health Care,Medical and Health Care;,Missing,not recorded;,Enhancement,Missing,Missing,Missing,162.0,M1,92380.0,92380,570.2,570.2,8.1,20.0,101+,253.0,Missing,Missing,2,Missing,Missing,Missing,0.0
10036,B,1999,Electronics & Computers,Engineering;Research & Development;Software Development;Client/Server architecture for Language Services;,Business Application,Management Information System;Linguistic Software;,New Development,PC,Missing,Missing,183.0,M1,,568,,3.1,65.4,2.8,Missing,,Missing,Missing,2,Missing,Missing,Yes,0.0
10039,B,1998,Communication,Telecommunication;,Business Application,Transaction/Production System;,Enhancement,Missing,4GL,ADS/Online,,M1,271.0,327,,,,4.0,Missing,,No,Missing,2,Stand alone,No,Missing,0.0
10046,B,2015,Communication,Telecommunications;,Business Application,Customer relationship management;,Enhancement,Multi,3GL,Java,63.0,S,888.0,888,14.1,14.1,16.2,3.9,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier,Missing,Missing,0.0
10047,B,2002,Wholesale & Retail,Ordering;,Business Application,Stock control & order processing;,Enhancement,MF,3GL,C,730.0,M2,20975.0,20975,28.7,28.7,,,Missing,,Missing,Missing,2,Missing,Missing,Yes,0.0
10052,B,2002,Professional Services,Sales & Marketing;,Business Application,Trading;,Enhancement,Missing,Missing,ColdFusion,179.0,M1,789.0,789,4.4,4.4,,,Missing,,Missing,Missing,2,Missing,Missing,Missing,0.0
10056,B,2002,Communication,Voice Provisioning;,Missing,Voice Provisioning;,Enhancement,Missing,3GL,C,114.0,M1,7290.0,7290,63.9,63.9,,,Missing,,Missing,Missing,2,Missing,Missing,Missing,0.0
10059,B,2006,Service Industry,Government;Community Services;,Business Application,Customer billing/relationship management;,New Development,Missing,3GL,C#,568.0,M2,7936.0,7936,14.0,14.0,37.9,15.0,Missing,,Missing,Multifunctional Teams;,9,Missing,Missing,Missing,0.0
10062,B,2007,Insurance,Insurance;,Missing,Missing,Enhancement,MF,3GL,PL/I,401.0,M2,4321.0,4321,10.8,10.8,26.4,15.2,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Stand alone,Missing,Missing,1.0
10063,B,1999,Manufacturing,Manufacturing;,Business Application,Customer billing/relationship management;,New Development,Multi,4GL,Visual Basic,849.0,M2,2499.0,2499,2.9,2.9,160.2,5.3,Missing,,No,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier / Client server,Yes,Yes,0.0
10065,B,2013,Medical & Health Care,Medical and Health Care;,Missing,not recorded;,Enhancement,Missing,Missing,Missing,34.0,S,3444.0,3444,101.3,101.3,2.8,12.0,81-90,90.0,Missing,Missing,2,Missing,Missing,Missing,0.0
10066,B,2006,Banking,Banking;,Business Application,Financial transaction process/accounting;,Enhancement,PC,3GL,Visual Basic,108.0,M1,1402.0,1402,13.0,13.0,21.2,5.1,Missing,,Missing,Missing,3,Missing,Missing,Missing,0.0
10067,B,2003,Financial,"Financial, Property & Business Services;",Missing,Missing,Enhancement,Missing,3GL,COBOL,,Missing,60838.0,60838,,,,9.0,81-90,87.0,Missing,Missing,0,Missing,Missing,Missing,2.0
10069,B,2013,Communication,Telecommunications;,Business Application,Data Warehouse system;,Enhancement,Missing,3GL,Shell,949.0,M2,3567.0,3567,3.8,3.8,306.1,3.1,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Missing,Missing,Missing,0.0
10074,B,1997,Missing,Missing,Missing,Missing,Enhancement,Missing,Missing,Missing,460.0,M2,2253.0,2253,4.9,4.9,115.0,4.0,5-8,5.0,Don't Know,Missing,4,Missing,Missing,Missing,0.0
10075,A,1994,Financial,"Financial, Property & Business Services;",Business Application,Office Information System;,New Development,PC,4GL,SQL,1502.0,L,6020.0,7490,4.0,5.0,375.5,4.0,5-8,7.0,No,Joint Application Development (JAD);Multifunctional Teams;Rapid Application Development (RAD);Timeboxing;,6,Stand alone,Missing,Yes,1.0
10076,B,2003,Insurance,Insurance;,Missing,Missing,New Development,MF,3GL,PL/I,66.0,S,507.0,507,7.7,7.7,3.9,17.0,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,4,Missing,Missing,Missing,2.0
10078,B,2015,Communication,Telecommunications;,Business Application,Broadband application;,Enhancement,Multi,Missing,Missing,56.0,S,439.0,439,7.8,7.8,15.1,3.7,Missing,,Missing,Waterfall (incl Linear Processing & SSADM);,3,Multi-tier,Missing,Missing,0.0
10080,B,2004,Missing,Missing,Missing,Missing,Enhancement,Missing,4GL,PowerBuilder,46.0,S,1009.0,1009,21.9,21.9,25.6,1.8,Missing,,Missing,Missing,2,Client server,Yes,Missing,0.0
10085,A,2010,Electronics & Computers,Computers & Software;,Missing,Missing,Enhancement,MR,4GL,ABAP,416.0,M2,9205.0,9205,22.1,22.1,59.4,7.0,21-30,28.0,Missing,Incremental;,4,Client server,Yes,Missing,2.0
10090,B,2004,Financial,"Financial, Property & Business Services;",Business Application,Financial transaction process/accounting;Client Server;,Enhancement,Multi,4GL,Missing,,L,2525.0,2525,,,,8.4,Missing,,Missing,Missing,3,Client server,Yes,Missing,0.0
10095,B,2002,Insurance,Insurance;,Missing,Missing,New Development,Multi,ApG,COOL:Gen,400.0,M2,150.0,150,0.4,0.4,80.0,5.0,Missing,,Missing,Missing,4,Missing,Missing,Missing,0.0
10096,B,2005,Insurance,Insurance;,Missing,Missing,Enhancement,Multi,4GL,Missing,22.0,XS,134.0,134,6.1,6.1,7.3,3.0,Missing,,Missing,Missing,3,Missing,Missing,Missing,0.0
10104,B,2004,Missing,Missing,Missing,Missing,Enhancement,Missing,4GL,Oracle,7.0,XXS,396.0,396,56.6,56.6,3.7,1.9,Missing,,Missing,Missing,2,Client server,Yes,Missing,0.0
10109,B,2015,Insurance,Insurance;,Business Application,Workflow support & management;,New Development,PC,4GL,.Net,317.0,M2,3735.0,3735,11.8,11.8,47.3,6.7,5-8,7.0,Missing,Missing,2,Stand alone,Missing,Missing,0.0
10116,B,1999,Missing,Missing,Business Application,Management Information System;,Enhancement,MR,Missing,Missing,779.0,M2,,33387,,42.9,,,Missing,,Missing,Missing,3,Client server,Yes,Yes,0.0
10132,B,2010,Manufacturing,Manufacturing;,Business Application,Cars selling;,Enhancement,MR,3GL,Java,260.0,M1,,3480,,13.4,81.3,3.2,Missing,,Missing,Missing,8,Client server,Yes,Yes,2.0
