<<<<<<< Updated upstream
<<<<<<< Updated upstream
<<<<<<< Updated upstream
ISBSG_Project_ID,Project_PRF_Year_of_Project,External_EEF_Industry_Sector,External_EEF_Organisation_Type,Project_PRF_Application_Type,Tech_TF_Primary_Programming_Language,Project_PRF_Functional_Size,Project_PRF_Relative_Size,Project_PRF_Normalised_Work_Effort_Level_1,Project_PRF_Normalised_Work_Effort,Project_PRF_Normalised_Level_1_PDR_ufp,Project_PRF_Normalised_PDR_ufp,Project_PRF_Speed_of_Delivery,Project_PRF_Project_Elapsed_Time,Project_PRF_Team_Size_Group,Project_PRF_Max_Team_Size,Process_PMF_Development_Methodologies,Process_PMF_Docs,Tech_TF_Tools_Used,External_EEF_Data_Quality_Rating_B,Project_PRF_Application_Group_Business_Application_Infrastructure_Software,Project_PRF_Application_Group_Infrastructure_Software,Project_PRF_Application_Group_Mathematically_intensive_application,Project_PRF_Application_Group_MathematicallyIntensive_Application,Project_PRF_Application_Group_Missing,Project_PRF_Application_Group_RealTime_Application,Project_PRF_Development_Type_New_Development,Project_PRF_Development_Type_Redevelopment,Tech_TF_Development_Platform_MF,Tech_TF_Development_Platform_MR,Tech_TF_Development_Platform_Missing,Tech_TF_Development_Platform_Multi,Tech_TF_Development_Platform_PC,Tech_TF_Development_Platform_Proprietary,Tech_TF_Language_Type_3GL,Tech_TF_Language_Type_4GL,Tech_TF_Language_Type_5GL,Tech_TF_Language_Type_APG,Tech_TF_Language_Type_ApG,Tech_TF_Language_Type_Missing,Project_PRF_CASE_Tool_Used_Missing,Project_PRF_CASE_Tool_Used_No,Project_PRF_CASE_Tool_Used_Yes,Tech_TF_Architecture_Missing,Tech_TF_Architecture_Multitier,Tech_TF_Architecture_Multitier__Client_server,Tech_TF_Architecture_Multitier_with_web_interface,Tech_TF_Architecture_Multitier_with_web_public_interface,Tech_TF_Architecture_Stand_alone,Tech_TF_Architecture_Standalone,Tech_TF_Client_Server_Missing,Tech_TF_Client_Server_No,Tech_TF_Client_Server_Not_Applicable,Tech_TF_Client_Server_Yes,Tech_TF_DBMS_Used_No,Tech_TF_DBMS_Used_Yes
10003,2015,Communication,Telecommunications;,Online. eSales;,Missing,67.0,S,741.0,741,11.1,11.1,15.2,4.4,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
10011,1996,Construction,Construction;,Stock control & order processing;,Access,443.0,M2,856.0,856,1.9,1.9,170.4,2.6,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
10012,2002,Wholesale & Retail,Billing;,Billing;,COBOL,76.0,S,1100.0,1100,14.5,14.5,,,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10014,2004,Missing,Missing,Missing,Missing,3.0,XXS,28.0,28,9.3,9.3,,,Missing,,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10015,2000,Wholesale & Retail,Wholesale & Retail Trade;,Management Information System;,COBOL,382.0,M2,,23913,,62.6,127.3,3.0,Missing,,Missing,4,2.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
10019,2014,Communication,Telecommunications;,Data Warehouse system;,Shell,98.0,S,324.0,324,3.3,3.3,22.8,4.3,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
10026,2000,Insurance,Insurance;,Sales contact management;,Java,620.0,M2,18160.0,18160,29.3,29.3,88.6,7.0,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10028,2015,Communication,Telecommunications;,Customer relationship management;,Siebel,138.0,M1,2954.0,2954,21.4,21.4,28.2,4.9,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
10029,2004,Banking,Banking;,Financial transaction process/accounting;,COBOL,297.0,M1,8186.0,8186,27.6,27.6,,,Missing,,Missing,3,0.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10033,2012,Medical & Health Care,Medical and Health Care;,not recorded;,Missing,162.0,M1,92380.0,92380,570.2,570.2,8.1,20.0,101+,253.0,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
