isbsg_project_id,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,process_pmf_docs,tech_tf_tools_used,project_prf_application_group_business_application,project_prf_application_group_infrastructure_software,project_prf_application_group_mathematically_intensive_application,project_prf_application_group_mathematically_intensive_application_1,project_prf_application_group_missing,project_prf_application_group_real_time_application,external_eef_data_quality_rating_B,external_eef_data_quality_rating_C,external_eef_data_quality_rating_D,project_prf_development_type_New_Development,project_prf_development_type_Not_Defined,project_prf_development_type_Other,project_prf_development_type_POC,project_prf_development_type_Porting,project_prf_development_type_Re_development,tech_tf_development_platform_MF,tech_tf_development_platform_MR,tech_tf_development_platform_Missing,tech_tf_development_platform_Multi,tech_tf_development_platform_PC,tech_tf_development_platform_Proprietary,tech_tf_language_type_3GL,tech_tf_language_type_4GL,tech_tf_language_type_5GL,tech_tf_language_type_APG,tech_tf_language_type_ApG,tech_tf_language_type_Missing,project_prf_relative_size_M1,project_prf_relative_size_M2,project_prf_relative_size_Missing,project_prf_relative_size_S,project_prf_relative_size_XL,project_prf_relative_size_XS,project_prf_relative_size_XXL,project_prf_relative_size_XXS,project_prf_relative_size_XXXL,project_prf_case_tool_used_Missing,project_prf_case_tool_used_No,project_prf_case_tool_used_Yes,tech_tf_architecture_Missing,tech_tf_architecture_Multi_tier,tech_tf_architecture_Multi_tier_Client_server,tech_tf_architecture_Multi_tier_with_web_interface,tech_tf_architecture_Multi_tier_with_web_public_interface,tech_tf_architecture_Stand_alone,tech_tf_architecture_Stand_alone_1,tech_tf_client_server_Missing,tech_tf_client_server_No,tech_tf_client_server_Not_Applicable,tech_tf_client_server_Yes,tech_tf_dbms_used_No,tech_tf_dbms_used_Yes
10029,2004,Banking,banking,financial transaction process/accounting,COBOL,297.0,8186.0,8186.0,27.6,27.6,0.8500000000000001,28.6,4.8,6.7,Missing,7.0,3,0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10032,2000,Banking,banking,financial transaction process/accounting,Visual Basic,113.0,596.0,596.0,5.3,5.3,0.8500000000000001,43.5,4.8,2.6,Missing,7.0,3,0,1,0,0,0,0,0,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True
10066,2006,Banking,banking,financial transaction process/accounting,Visual Basic,108.0,1402.0,1402.0,13.0,13.0,0.8500000000000001,21.2,4.8,5.1,Missing,7.0,3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10067,2003,Financial,"financial, property & business services",missing,COBOL,174.0,60838.0,60838.0,11.0,11.3,0.8500000000000001,28.6,4.8,9.0,81-90,87.0,0,2,0,0,0,0,1,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10075,1994,Financial,"financial, property & business services",office information system,SQL,1502.0,6020.0,7490.0,4.0,5.0,8.0,375.5,53.6,4.0,5-8,7.0,6,1,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True
10090,2004,Financial,"financial, property & business services",client server; financial transaction process/accounting,Missing,174.0,2525.0,2525.0,11.0,11.3,0.8500000000000001,28.6,4.8,8.4,Missing,7.0,3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10151,1994,Banking,banking,transaction/production system,EASYTRIEVE,174.0,2288.0,2288.0,13.1,13.1,0.8500000000000001,24.9,12.4,7.0,2,2.0,5,4,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
10159,2000,Banking,banking,financial transaction process/accounting,PL/I,4.0,145.0,145.0,36.3,36.3,0.8500000000000001,40.0,4.8,0.1,Missing,7.0,3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10176,2004,Financial,"financial, property & business services",client server; financial transaction process/accounting,Missing,174.0,81.0,81.0,11.0,11.3,0.8500000000000001,28.6,4.8,1.9,Missing,7.0,3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10232,2002,Financial,"financial, property & business services",financial transaction process/accounting,Visual C++,171.0,420.0,420.0,2.5,2.5,0.8500000000000001,28.6,4.8,6.7,Missing,7.0,2,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
10279,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,surveillance and security,C#,26.0,52.0,52.0,2.0,2.0,0.8500000000000001,2.2,2.2,12.0,1,1.0,6,2,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
10283,2008,Financial,"financial, property & business services",financial transaction process/accounting,PL/I,224.0,12548.0,12548.0,56.0,56.0,0.8500000000000001,18.7,2.3,12.0,5-8,8.0,11,2,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
10358,2004,Banking,banking,web-based application,Visual Basic,191.0,571.0,737.0,3.0,3.9,0.0,95.5,19.1,2.0,5-8,5.0,2,0,1,0,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
10390,1995,Banking,banking,missing,COBOL,154.0,2408.0,2408.0,15.6,15.6,0.8500000000000001,25.7,2.9,6.0,9-14,9.0,3,2,0,0,0,0,1,0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
10430,2004,Banking,banking,financial transaction process/accounting,Java,44.0,1416.0,1416.0,32.2,32.2,0.8500000000000001,28.6,4.8,6.7,Missing,7.0,3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
10434,2001,Banking,banking,financial transaction process/accounting,PL/I,14.0,180.0,180.0,12.9,12.9,0.8500000000000001,4.7,4.8,3.0,Missing,7.0,3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
10442,2004,Financial,"financial, property & business services",client server; financial transaction process/accounting,Missing,174.0,1253.0,1253.0,11.0,11.3,0.8500000000000001,28.6,4.8,5.2,Missing,7.0,3,0,1,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
