feature,AdaBoostRegressor,DecisionTreeRegressor,ExtraTreesRegressor,OrthogonalMatchingPursuit,avg_importance
Project_PRF_Normalised_Work_Effort_Level_1,0.2979381355494486,0.1905371133300003,0.0,10053.25857433148,2513.4367623950898
Project_PRF_Team_Size_Group_21_30,0.08565385416537,0.0,0.0,2413.038517147436,603.2810427504003
Project_PRF_Team_Size_Group_9_14,0.0,0.0,0.0,911.9896025404656,227.9974006351164
External_EEF_Organisation_Type_aerospace / automotive,0.0,0.0,0.0,460.7688557569328,115.1922139392332
External_EEF_Organisation_Type_community services; institutions eg. kindergartens,0.0,0.0,0.0,340.2279415196083,85.05698537990207
Tech_TF_Primary_Programming_Language_C_,0.0,0.0,0.0,318.14868151449247,79.53717037862312
People_PRF_Personnel_changes,0.0009416452396567,0.0,0.0,275.4863983454879,68.87183499768189
External_EEF_Organisation_Type_community services; government,0.0,0.0,0.0,204.0874078759008,51.0218519689752
Project_PRF_Relative_Size_M1,0.0,0.0,0.0,184.49040070324003,46.12260017581001
People_PRF_Project_manage_changes,0.0054104746282737,1.2100678889622407e-10,0.0,174.44396181291947,43.61234307191719
Project_PRF_Application_Type_idm,5.540864574360844e-05,0.0,0.0,148.67136967882814,37.16785627186847
External_EEF_Organisation_Type_food processing,0.0,0.0,0.0,87.14831621467714,21.787079053669284
Project_PRF_Application_Type_airport management,0.0,0.0,0.0,60.401976631360185,15.100494157840046
Project_PRF_Relative_Size_Missing,0.0567634497801114,0.8086996819236507,0.0,0.0,0.21636578292594053
project_prf_max_team_size,0.0,0.0,0.3603267111006078,0.0,0.09008167777515196
Project_PRF_Max_Team_Size,0.1375733011351619,0.0,0.0,0.0,0.03439332528379047
project_prf_team_size_group_41_50,0.0,0.0,0.0749644601786056,0.0,0.0187411150446514
process_pmf_development_methodologies_agile_development__iterative,0.0,0.0,0.0748350297533983,0.0,0.018708757438349575
project_prf_team_size_group_21_30,0.0,0.0,0.0721310631111283,0.0,0.018032765777782074
project_prf_application_type_web-based application,0.0,0.0,0.0697670213964569,0.0,0.017441755349114223
external_eef_organisation_type_information technology,0.0,0.0,0.0696375909712496,0.0,0.0174093977428124
External_EEF_Organisation_Type_information technology,0.065436026160385,0.0,0.0,0.0,0.01635900654009625
project_prf_year_of_project,0.0,0.0,0.051756295545049,0.0,0.01293907388626225
Process_PMF_Development_Methodologies__iterative,0.0487267549959749,0.0,0.0,0.0,0.012181688748993724
Project_PRF_Year_of_Project,0.0483891951639857,0.0,0.0,0.0,0.012097298790996426
project_prf_application_type_hospital information system,0.0,0.0,0.0474800994015266,0.0,0.01187002485038165
Project_PRF_Application_Type_web-based application,0.0473490667137134,0.0,0.0,0.0,0.01183726667842835
Project_PRF_Project_Elapsed_Time,0.0437046626328999,7.06558640365056e-07,0.0,0.0,0.010926342297885066
Project_PRF_Team_Size_Group_41_50,0.0421208108562512,0.0,0.0,0.0,0.0105302027140628
Process_PMF_Docs,0.034111521849292,0.0,0.0,0.0,0.008527880462323
External_EEF_Industry_Sector_Electronics & Computers,0.0288950903580964,0.0,0.0,0.0,0.0072237725895241
external_eef_organisation_type_medical and health care,0.0,0.0,0.0256257891601058,0.0,0.00640644729002645
project_prf_team_size_group_61_70,0.0,0.0,0.0245211313989255,0.0,0.006130282849731375
process_pmf_development_methodologies_agile_development__joint_application_development_jad__multifunctional_teams,0.0,0.0,0.0211389407577598,0.0,0.00528473518943995
project_prf_relative_size_l,0.0,0.0,0.0208108655478232,0.0,0.0052027163869558
Tech_TF_Client_Roles_business logic or rule processing; data entry & validation; data retrieval & presentation,0.0181835950286976,0.0,0.0,0.0,0.0045458987571744
project_prf_functional_size,0.0,0.0,0.0179007929963702,0.0,0.00447519824909255
Project_PRF_Application_Group_Missing,0.0169486431993571,0.0,0.0,0.0,0.004237160799839275
people_prf_personnel_changes,0.0,0.0,0.0154890587484443,0.0,0.003872264687111075
project_prf_relative_size_m2,0.0,0.0,0.0134087042551108,0.0,0.0033521760637777
process_pmf_docs,0.0,0.0,0.0109255164270325,0.0,0.002731379106758125
project_prf_team_size_group_9_14,0.0,0.0,0.0088377967889484,0.0,0.0022094491972371
ISBSG_Project_ID,0.0078852637069378,1.2100678889622408e-09,0.0,0.0,0.0019713162292514224
tech_tf_primary_programming_language_java,0.0,0.0,0.0065653487222691,0.0,0.001641337180567275
Tech_TF_Web_Development_Web,0.0033355452154887,0.0,0.0,0.0,0.000833886303872175
Tech_TF_Client_Roles_data entry & validation; data retrieval & presentation; run a computer-human interface; security; web/html browser,0.0021631391217687,0.0,0.0,0.0,0.000540784780442175
Tech_TF_Development_Platform_Multi,0.0018289567157081,0.0003211085762933,0.0,0.0,0.00053751632300035
tech_tf_primary_programming_language_c_,0.0,0.0,0.0017696255140951,0.0,0.000442406378523775
process_pmf_development_methodologies_agile_development__unified_process,0.0,0.0,0.0017176105692724,0.0,0.0004294026423181
Project_PRF_Application_Type_data warehouse system; financial transaction process/accounting; management or performance reporting,0.0014886263116798,0.0,0.0,0.0,0.00037215657791995
Tech_TF_Primary_Programming_Language_JavaScript,0.0014102901453253,0.0,0.0,0.0,0.000352572536331325
Project_PRF_Application_Type_catalogue/register of things or events,0.0013170828119773,0.0,0.0,0.0,0.000329270702994325
external_eef_organisation_type_aerospace _ automotive,0.0,0.0,0.0012814315848741,0.0,0.000320357896218525
project_prf_application_type_catalogue_register of things or events,0.0,0.0,0.0012797306235409,0.0,0.000319932655885225
project_prf_development_type_new_development,0.0,0.0,0.0012328541107031,0.0,0.000308213527675775
project_prf_application_group_mathematically_intensive_application,0.0,0.0,0.0010479291138904,0.0,0.0002619822784726
tech_tf_development_platform_multi,0.0,0.0,0.0009716444575803,0.0,0.000242911114395075
external_eef_industry_sector_medical_health care,0.0,0.0,0.0008458166288305,0.0,0.000211454157207625
project_prf_application_type_mathematical modelling_finance or eng; software development tool,0.0,0.0,0.0008152357873456,0.0,0.0002038089468364
external_eef_industry_sector_manufacturing,0.0,0.0,0.0007392896340416,0.0,0.0001848224085104
project_prf_application_type_idm,0.0,0.0,0.0006892300894305,0.0,0.000172307522357625
tech_tf_architecture_client_server,0.0,0.0,0.0005195020755043,0.0,0.000129875518876075
Project_PRF_Manpower_Delivery_Rate,0.0003678592695204,7.27189133901809e-05,0.0,0.0,0.00011014454572764522
Project_PRF_Total_project_cost,0.0004291336647107,5.771418796406394e-07,0.0,0.0,0.00010742770164758517
Project_PRF_Development_Type_New_Development,0.0003750148519125,0.0,0.0,0.0,9.3753712978125e-05
Project_PRF_Functional_Size,0.0003366275358395,0.0,0.0,0.0,8.4156883959875e-05
External_EEF_Organisation_Type_government,0.0,0.0003172120366841,0.0,0.0,7.9303009171025e-05
tech_tf_client_server_yes,0.0,0.0,0.0002597895230593,0.0,6.4947380764825e-05
Project_PRF_Normalised_PDR_ufp,0.0002320651790782,5.509439098445048e-06,0.0,0.0,5.939365454416126e-05
Project_PRF_Defect_Density,0.0002056920645924,0.0,0.0,0.0,5.14230161481e-05
Tech_TF_Client_Roles_data entry & validation; data retrieval & presentation; web/html browser,0.000197393742304,0.0,0.0,0.0,4.9348435576e-05
project_prf_relative_size_m1,0.0,0.0,0.0001886507543528,0.0,4.71626885882e-05
Project_PRF_Speed_of_Delivery,0.0001424195634273,2.2909618374897583e-05,0.0,0.0,4.13322954505494e-05
external_eef_industry_sector_electronics_computers,0.0,0.0,0.0001294321514618,0.0,3.235803786545e-05
external_eef_industry_sector_service industry,0.0,0.0,0.0001219743339693,0.0,3.0493583492325e-05
