feature,importance,model,importance_type,rank
process_pmf_docs,0.7991803948714227,DecisionTreeRegressor,feature_importances_,1
project_prf_team_size_group_21_30,0.1598875156572501,DecisionTreeRegressor,feature_importances_,2
project_prf_max_team_size,0.02449899159169061,DecisionTreeRegressor,feature_importances_,3
people_prf_personnel_changes,0.005557056896337257,DecisionTreeRegressor,feature_importances_,4
project_prf_functional_size,0.0038195133497910066,DecisionTreeRegressor,feature_importances_,5
tech_tf_client_server_no,0.0036272691761000068,DecisionTreeRegressor,feature_importances_,6
project_prf_development_type_re_development,0.0017477309091005898,DecisionTreeRegressor,feature_importances_,7
project_prf_application_type_idm,0.0009410406956444791,DecisionTreeRegressor,feature_importances_,8
tech_tf_primary_programming_language_proprietary_agile_platform,0.000250270508141961,DecisionTreeRegressor,feature_importances_,9
tech_tf_architecture_client_server,0.00017587473790760472,DecisionTreeRegressor,feature_importances_,10
project_prf_application_group_real_time_application,7.050096364774613e-05,DecisionTreeRegressor,feature_importances_,11
external_eef_industry_sector_utilities,6.831502068308213e-05,DecisionTreeRegressor,feature_importances_,12
project_prf_application_type_automated data acquisition,4.335488026049423e-05,DecisionTreeRegressor,feature_importances_,13
tech_tf_tools_used,3.078936763431326e-05,DecisionTreeRegressor,feature_importances_,14
project_prf_relative_size_m1,2.8348529472134573e-05,DecisionTreeRegressor,feature_importances_,15
external_eef_industry_sector_service industry,2.505519188148867e-05,DecisionTreeRegressor,feature_importances_,16
tech_tf_primary_programming_language_oracle,1.7674199914469646e-05,DecisionTreeRegressor,feature_importances_,17
project_prf_team_size_group_3_4,1.493658963451887e-05,DecisionTreeRegressor,feature_importances_,18
tech_tf_primary_programming_language_c_,4.974311155810212e-06,DecisionTreeRegressor,feature_importances_,19
project_prf_application_type_catalogue/register of things or events,4.269688792692633e-06,DecisionTreeRegressor,feature_importances_,20
project_prf_application_type_auditing management,2.819126939482475e-06,DecisionTreeRegressor,feature_importances_,21
project_prf_application_type_content management system; dynamic website,1.7570735772397597e-06,DecisionTreeRegressor,feature_importances_,22
