feature,importance
project_prf_max_team_size,0.32015209237229086
external_eef_organisation_type_information technology,0.13074745960889933
project_prf_year_of_project,0.1049862943793201
process_pmf_development_methodologies_agile_development__iterative,0.10430944686347743
project_prf_application_type_web-based application,0.09882424065588408
process_pmf_docs,0.08532052654433524
project_prf_team_size_group_21_30,0.07736282202350546
project_prf_team_size_group_41_50,0.042939523910173895
people_prf_personnel_changes,0.01021519059078413
tech_tf_development_platform_multi,0.007843715749402331
project_prf_functional_size,0.006156232201350736
project_prf_application_group_business_application,0.002358405652280238
tech_tf_primary_programming_language_c__,0.0012674546104406229
project_prf_team_size_group_9_14,0.0010305986986271073
tech_tf_web_development_web,0.0008800971663667386
tech_tf_architecture_multi_tier,0.0008734948677995226
external_eef_organisation_type_community services,0.0008194169388913153
external_eef_industry_sector_communication,0.0005349657794687045
project_prf_application_type_complex process control; workflow support & management,0.0005315740460306458
tech_tf_architecture_multi_tier_with_web_public_interface,0.0002826183537952096
external_eef_organisation_type_community services; institutions eg. kindergartens,0.0002818698524309644
external_eef_organisation_type_transport & storage,0.0002390873678260845
project_prf_application_type_embedded software - simple device control; online analysis and reporting; telecom & network management,0.00021613503095129158
tech_tf_client_server_no,0.00019463182725357482
tech_tf_server_roles_multi-user legacy application,0.00015216157195496133
project_prf_relative_size_m2,0.00015099223880428529
project_prf_cost_currency_canada__dollar,0.0001373806017438396
project_prf_application_type_airport management,0.00012289420738315077
project_prf_application_group_mathematically_intensive_application,0.00011772598219574145
tech_tf_primary_programming_language_java,0.0001133286609292074
external_eef_organisation_type_government,9.621620343650678e-05
tech_tf_server_roles_Missing,9.584494697729004e-05
external_eef_industry_sector_electronics & computers,7.46854475954645e-05
tech_tf_server_roles_html/web server; security/authentication,6.356360323606147e-05
project_prf_development_type_new_development,6.195189398967224e-05
project_prf_application_type_mathematical modelling (finance or eng.); software development tool,5.637488794996495e-05
tech_tf_primary_programming_language_oracle,4.4346546051147575e-05
tech_tf_development_platform_proprietary,4.363905173271384e-05
tech_tf_tools_used,3.1554494496631566e-05
"external_eef_organisation_type_education institution; electricity, gas, water; university",2.9466850478245936e-05
external_eef_organisation_type_energy,2.936854545448658e-05
tech_tf_language_type_4GL,2.6465632463373545e-05
project_prf_team_size_group_3_4,2.1100255104676127e-05
tech_tf_primary_programming_language_abap,1.8065018023414342e-05
project_prf_application_type_customer relationship management,1.342228443221896e-05
tech_tf_language_type_5GL,1.3405502703373436e-05
tech_tf_architecture_client_server,1.2753730120116199e-05
project_prf_relative_size_xs,1.2671523172810342e-05
project_prf_relative_size_s,1.0966229335932279e-05
project_prf_application_type_course management system; dynamic website,1.0381832859500637e-05
project_prf_application_type_automated data acquisition,7.999698690948326e-06
project_prf_application_type_online analysis and reporting,7.68850383736306e-06
project_prf_application_type_security controls,7.686701698945333e-06
project_prf_application_type_security/authentication,4.903104992733193e-06
tech_tf_primary_programming_language_proprietary_agile_platform,4.554382464231169e-06
"external_eef_organisation_type_education institution; electricity, gas, water; ieee",4.381275321625968e-06
project_prf_development_type_re_development,4.366247008326528e-06
tech_tf_server_roles_data acquisation,3.2168738131786806e-06
external_eef_organisation_type_banking,3.174689235846027e-06
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,2.8067846975079375e-06
external_eef_industry_sector_education,2.7606420054968264e-06
external_eef_industry_sector_utilities,1.984665423789253e-06
process_pmf_development_methodologies_personal_software_process__psp___unified_process,1.846585547589022e-06
tech_tf_development_platform_pc,1.7806650903573462e-06
tech_tf_dbms_used_yes,1.2203111088354746e-06
tech_tf_server_roles_database server; html/web server; security/authentication,1.1659996365241964e-06
project_prf_application_type_customer billing/relationship management,1.0943906866321743e-06
process_pmf_development_methodologies_agile_development,1.0928775837429657e-06
project_prf_team_size_group_2,1.0851061247811886e-06
tech_tf_server_roles_security/authentication,9.610794898549078e-07
tech_tf_primary_programming_language_c_,9.502045146653234e-07
tech_tf_architecture_stand_alone,9.463184362845979e-07
tech_tf_primary_programming_language_javascript,8.852308428318293e-07
external_eef_data_quality_rating_b,6.571494880801096e-07
external_eef_industry_sector_government,5.322910853488823e-07
tech_tf_development_platform_mr,4.3115577913229685e-07
external_eef_organisation_type_high tech,3.735324690348763e-07
project_prf_application_type_catalogue/register of things or events,3.4923618109963785e-07
tech_tf_server_roles_database server; html/web server; mail server; security/authentication,3.1905027764185154e-07
external_eef_industry_sector_service industry,1.5033472451037338e-07
external_eef_organisation_type_medical and health care,1.1514988432793745e-08
external_eef_industry_sector_manufacturing,5.625442203577777e-10
external_eef_organisation_type_aerospace / automotive,0.0
"external_eef_organisation_type_financial, property & business services",0.0
project_prf_team_size_group_Missing,0.0
external_eef_organisation_type_telecommunications,0.0
external_eef_organisation_type_community services; government; public administration,0.0
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,0.0
external_eef_organisation_type_all industry organization types,0.0
process_pmf_development_methodologies_agile_development__scrum,0.0
process_pmf_development_methodologies_agile_development__unified_process,0.0
external_eef_organisation_type_community services; government,0.0
project_prf_team_size_group_5_8,0.0
external_eef_organisation_type_banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,0.0
"external_eef_organisation_type_art , events , ticketing",0.0
external_eef_industry_sector_medical & health care,0.0
external_eef_industry_sector_financial,0.0
tech_tf_client_server_yes,0.0
external_eef_industry_sector_Missing,0.0
external_eef_industry_sector_banking,0.0
project_prf_team_size_group_61_70,0.0
project_prf_application_group_real_time_application,0.0
project_prf_application_group_infrastructure_software,0.0
tech_tf_primary_programming_language_pl_i,0.0
tech_tf_server_roles_database server; file &/or print server; html/web server; mail server; security/authentication,0.0
tech_tf_server_roles_html/web server; multi-user legacy application,0.0
tech_tf_server_roles_database server,0.0
tech_tf_server_roles_database server; file &/or print server; html/web server; multi-user legacy application,0.0
project_prf_application_type_project management,0.0
project_prf_application_type_clinical archive,0.0
project_prf_application_type_idm,0.0
project_prf_application_type_course management,0.0
project_prf_application_type_data warehouse system; financial transaction process/accounting; management or performance reporting,0.0
external_eef_organisation_type_public sector,0.0
project_prf_relative_size_l,0.0
project_prf_relative_size_m1,0.0
project_prf_application_type_auditing management,0.0
project_prf_application_type_surveillance and security,0.0
project_prf_application_type_business application,0.0
project_prf_relative_size_xxs,0.0
project_prf_application_type_content management system; dynamic website,0.0
"project_prf_application_type_customer billing; document management; financial transaction process/accounting; online analysis and reporting; reservation system (eg. airline, hotel); stock control & order processing; workflow support & management",0.0
project_prf_cost_currency_european__euro,0.0
