feature,importance,model,importance_type,rank
project_prf_max_team_size,0.3687651041855433,GradientBoostingRegressor,feature_importances_,1
project_prf_year_of_project,0.22311122829830488,GradientBoostingRegressor,feature_importances_,2
process_pmf_docs,0.12540950507265014,GradientBoostingRegressor,feature_importances_,3
process_pmf_development_methodologies_agile_development__iterative,0.10173832377966761,GradientBoostingRegressor,feature_importances_,4
project_prf_application_type_web-based application,0.07541064317983881,GradientBoostingRegressor,feature_importances_,5
project_prf_team_size_group_21_30,0.03896108116627192,GradientBoostingRegressor,feature_importances_,6
project_prf_team_size_group_41_50,0.02371642459529837,GradientBoostingRegressor,feature_importances_,7
people_prf_personnel_changes,0.010233174631775423,GradientBoostingRegressor,feature_importances_,8
tech_tf_development_platform_multi,0.007844654909909696,GradientBoostingRegressor,feature_importances_,9
external_eef_organisation_type_information technology,0.007644544793072389,GradientBoostingRegressor,feature_importances_,10
project_prf_functional_size,0.0067203378851168494,GradientBoostingRegressor,feature_importances_,11
project_prf_application_group_business_application,0.0024330910998757076,GradientBoostingRegressor,feature_importances_,12
project_prf_team_size_group_9_14,0.0011914450665769139,GradientBoostingRegressor,feature_importances_,13
tech_tf_architecture_multi_tier,0.0011418432332443377,GradientBoostingRegressor,feature_importances_,14
project_prf_application_type_embedded software - simple device control; online analysis and reporting; telecom & network management,0.0011275058336113913,GradientBoostingRegressor,feature_importances_,15
tech_tf_web_development_web,0.0006308992142236397,GradientBoostingRegressor,feature_importances_,16
tech_tf_architecture_multi_tier_with_web_public_interface,0.0005284656704202405,GradientBoostingRegressor,feature_importances_,17
project_prf_application_type_complex process control; workflow support & management,0.0004545654428967902,GradientBoostingRegressor,feature_importances_,18
external_eef_industry_sector_communication,0.00037267972564373623,GradientBoostingRegressor,feature_importances_,19
project_prf_application_type_online analysis and reporting,0.00032940147535340697,GradientBoostingRegressor,feature_importances_,20
external_eef_organisation_type_transport & storage,0.0002390873678260845,GradientBoostingRegressor,feature_importances_,21
tech_tf_tools_used,0.0001926601987026674,GradientBoostingRegressor,feature_importances_,22
tech_tf_primary_programming_language_c__,0.00016138884863886737,GradientBoostingRegressor,feature_importances_,23
external_eef_industry_sector_electronics & computers,0.00014120537845808119,GradientBoostingRegressor,feature_importances_,24
project_prf_cost_currency_canada__dollar,0.00013738060174383956,GradientBoostingRegressor,feature_importances_,25
tech_tf_server_roles_multi-user legacy application,0.00013100682230083043,GradientBoostingRegressor,feature_importances_,26
project_prf_application_type_airport management,0.00012289420738315093,GradientBoostingRegressor,feature_importances_,27
tech_tf_server_roles_database server; html/web server; mail server; security/authentication,0.00011772598219574148,GradientBoostingRegressor,feature_importances_,28
external_eef_organisation_type_government,9.603060501118533e-05,GradientBoostingRegressor,feature_importances_,29
project_prf_relative_size_m2,9.47414084168011e-05,GradientBoostingRegressor,feature_importances_,30
external_eef_organisation_type_telecommunications,8.892971388503032e-05,GradientBoostingRegressor,feature_importances_,31
external_eef_organisation_type_community services; institutions eg. kindergartens,8.821254850267819e-05,GradientBoostingRegressor,feature_importances_,32
tech_tf_client_server_no,8.083526488619395e-05,GradientBoostingRegressor,feature_importances_,33
project_prf_development_type_new_development,6.114059832535187e-05,GradientBoostingRegressor,feature_importances_,34
tech_tf_architecture_client_server,4.631995521275775e-05,GradientBoostingRegressor,feature_importances_,35
project_prf_relative_size_s,4.1658212906135504e-05,GradientBoostingRegressor,feature_importances_,36
external_eef_industry_sector_utilities,3.951491691446491e-05,GradientBoostingRegressor,feature_importances_,37
tech_tf_language_type_5GL,3.7535586751548545e-05,GradientBoostingRegressor,feature_importances_,38
tech_tf_primary_programming_language_oracle,3.480931213507521e-05,GradientBoostingRegressor,feature_importances_,39
external_eef_organisation_type_energy,3.20476603365741e-05,GradientBoostingRegressor,feature_importances_,40
project_prf_team_size_group_5_8,3.032748269693765e-05,GradientBoostingRegressor,feature_importances_,41
tech_tf_primary_programming_language_java,2.8541831307386447e-05,GradientBoostingRegressor,feature_importances_,42
tech_tf_language_type_4GL,2.646563246337359e-05,GradientBoostingRegressor,feature_importances_,43
tech_tf_primary_programming_language_proprietary_agile_platform,1.9187800485924953e-05,GradientBoostingRegressor,feature_importances_,44
tech_tf_server_roles_database server; html/web server; security/authentication,1.8363810665436743e-05,GradientBoostingRegressor,feature_importances_,45
project_prf_application_type_automated data acquisition,1.3332007925679712e-05,GradientBoostingRegressor,feature_importances_,46
project_prf_relative_size_xs,1.2671523172810363e-05,GradientBoostingRegressor,feature_importances_,47
tech_tf_server_roles_data acquisation,1.0110774534518543e-05,GradientBoostingRegressor,feature_importances_,48
project_prf_application_type_course management system; dynamic website,9.330851958918932e-06,GradientBoostingRegressor,feature_importances_,49
"external_eef_organisation_type_education institution; electricity, gas, water; university",8.303981611501111e-06,GradientBoostingRegressor,feature_importances_,50
"external_eef_organisation_type_education institution; electricity, gas, water; ieee",6.9320511609004925e-06,GradientBoostingRegressor,feature_importances_,51
project_prf_application_type_auditing management,6.349550117405597e-06,GradientBoostingRegressor,feature_importances_,52
external_eef_industry_sector_education,6.283773666483376e-06,GradientBoostingRegressor,feature_importances_,53
"external_eef_organisation_type_financial, property & business services",5.132486577855701e-06,GradientBoostingRegressor,feature_importances_,54
tech_tf_development_platform_proprietary,4.875549662844928e-06,GradientBoostingRegressor,feature_importances_,55
tech_tf_development_platform_pc,4.7131963950804975e-06,GradientBoostingRegressor,feature_importances_,56
tech_tf_primary_programming_language_abap,3.8059128030374556e-06,GradientBoostingRegressor,feature_importances_,57
project_prf_application_type_security/authentication,3.56487712960184e-06,GradientBoostingRegressor,feature_importances_,58
project_prf_application_type_security controls,3.207863817395611e-06,GradientBoostingRegressor,feature_importances_,59
external_eef_organisation_type_all industry organization types,3.192164993435122e-06,GradientBoostingRegressor,feature_importances_,60
