feature,importance
tech_tf_server_roles_multi-user legacy application,1934.8404993754145
tech_tf_server_roles_html/web server; multi-user legacy application,1785.9603078422274
project_prf_application_group_business_application,1384.8291548180289
project_prf_application_type_catalogue/register of things or events,1362.503141994977
project_prf_max_team_size,1340.7906254787265
tech_tf_architecture_client_server,1314.406986149952
project_prf_team_size_group_2,1196.8318167847956
external_eef_organisation_type_community services; government; public administration,1175.2480884883212
process_pmf_development_methodologies_agile_development__scrum,1175.248088488321
tech_tf_server_roles_database server,1175.248088488321
project_prf_team_size_group_3_4,1052.957270327439
tech_tf_web_development_web,1009.2466361591894
process_pmf_development_methodologies_agile_development__iterative,967.7533255397889
project_prf_team_size_group_41_50,967.7533255397889
external_eef_organisation_type_information technology,967.7533255397888
project_prf_application_type_web-based application,967.7533255397886
project_prf_team_size_group_21_30,957.4252297958637
tech_tf_architecture_stand_alone,934.9734126345526
tech_tf_language_type_5GL,848.1677940413786
tech_tf_primary_programming_language_proprietary_agile_platform,848.1677940413786
tech_tf_development_platform_proprietary,848.1677940413786
project_prf_application_type_course management,750.9877647258127
external_eef_organisation_type_high tech,750.9877647258121
external_eef_industry_sector_government,729.8672879815942
project_prf_team_size_group_Missing,722.5836663757284
tech_tf_primary_programming_language_java,718.516504041403
external_eef_industry_sector_service industry,712.8589604926392
tech_tf_server_roles_html/web server; security/authentication,689.7290794176706
project_prf_application_type_mathematical modelling (finance or eng.); software development tool,667.4728893006762
project_prf_application_group_mathematically_intensive_application,667.4728893006761
tech_tf_server_roles_database server; html/web server; mail server; security/authentication,667.4728893006761
tech_tf_primary_programming_language_abap,654.6000117097996
tech_tf_client_server_no,654.6000117097996
external_eef_organisation_type_community services; institutions eg. kindergartens,654.6000117097994
project_prf_application_type_online analysis and reporting,654.6000117097993
external_eef_organisation_type_all industry organization types,620.3052283916567
project_prf_application_type_security/authentication,620.3052283916551
external_eef_industry_sector_Missing,620.3052283916514
tech_tf_dbms_used_yes,613.3878503930257
external_eef_industry_sector_manufacturing,593.1406299090609
external_eef_organisation_type_aerospace / automotive,593.1406299090607
project_prf_cost_currency_european__euro,529.015884044148
project_prf_application_type_business application,529.0158840441472
external_eef_industry_sector_banking,501.6249905564606
tech_tf_client_server_yes,498.3584509911898
project_prf_cost_currency_canada__dollar,487.66768548221035
project_prf_application_type_customer relationship management,484.38924785804716
project_prf_relative_size_l,484.3892478580468
external_eef_organisation_type_energy,484.3892478580459
external_eef_industry_sector_utilities,484.38924785803977
project_prf_relative_size_xxs,469.35906022186293
external_eef_organisation_type_government,460.0732168848772
external_eef_industry_sector_medical & health care,458.64711447510604
project_prf_application_type_clinical archive,458.64711447510535
external_eef_organisation_type_medical and health care,458.6471144751051
project_prf_application_type_airport management,453.5269881350333
project_prf_relative_size_s,394.40945518726335
tech_tf_development_platform_pc,385.84634535160444
project_prf_relative_size_xs,380.14773557500155
tech_tf_language_type_4GL,343.4069863581064
project_prf_team_size_group_5_8,338.42560365791417
tech_tf_primary_programming_language_oracle,328.5830939263375
external_eef_industry_sector_education,322.84939100036775
tech_tf_server_roles_Missing,311.10339748453737
external_eef_organisation_type_banking,294.8641591336857
project_prf_team_size_group_9_14,282.64949696247504
external_eef_organisation_type_public sector,269.7940710967176
project_prf_application_type_project management,269.79407109671547
process_pmf_development_methodologies_agile_development,266.0933348520658
project_prf_application_type_security controls,265.64293218582816
tech_tf_development_platform_mr,217.82285869245612
tech_tf_server_roles_database server; file &/or print server; html/web server; multi-user legacy application,217.82285869245612
process_pmf_development_methodologies_agile_development__unified_process,217.82285869245612
project_prf_application_type_data warehouse system; financial transaction process/accounting; management or performance reporting,217.82285869245575
external_eef_industry_sector_electronics & computers,216.76556081397848
external_eef_organisation_type_banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,206.76083142275093
project_prf_application_type_surveillance and security,206.76083142275087
tech_tf_development_platform_multi,194.2388514983214
external_eef_organisation_type_community services; government,187.2550535066564
tech_tf_primary_programming_language_pl_i,187.25505350665583
process_pmf_docs,183.78327943017172
tech_tf_server_roles_security/authentication,172.6311508279741
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,172.6311508279741
"external_eef_organisation_type_education institution; electricity, gas, water; ieee",172.63115082797344
project_prf_application_type_content management system; dynamic website,172.63115082797327
project_prf_relative_size_m2,166.3355031508014
"external_eef_organisation_type_financial, property & business services",164.81829448183385
tech_tf_server_roles_database server; file &/or print server; html/web server; mail server; security/authentication,164.81829448183382
project_prf_application_type_customer billing/relationship management,164.81829448183348
external_eef_industry_sector_financial,164.81829448183174
"external_eef_organisation_type_education institution; electricity, gas, water; university",150.21824017241
project_prf_application_type_course management system; dynamic website,150.21824017240942
process_pmf_development_methodologies_personal_software_process__psp___unified_process,150.2182401724085
tech_tf_server_roles_database server; html/web server; security/authentication,150.2182401724085
project_prf_application_type_idm,148.88019153318805
external_eef_organisation_type_transport & storage,147.9922507354808
people_prf_personnel_changes,104.37574834723296
