project_id,development_type,application_type,team_size,effort_hours,duration_months,complexity,technology_stack,quality_rating,budget_category
1,New Development,Web,11,367.23365666557424,2.3768324496505375,Medium,JavaScript,5.903016538330897,Large
2,Maintenance,Web,6,93.28015304428901,1.3598245637632764,Low,.NET,9.885839942787658,Medium
3,Enhancement,Enterprise,6,175.52711271839098,1.0328325032741112,Low,Python,8.128172871461217,Large
4,Enhancement,Web,12,1359.5435428887392,7.537399095949787,Medium,Java,9.940307507938801,Small
5,New Development,Web,8,3890.6345851238166,17.920766744928343,Medium,JavaScript,9.714684831941524,Small
6,New Development,Mobile,5,716.11346952836,1.284013678852646,Low,Java,5.4058558788473885,Medium
7,New Development,Desktop,14,2774.2595637090717,11.562064169836628,High,Java,7.267382648835092,Small
8,Maintenance,Mobile,5,103.42336255956978,1.0,High,Java,1.9939881424703598,Medium
9,Enhancement,Web,10,909.0898058226242,5.262798441215407,Medium,JavaScript,4.9703394254212165,Large
10,Enhancement,Desktop,7,528.2197199022256,6.668495298580834,Medium,JavaScript,8.281166880400278,Medium
11,New Development,Web,5,701.4189546881236,1.4125466932585389,High,C#,5.54801788879429,Large
12,Maintenance,Web,3,135.0092582129746,1.0,Low,C#,7.324291295355087,Medium
13,Maintenance,Enterprise,7,2976.6356869714364,15.288965193389433,Medium,C#,7.711761969858492,Medium
14,New Development,Web,3,204.1400629245867,1.0,Low,Java,3.281222271186045,Large
15,New Development,Desktop,6,562.5865065806106,3.4788329338832984,Medium,.NET,8.881294356483089,Medium
16,New Development,Desktop,7,79.36297992853507,1.0,Medium,JavaScript,5.138401878182611,Medium
17,New Development,Web,5,362.60870966048657,1.0,Medium,C#,2.891665932593894,Medium
18,Enhancement,Mobile,14,2851.8843091509584,13.894740819187552,Low,.NET,8.788742936095993,Medium
19,New Development,Web,4,450.018415613519,2.903214938743854,Low,C#,4.760369254956283,Small
20,New Development,Mobile,8,74.76969751788918,2.938832562138651,Medium,C#,7.752811945417477,Large
21,Enhancement,Enterprise,3,154.39269172572182,1.5252342109882404,Medium,.NET,5.932297649994336,Large
22,New Development,Desktop,14,6383.800473844348,31.414688667550582,Medium,C#,4.436845770110503,Medium
23,New Development,Enterprise,12,832.8287319054215,5.825731505733726,Medium,Java,8.288887735347124,Medium
24,New Development,Web,7,779.6836179084903,5.898619883953614,Medium,Java,6.260229384801518,Medium
25,New Development,Desktop,14,4561.857441141312,22.20259336806685,Low,Java,4.515058921843286,Medium
26,Enhancement,Web,5,276.5087060648604,1.090637534666234,Low,Python,1.9863808330161432,Medium
27,New Development,Mobile,7,1245.7612858205991,5.374600396498741,Medium,C#,9.059007823900371,Large
28,Enhancement,Enterprise,5,608.7428184734616,4.685520703239023,Medium,Python,1.319226268074999,Medium
29,Enhancement,Web,5,603.0531359688214,3.1636468212032103,Low,JavaScript,8.768686135312507,Small
30,New Development,Mobile,5,471.57214664387186,1.0,Low,.NET,4.239653723948399,Large
31,Enhancement,Web,10,466.6209706220551,3.145422513371403,Medium,JavaScript,6.754048871512652,Medium
32,New Development,Desktop,8,329.9900579257169,4.629220856405274,Low,Python,9.299797514521167,Large
33,New Development,Desktop,4,137.3153723566222,3.8237810746589584,Medium,Java,2.3653595395350857,Small
34,Maintenance,Enterprise,4,62.62392100625114,1.0,Medium,C#,6.102554280749292,Small
35,Maintenance,Mobile,7,1568.4742271732907,6.4491517674819665,Low,C#,7.879895761331729,Large
36,Maintenance,Web,7,456.41918481221956,6.077832075659346,Low,Java,7.818254494471517,Small
37,New Development,Web,5,1731.1209869609954,11.789012377693066,High,C#,5.730687231395536,Large
38,New Development,Web,10,3860.3759540741635,20.23648517296058,Medium,.NET,6.622655139158122,Large
39,Enhancement,Web,5,425.5649076974506,1.0,Medium,.NET,7.817742947195601,Medium
40,New Development,Web,10,216.94807709930686,1.0,Medium,.NET,8.569248739816706,Small
