Unnamed_0,Project_PRF_Year_of_Project,External_EEF_Industry_Sector,External_EEF_Organisation_Type,Project_PRF_Application_Type,Tech_TF_Primary_Programming_Language,Project_PRF_Functional_Size,Project_PRF_Relative_Size,Project_PRF_Normalised_Work_Effort_Level_1,Project_PRF_Normalised_Level_1_PDR_ufp,Project_PRF_Normalised_PDR_ufp,Project_PRF_Speed_of_Delivery,Project_PRF_Project_Elapsed_Time,Project_PRF_Team_Size_Group,Project_PRF_Max_Team_Size,Process_PMF_Development_Methodologies,Process_PMF_Docs,Tech_TF_Tools_Used,External_EEF_Data_Quality_Rating_B,Project_PRF_Application_Group_Business Application; Infrastructure Software;,Project_PRF_Application_Group_Infrastructure Software,Project_PRF_Application_Group_Mathematically intensive application,Project_PRF_Application_Group_Mathematically-Intensive Application,Project_PRF_Application_Group_Missing,Project_PRF_Application_Group_Real-Time Application,Project_PRF_Development_Type_New Development,Project_PRF_Development_Type_Re-development,Tech_TF_Development_Platform_MF,Tech_TF_Development_Platform_MR,Tech_TF_Development_Platform_Missing,Tech_TF_Development_Platform_Multi,Tech_TF_Development_Platform_PC,Tech_TF_Development_Platform_Proprietary,Tech_TF_Language_Type_3GL,Tech_TF_Language_Type_4GL,Tech_TF_Language_Type_5GL,Tech_TF_Language_Type_APG,Tech_TF_Language_Type_ApG,Tech_TF_Language_Type_Missing,Project_PRF_CASE_Tool_Used_Missing,Project_PRF_CASE_Tool_Used_No,Project_PRF_CASE_Tool_Used_Yes,Tech_TF_Architecture_Missing,Tech_TF_Architecture_Multi-tier,Tech_TF_Architecture_Multi-tier / Client server,Tech_TF_Architecture_Multi-tier with web interface,Tech_TF_Architecture_Multi-tier with web public interface,Tech_TF_Architecture_Stand alone,Tech_TF_Architecture_Stand-alone,Tech_TF_Client_Server_Missing,Tech_TF_Client_Server_No,Tech_TF_Client_Server_Not Applicable,Tech_TF_Client_Server_Yes,Tech_TF_DBMS_Used_No,Tech_TF_DBMS_Used_Yes
32577,2000,Communication,Communications;,Interactive Voice Response;,PERIPHONICS,95.0,S,634.0,6.7,6.7,23.8,4.0,Missing,,Rapid Application Development (RAD);,4,0.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
26924,2006,Insurance,Insurance;,Missing,COBOL,147.0,M1,948.0,6.4,6.4,9.0,16.3,Missing,,Waterfall (incl Linear Processing & SSADM);,8,,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
18663,1998,Missing,Missing,Missing,Missing,92.0,S,315.0,3.4,3.4,46.0,2.0,2,2.0,Missing,4,2.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
11468,2002,Banking,Banking;,Missing,EASYTRIEVE,114.0,M1,2373.0,20.8,20.8,4.8,24.0,Missing,,Waterfall (incl Linear Processing & SSADM);,8,2.0,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
21338,1998,Communication,Communications;,Transaction/Production System;,COOL:Gen,1106.0,L,2947.0,2.7,2.7,221.2,5.0,Missing,,Missing,4,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
14589,2001,Insurance,Insurance;,Sales contact management;,ASP,67.0,S,1355.0,20.2,20.2,13.4,5.0,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
19388,2013,Medical & Health Care,Medical and Health Care;,not recorded;,Missing,53.0,S,3500.0,66.0,66.0,4.8,11.0,81-90,84.0,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
27876,2013,Medical & Health Care,Medical and Health Care;,not recorded;,Missing,130.0,M1,5944.0,45.7,45.7,8.7,15.0,51-60,55.0,Missing,2,,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
16446,2008,Service Industry,Car Rental;,Customer billing;,C#,127.0,M1,1972.0,15.5,15.5,11.5,11.0,9-14,9.0,Iterative;,16,7.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
23012,2006,Missing,Missing,Financial transaction process/accounting;,.Net,,M1,1798.0,,,,6.2,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
15095,2006,Missing,Missing,Financial transaction process/accounting;,Java,,S,56.0,,,,0.72,Missing,,Waterfall (incl Linear Processing & SSADM);,3,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
22692,2003,Service Industry,"Agriculture, Forestry, Fishing, Hunting;Chemicals;Computers & Software;Construction;Defence;Electricity, Gas, Water;Electronics;Food Processing;Government;generic application;",Logistic or supply planning & control;,Java,155.0,M1,21600.0,139.4,139.4,12.9,12.0,5-8,7.0,Missing,14,2.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
17285,2001,Banking,Banking;,Transaction/Production System;,COBOL,445.0,M2,7411.0,16.7,16.7,27.8,16.0,5-8,6.0,Missing,5,2.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
17619,2002,Insurance,Insurance;,Missing,Missing,350.0,M2,1416.0,4.0,4.0,70.0,5.0,Missing,,Waterfall (incl Linear Processing & SSADM);,4,2.0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
13680,2002,Financial,"Financial, Property & Business Services;",Financial transaction process/accounting;,C,89.0,S,983.0,11.0,11.0,,,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
29374,1999,Government,Public Administration;,Management Information System;,Lotus Notes,500.0,M2,,,27.2,41.7,12.0,9-14,14.0,Missing,3,,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
17770,2002,Missing,Missing,Missing,Missing,1122.0,L,1208.0,1.1,1.1,,,Missing,,Missing,4,0.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
24384,2010,Manufacturing,Manufacturing;,After sales Follow up;,RPL,1105.0,L,,,13.1,47.8,23.1,Missing,,Missing,8,,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
19884,2012,Medical & Health Care,Medical and Health Care;,not recorded;,Missing,4.0,XXS,313.0,78.3,78.3,0.8,5.0,9-14,10.0,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
32380,2010,Manufacturing,Manufacturing;,Project's management;,Java,291.0,M1,,,6.6,36.4,8.0,Missing,,Missing,8,0.0,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True
31991,2014,Communication,Telecommunications;,Customer relationship management;,Visual Basic,81.0,S,1176.0,14.5,14.5,13.1,6.2,Missing,,Waterfall (incl Linear Processing & SSADM);,3,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
22372,2000,Professional Services,Professional Services;,Transaction/Production System;,COBOL,515.0,M2,1137.0,2.2,2.6,85.8,6.0,Missing,,Multifunctional Teams;,4,5.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
28161,2005,Communication,Communications;,Telecom Data Circuits and Revenue;,C++,200.0,M1,1850.0,9.3,9.3,55.6,3.6,3-4,4.0,Missing,14,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
26763,2006,Communication,Communications;,Embedded system/real-time application;,Missing,,S,1867.0,,,,,Missing,,Waterfall (incl Linear Processing & SSADM);,3,,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
21318,2002,Wholesale & Retail,Billing;,Billing;,C,261.0,M1,3997.0,15.3,15.3,,,Missing,,Missing,2,0.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
17685,2001,Electronics & Computers,IT Services;,Missing,Visual Basic,139.0,M1,1238.0,8.9,8.9,17.4,8.0,3-4,3.0,Missing,3,4.0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
30748,2002,Communication,Voice Provisioning;,Voice Provisioning;,C++,84.0,S,2113.0,25.2,25.2,,,Missing,,Missing,2,,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
23338,2004,Missing,Missing,Missing,Missing,7.0,XXS,560.0,80.0,80.0,43.8,0.16,Missing,,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
13757,1999,Missing,Missing,Missing,COBOL,9.0,XXS,2947.0,327.4,327.4,1.3,7.0,Missing,,Missing,4,1.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
15823,2007,Government,Government;,Management of Licences and Permits;,COOL:Gen,251.0,M1,4093.0,16.3,16.3,16.1,15.6,Missing,,Missing,8,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
21810,2012,Medical & Health Care,Medical and Health Care;,not recorded;,Missing,4.0,XXS,1549.0,387.3,387.3,0.2,18.0,41-50,48.0,Missing,2,0.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
26764,2006,Banking,Banking;,Financial transaction process/accounting;,Java,556.0,M2,6802.0,12.2,12.2,34.3,16.2,Missing,,Missing,3,,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
