isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,project_prf_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_client/server_description,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
10279,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,26.0,XS,52,52,2.0,2.0,,2.2,2.2,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
10317,B,2015,Government,government,Business Application,business application,Enhancement,,4GL,.Net,8.0,XXS,816,816,102.0,102.0,0.0,7.3,,1.1,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,81500.0,"European, euro",No
10572,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,Oracle,85.0,S,774,774,9.1,9.1,0.0,212.5,,0.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,69850.0,"European, euro",No
11278,A,2010,Service Industry,community services,Business Application,complex process control; workflow support & management,Enhancement,Multi,3GL,JavaScript,89.0,S,4036,4036,45.3,45.3,56.2,17.8,2.0,5.0,9-14,9.0,No,agile development,,16,Client server,Yes,data entry & validation; data retrieval & presentation; web/html browser,html/web server; security/authentication,,,,Yes,2,,3.0,1.0,5.0,,,,0.0,5.0,4.0,3.0,0.0,3.0,,,
11497,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,31.0,S,88,88,2.8,2.8,,2.6,2.6,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
11738,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,10.0,XS,29,29,2.9,2.9,,0.8,0.8,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
11801,A,2009,Government,government,,idm,Enhancement,Multi,3GL,C#,63.0,S,2742,2742,43.5,43.5,47.6,6.3,0.8,10.0,5-8,8.0,,agile development,,18,Multi-tier with web public interface,Yes,web public interface,multi-user legacy application,,,Web,Yes,3,,8.0,0.0,0.0,,,,2.0,2.0,4.0,1.0,1.0,0.0,,,
12664,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,Oracle,138.0,M1,682,682,4.9,4.9,0.0,345.0,,0.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,61435.0,"European, euro",No
13026,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,5.0,XXS,27,27,5.4,5.4,,0.4,0.4,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
13384,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,30.0,S,51,51,1.7,1.7,,2.5,2.5,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
13695,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,2.0,XXS,6,6,3.0,3.0,,0.2,0.2,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
13784,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,14.0,XS,49,49,3.5,3.5,,1.2,1.2,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
14319,B,2010,Banking,banking,Business Application,auditing management,New Development,Proprietary,5GL,Proprietary Agile Platform,748.0,M2,1518,1518,2.0,2.0,,249.3,,3.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
14325,B,2009,Government,government,Business Application,data warehouse system; financial transaction process/accounting; management or performance reporting,New Development,MR,4GL,.Net,498.0,M2,19795,19795,39.7,39.7,,27.7,1.3,18.0,21-30,22.0,,agile development; unified process,,18,Client server,Yes,data entry & validation; data retrieval & presentation; run a computer-human interface; security; web/html browser,database server; file/print server; html/web server; multi-user legacy application,,,,,2,,,,,,,,,,,,0.0,1.0,,,
14335,A,2011,Manufacturing,aerospace / automotive,Mathematically-Intensive Application,mathematical modelling (finance or eng.); software development tool,Re-development,PC,3GL,C#,456.0,M2,5408,5408,11.9,11.9,0.0,50.7,10.1,9.0,5-8,5.0,Yes,agile development,,17,Multi-tier with web public interface,Yes,data entry & validation; run a computer-human interface; web public interface,database server; html/web server; mail server; security/authentication,,,Web,Yes,7,,0.0,1.0,2.0,,,,1.0,2.0,0.0,3.0,1.0,1.0,,,
14345,A,2009,Education,"education institution; electricity, gas, water; ieee",Business Application,content management system; dynamic website,New Development,PC,3GL,Java,114.0,M1,429,429,3.8,3.8,,38.0,9.5,3.0,3-4,4.0,,agile development; personal software process (psp); unified process,,18,Multi-tier with web public interface,Yes,web/html browser,security/authentication,,,Web,Yes,4,,,,,,,,4.0,,,,0.0,0.0,17160.0,"Canada, dollar",
14525,A,2010,Service Industry,community services; government; public administration,Business Application,catalogue/register of things or events,Enhancement,Multi,3GL,C#,695.0,M2,19606,19606,28.2,28.2,59.0,36.6,1.4,19.0,21-30,26.0,,agile development,,17,Client server,Yes,business logic or rule processing; data entry & validation; data retrieval & presentation,database server,,,,Yes,2,,5.0,5.0,16.0,,,,2.0,0.0,24.0,10.0,2.0,2.0,,,
14535,B,2009,Education,education institution,Business Application,catalogue/register of things or events; logistic or supply planning & control,Re-development,PC,3GL,C#,483.0,M2,331,331,0.7,0.7,,120.8,24.2,4.0,5-8,5.0,No,agile development,,14,Stand alone,No,,,,,,Yes,2,,6.0,0.0,1.0,,,,1.0,3.0,3.0,,1.0,1.0,,,
14621,B,2008,Service Industry,food processing,Business Application,customer billing; financial transaction process/accounting,New Development,PC,3GL,C++,23.0,XS,248,248,10.8,10.8,173.9,15.3,5.1,1.5,3-4,3.0,No,agile development,,15,Stand alone,No,,,,,,Yes,2,,,2.0,1.0,,,,1.0,1.0,1.0,20.0,0.0,0.0,4871.0,"Canada, dollar",
14928,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,Oracle,88.0,S,551,551,6.3,6.3,0.0,220.0,,0.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,49753.0,"European, euro",No
15011,B,2010,Service Industry,transport & storage,Business Application,auditing management,New Development,Proprietary,5GL,Proprietary Agile Platform,257.0,M1,452,452,1.8,1.8,,85.7,,3.0,,,,agile development,,5,Multi-tier with web public interface,,,,,,Web,,0,,,,,,,,,,,,,,,,
15148,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,Oracle,72.0,S,615,615,8.5,8.5,0.0,180.0,,0.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,55440.0,"European, euro",No
15558,B,2014,Government,government,Business Application,business application,Enhancement,,4GL,.Net,45.0,S,1271,1271,28.2,28.2,0.0,32.1,,1.4,,,,agile development,,3,,,,,,,,,0,,,,,,,,,,,,,,104200.0,"European, euro",No
15723,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,12.0,XS,34,34,2.8,2.8,,1.0,1.0,12.0,1,1.0,,agile development,,6,Stand alone,,,,,,,Yes,2,,,,,,,,,,,,,,,,
