ISBSG_Project_ID,External_EEF_Data_Quality_Rating,Project_PRF_Year_of_Project,External_EEF_Industry_Sector,External_EEF_Organisation_Type,Project_PRF_Application_Group,Project_PRF_Application_Type,Project_PRF_Development_Type,Tech_TF_Development_Platform,Tech_TF_Language_Type,Tech_TF_Primary_Programming_Language,Project_PRF_Functional_Size,Project_PRF_Relative_Size,Project_PRF_Normalised_Work_Effort_Level_1,Project_PRF_Normalised_Work_Effort,Project_PRF_Normalised_Level_1_PDR_ufp,Project_PRF_Normalised_PDR_ufp,Project_PRF_Defect_Density,Project_PRF_Speed_of_Delivery,Project_PRF_Manpower_Delivery_Rate,Project_PRF_Project_Elapsed_Time,Project_PRF_Team_Size_Group,Project_PRF_Max_Team_Size,Project_PRF_CASE_Tool_Used,Process_PMF_Development_Methodologies,Process_PMF_Prototyping_Used,Process_PMF_Docs,Tech_TF_Architecture,Tech_TF_Client_Server,Tech_TF_Client_Roles,Tech_TF_Type_of_Server,Tech_TF_ClientServer_Description,Tech_TF_Web_Development,Tech_TF_DBMS_Used,Tech_TF_Tools_Used,People_PRF_Project_manage_changes,People_PRF_Personnel_changes,Project_PRF_Total_project_cost,Project_PRF_Cost_currency
10279,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,26.0,XS,52,52,2.0,2.0,,2.2,2.2,12.0,1,1.0,Missing,agile development,Missing,6,Stand alone,Missing,Missing,,,Missing,Yes,2,,,,Missing
10317,B,2015,Government,government,Business Application,business application,Enhancement,Missing,4GL,.Net,8.0,XXS,816,816,102.0,102.0,0.0,7.3,,1.1,Missing,,Missing,agile development,Missing,3,Missing,Missing,Missing,,,Missing,Missing,0,,,81500.0,"European, euro"
10572,B,2014,Government,government,Business Application,business application,Enhancement,Missing,4GL,Oracle,85.0,S,774,774,9.1,9.1,0.0,212.5,,0.4,Missing,,Missing,agile development,Missing,3,Missing,Missing,Missing,,,Missing,Missing,0,,,69850.0,"European, euro"
11278,A,2010,Service Industry,community services,Business Application,complex process control; workflow support & management,Enhancement,Multi,3GL,JavaScript,89.0,S,4036,4036,45.3,45.3,56.2,17.8,2.0,5.0,9-14,9.0,No,agile development,Missing,16,Client server,Yes,data entry & validation; data retrieval & presentation; web/html browser,,,Missing,Yes,2,0.0,3.0,,Missing
11497,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,31.0,S,88,88,2.8,2.8,,2.6,2.6,12.0,1,1.0,Missing,agile development,Missing,6,Stand alone,Missing,Missing,,,Missing,Yes,2,,,,Missing
11738,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,10.0,XS,29,29,2.9,2.9,,0.8,0.8,12.0,1,1.0,Missing,agile development,Missing,6,Stand alone,Missing,Missing,,,Missing,Yes,2,,,,Missing
11801,A,2009,Government,government,Missing,idm,Enhancement,Multi,3GL,C#,63.0,S,2742,2742,43.5,43.5,47.6,6.3,0.8,10.0,5-8,8.0,Missing,agile development,Missing,18,Multi-tier with web public interface,Yes,web public interface,,,Web,Yes,3,1.0,0.0,,Missing
12664,B,2014,Government,government,Business Application,business application,Enhancement,Missing,4GL,Oracle,138.0,M1,682,682,4.9,4.9,0.0,345.0,,0.4,Missing,,Missing,agile development,Missing,3,Missing,Missing,Missing,,,Missing,Missing,0,,,61435.0,"European, euro"
13026,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,5.0,XXS,27,27,5.4,5.4,,0.4,0.4,12.0,1,1.0,Missing,agile development,Missing,6,Stand alone,Missing,Missing,,,Missing,Yes,2,,,,Missing
13384,B,2012,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,30.0,S,51,51,1.7,1.7,,2.5,2.5,12.0,1,1.0,Missing,agile development,Missing,6,Stand alone,Missing,Missing,,,Missing,Yes,2,,,,Missing
13695,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,2.0,XXS,6,6,3.0,3.0,,0.2,0.2,12.0,1,1.0,Missing,agile development,Missing,6,Stand alone,Missing,Missing,,,Missing,Yes,2,,,,Missing
13784,B,2013,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,C#,14.0,XS,49,49,3.5,3.5,,1.2,1.2,12.0,1,1.0,Missing,agile development,Missing,6,Stand alone,Missing,Missing,,,Missing,Yes,2,,,,Missing
