feature,importance,model,importance_type,rank
project_prf_functional_size,0.4605560434284074,GradientBoostingRegressor,feature_importances_,1
project_prf_max_team_size,0.38143954687412396,GradientBoostingRegressor,feature_importances_,2
project_prf_team_size_group_91_100,0.03061921185957013,GradientBoostingRegressor,feature_importances_,3
tech_tf_server_roles,0.027269108555305146,GradientBoostingRegressor,feature_importances_,4
project_prf_team_size_group_101+,0.01763309855264066,GradientBoostingRegressor,feature_importances_,5
project_prf_relative_size_s,0.006102603827363546,GradientBoostingRegressor,feature_importances_,6
tech_tf_architecture_nan,0.0057836462787735285,GradientBoostingRegressor,feature_importances_,7
tech_tf_tools_used,0.005690670878933292,GradientBoostingRegressor,feature_importances_,8
tech_tf_development_platform_nan,0.005608647916379921,GradientBoostingRegressor,feature_importances_,9
project_prf_case_tool_used_don_t_know,0.004394875879767534,GradientBoostingRegressor,feature_importances_,10
tech_tf_primary_programming_language,0.004146801421151186,GradientBoostingRegressor,feature_importances_,11
tech_tf_clientserver_description_client_presentation_processing,0.003158118208201654,GradientBoostingRegressor,feature_importances_,12
process_pmf_docs,0.0028222567255943086,GradientBoostingRegressor,feature_importances_,13
project_prf_application_type_top_management of licences and permits,0.0026358102389800117,GradientBoostingRegressor,feature_importances_,14
external_eef_organisation_type_top_communications,0.002631175655960945,GradientBoostingRegressor,feature_importances_,15
project_prf_currency_multiple_no,0.002483345005271854,GradientBoostingRegressor,feature_importances_,16
project_prf_relative_size_m2,0.002455261136734417,GradientBoostingRegressor,feature_importances_,17
project_prf_development_type_new_development,0.0022118706693564547,GradientBoostingRegressor,feature_importances_,18
project_prf_application_type_top_unknown,0.002184019966790687,GradientBoostingRegressor,feature_importances_,19
external_eef_organisation_type_top_logistics,0.0021035873685646177,GradientBoostingRegressor,feature_importances_,20
external_eef_organisation_type_top_insurance,0.00202158122415974,GradientBoostingRegressor,feature_importances_,21
project_prf_development_type_enhancement,0.0019274428113696168,GradientBoostingRegressor,feature_importances_,22
project_prf_application_type_top_not recorded,0.001394667106300719,GradientBoostingRegressor,feature_importances_,23
project_prf_application_type_other,0.0010800514671011141,GradientBoostingRegressor,feature_importances_,24
project_prf_relative_size_xs,0.0010611680428542966,GradientBoostingRegressor,feature_importances_,25
external_eef_organisation_type_top_nan,0.001035941191116785,GradientBoostingRegressor,feature_importances_,26
project_prf_application_type_top_document management,0.0010219078671266574,GradientBoostingRegressor,feature_importances_,27
project_prf_year_of_project,0.001018787698794315,GradientBoostingRegressor,feature_importances_,28
tech_tf_clientserver_description_client presentation processing,0.001008014903584939,GradientBoostingRegressor,feature_importances_,29
