feature,importance,model,importance_type,rank
project_prf_functional_size,0.2462515005049178,ExtraTreesRegressor,feature_importances_,1
project_prf_max_team_size,0.17412721174328258,ExtraTreesRegressor,feature_importances_,2
project_prf_team_size_group_91_100,0.024465222756941074,ExtraTreesRegressor,feature_importances_,3
tech_tf_server_roles,0.018112501253475462,ExtraTreesRegressor,feature_importances_,4
project_prf_team_size_group_101+,0.013637126736964189,ExtraTreesRegressor,feature_importances_,5
tech_tf_primary_programming_language,0.009573585054252516,ExtraTreesRegressor,feature_importances_,6
project_prf_year_of_project,0.008865383004270685,ExtraTreesRegressor,feature_importances_,7
tech_tf_architecture_nan,0.008443711064548226,ExtraTreesRegressor,feature_importances_,8
project_prf_relative_size_m2,0.008409935838908372,ExtraTreesRegressor,feature_importances_,9
process_pmf_docs,0.007790259181389972,ExtraTreesRegressor,feature_importances_,10
tech_tf_tools_used,0.007700281043115653,ExtraTreesRegressor,feature_importances_,11
tech_tf_language_type_nan,0.007574745044007439,ExtraTreesRegressor,feature_importances_,12
project_prf_development_type_new_development,0.007359524069807133,ExtraTreesRegressor,feature_importances_,13
project_prf_relative_size_s,0.007291449152462533,ExtraTreesRegressor,feature_importances_,14
project_prf_currency_multiple_no,0.007189986937242463,ExtraTreesRegressor,feature_importances_,15
tech_tf_client_server_nan,0.006924339344222564,ExtraTreesRegressor,feature_importances_,16
project_prf_application_type_top_not recorded,0.006899643346213965,ExtraTreesRegressor,feature_importances_,17
tech_tf_language_type_4gl,0.006886059461469491,ExtraTreesRegressor,feature_importances_,18
project_prf_application_group_business_application,0.006726340410379316,ExtraTreesRegressor,feature_importances_,19
tech_tf_clientserver_description_client_presentation_processing,0.0066288788873227564,ExtraTreesRegressor,feature_importances_,20
project_prf_application_group_nan,0.0065681571973837186,ExtraTreesRegressor,feature_importances_,21
project_prf_application_type_top_management of licences and permits,0.006486542104644408,ExtraTreesRegressor,feature_importances_,22
project_prf_relative_size_m1,0.006476288326238378,ExtraTreesRegressor,feature_importances_,23
tech_tf_development_platform_nan,0.006448079094044729,ExtraTreesRegressor,feature_importances_,24
tech_tf_dbms_used_nan,0.00639488190144007,ExtraTreesRegressor,feature_importances_,25
external_eef_data_quality_rating_a,0.006380281642928623,ExtraTreesRegressor,feature_importances_,26
tech_tf_architecture_client_server,0.006322986262646331,ExtraTreesRegressor,feature_importances_,27
project_prf_development_type_enhancement,0.00628372410660984,ExtraTreesRegressor,feature_importances_,28
project_prf_application_type_other,0.0061854617716111775,ExtraTreesRegressor,feature_importances_,29
tech_tf_dbms_used_yes,0.0061188957615593235,ExtraTreesRegressor,feature_importances_,30
tech_tf_language_type_3gl,0.006015254443163819,ExtraTreesRegressor,feature_importances_,31
external_eef_organisation_type_top_communications,0.0059647804502468175,ExtraTreesRegressor,feature_importances_,32
project_prf_currency_multiple_nan,0.0059567922910571496,ExtraTreesRegressor,feature_importances_,33
external_eef_industry_sector_manufacturing,0.005858581179932912,ExtraTreesRegressor,feature_importances_,34
tech_tf_development_platform_multi,0.005844837560263891,ExtraTreesRegressor,feature_importances_,35
tech_tf_client_server_yes,0.0058177612024536375,ExtraTreesRegressor,feature_importances_,36
external_eef_industry_sector_insurance,0.005795024861105217,ExtraTreesRegressor,feature_importances_,37
tech_tf_clientserver_description_c/s,0.0055650447667359906,ExtraTreesRegressor,feature_importances_,38
external_eef_organisation_type_top_medical and health care,0.005517496456920278,ExtraTreesRegressor,feature_importances_,39
process_pmf_prototyping_used_yes,0.00549720316885914,ExtraTreesRegressor,feature_importances_,40
tech_tf_development_platform_pc,0.005352390138827735,ExtraTreesRegressor,feature_importances_,41
tech_tf_development_platform_mf,0.005312221947923761,ExtraTreesRegressor,feature_importances_,42
external_eef_industry_sector_government,0.005250858120411825,ExtraTreesRegressor,feature_importances_,43
project_prf_relative_size_nan,0.0052437701957885685,ExtraTreesRegressor,feature_importances_,44
tech_tf_clientserver_description_client presentation; server processing,0.004944547352309044,ExtraTreesRegressor,feature_importances_,45
project_prf_application_type_top_financial transaction process/accounting,0.004903124913765062,ExtraTreesRegressor,feature_importances_,46
project_prf_application_type_top_relatively complex application,0.004773287174351205,ExtraTreesRegressor,feature_importances_,47
project_prf_application_type_top_nan,0.004752108035332288,ExtraTreesRegressor,feature_importances_,48
external_eef_industry_sector_banking,0.004597200242530371,ExtraTreesRegressor,feature_importances_,49
external_eef_organisation_type_top_telecommunications,0.0045560670626023795,ExtraTreesRegressor,feature_importances_,50
external_eef_industry_sector_medical & health care,0.004525899860345306,ExtraTreesRegressor,feature_importances_,51
external_eef_organisation_type_top_manufacturing,0.004393159808857899,ExtraTreesRegressor,feature_importances_,52
tech_tf_type_of_server_client_server,0.004385525726780128,ExtraTreesRegressor,feature_importances_,53
tech_tf_architecture_multi_tier,0.004377197876140176,ExtraTreesRegressor,feature_importances_,54
project_prf_case_tool_used_nan,0.004371372747233193,ExtraTreesRegressor,feature_importances_,55
tech_tf_architecture_standalone,0.004339262663029881,ExtraTreesRegressor,feature_importances_,56
tech_tf_client_server_no,0.004332716131986198,ExtraTreesRegressor,feature_importances_,57
external_eef_industry_sector_electronics & computers,0.004297034481327758,ExtraTreesRegressor,feature_importances_,58
process_pmf_prototyping_used_nan,0.004295149694919605,ExtraTreesRegressor,feature_importances_,59
external_eef_organisation_type_top_banking,0.004197096480175041,ExtraTreesRegressor,feature_importances_,60
external_eef_organisation_type_top_government,0.00406648153004723,ExtraTreesRegressor,feature_importances_,61
project_prf_case_tool_used_yes,0.0039432732349570085,ExtraTreesRegressor,feature_importances_,62
tech_tf_web_development_nan,0.0038370325370528217,ExtraTreesRegressor,feature_importances_,63
tech_tf_development_platform_mr,0.0037497026890972967,ExtraTreesRegressor,feature_importances_,64
external_eef_organisation_type_top_insurance,0.0037251559744488584,ExtraTreesRegressor,feature_importances_,65
tech_tf_clientserver_description_nan,0.0036622274763629,ExtraTreesRegressor,feature_importances_,66
external_eef_organisation_type_top_computers & software,0.0036414829189710964,ExtraTreesRegressor,feature_importances_,67
external_eef_organisation_type_top_nan,0.0034788454435273524,ExtraTreesRegressor,feature_importances_,68
external_eef_organisation_type_other,0.00347542781587696,ExtraTreesRegressor,feature_importances_,69
project_prf_case_tool_used_don_t_know,0.003455037580492582,ExtraTreesRegressor,feature_importances_,70
external_eef_organisation_type_top_logistics,0.0034431862222505934,ExtraTreesRegressor,feature_importances_,71
project_prf_application_type_top_electronic data interchange,0.0034422293244358378,ExtraTreesRegressor,feature_importances_,72
project_prf_team_size_group_71_80,0.0034152246628909285,ExtraTreesRegressor,feature_importances_,73
project_prf_application_type_top_business application,0.0033574634169861173,ExtraTreesRegressor,feature_importances_,74
project_prf_relative_size_xs,0.0032745475280675355,ExtraTreesRegressor,feature_importances_,75
tech_tf_web_development_web,0.0032021205627396675,ExtraTreesRegressor,feature_importances_,76
project_prf_relative_size_l,0.0031520875844131165,ExtraTreesRegressor,feature_importances_,77
tech_tf_type_of_server_nan,0.003143093179067401,ExtraTreesRegressor,feature_importances_,78
