feature,importance,model,importance_type,rank
project_prf_functional_size,0.2932370352709965,RandomForestRegressor,feature_importances_,1
project_prf_max_team_size,0.2388925266173202,RandomForestRegressor,feature_importances_,2
tech_tf_server_roles,0.04812911051148858,RandomForestRegressor,feature_importances_,3
tech_tf_primary_programming_language,0.02002682419419248,RandomForestRegressor,feature_importances_,4
project_prf_year_of_project,0.019532842743243267,RandomForestRegressor,feature_importances_,5
process_pmf_docs,0.018747038321628145,RandomForestRegressor,feature_importances_,6
project_prf_team_size_group_91_100,0.014995022336322548,RandomForestRegressor,feature_importances_,7
tech_tf_tools_used,0.014078885761107487,RandomForestRegressor,feature_importances_,8
project_prf_team_size_group_101+,0.009999141388335605,RandomForestRegressor,feature_importances_,9
tech_tf_clientserver_description_client_presentation_processing,0.006348098904288491,RandomForestRegressor,feature_importances_,10
tech_tf_architecture_nan,0.005529148427511254,RandomForestRegressor,feature_importances_,11
tech_tf_language_type_4gl,0.005394765855430269,RandomForestRegressor,feature_importances_,12
project_prf_development_type_new_development,0.005375843728079607,RandomForestRegressor,feature_importances_,13
project_prf_currency_multiple_no,0.005159791191194833,RandomForestRegressor,feature_importances_,14
project_prf_relative_size_m2,0.00503159193530112,RandomForestRegressor,feature_importances_,15
project_prf_application_type_top_management of licences and permits,0.00500367376942688,RandomForestRegressor,feature_importances_,16
project_prf_application_group_business_application,0.004942810352594931,RandomForestRegressor,feature_importances_,17
tech_tf_client_server_yes,0.00475074298473542,RandomForestRegressor,feature_importances_,18
project_prf_development_type_enhancement,0.0045388807199594075,RandomForestRegressor,feature_importances_,19
project_prf_relative_size_m1,0.004379584056562704,RandomForestRegressor,feature_importances_,20
project_prf_application_group_nan,0.00437438513706375,RandomForestRegressor,feature_importances_,21
tech_tf_client_server_nan,0.004218741509768779,RandomForestRegressor,feature_importances_,22
project_prf_relative_size_s,0.00419842464473113,RandomForestRegressor,feature_importances_,23
project_prf_application_type_top_not recorded,0.004084822081864384,RandomForestRegressor,feature_importances_,24
external_eef_industry_sector_insurance,0.004077711010837008,RandomForestRegressor,feature_importances_,25
project_prf_relative_size_nan,0.004018002095809615,RandomForestRegressor,feature_importances_,26
external_eef_data_quality_rating_a,0.003961553384749682,RandomForestRegressor,feature_importances_,27
tech_tf_dbms_used_yes,0.003950600684096685,RandomForestRegressor,feature_importances_,28
tech_tf_clientserver_description_c/s,0.0038839785177534874,RandomForestRegressor,feature_importances_,29
external_eef_industry_sector_manufacturing,0.0038366120348653767,RandomForestRegressor,feature_importances_,30
tech_tf_language_type_nan,0.0037869611091009927,RandomForestRegressor,feature_importances_,31
tech_tf_development_platform_nan,0.0037671555069425074,RandomForestRegressor,feature_importances_,32
project_prf_application_type_top_financial transaction process/accounting,0.003758581806030236,RandomForestRegressor,feature_importances_,33
tech_tf_clientserver_description_client presentation; server processing,0.003716905416870149,RandomForestRegressor,feature_importances_,34
external_eef_organisation_type_top_communications,0.0037145529773538917,RandomForestRegressor,feature_importances_,35
project_prf_application_type_other,0.0036823478419792024,RandomForestRegressor,feature_importances_,36
external_eef_industry_sector_government,0.0036110870125613224,RandomForestRegressor,feature_importances_,37
tech_tf_language_type_3gl,0.003583343564691324,RandomForestRegressor,feature_importances_,38
tech_tf_architecture_client_server,0.0035720481438594534,RandomForestRegressor,feature_importances_,39
project_prf_application_type_top_nan,0.0035666904852297704,RandomForestRegressor,feature_importances_,40
tech_tf_development_platform_multi,0.0035494115193866133,RandomForestRegressor,feature_importances_,41
tech_tf_dbms_used_nan,0.003508078948464647,RandomForestRegressor,feature_importances_,42
process_pmf_prototyping_used_yes,0.00349123828443822,RandomForestRegressor,feature_importances_,43
tech_tf_type_of_server_client_server,0.0034758710537168337,RandomForestRegressor,feature_importances_,44
external_eef_organisation_type_top_medical and health care,0.0034698268744605826,RandomForestRegressor,feature_importances_,45
project_prf_currency_multiple_nan,0.0033965815643319723,RandomForestRegressor,feature_importances_,46
tech_tf_development_platform_pc,0.003375079848988656,RandomForestRegressor,feature_importances_,47
project_prf_application_type_top_relatively complex application,0.0033138880765483337,RandomForestRegressor,feature_importances_,48
tech_tf_development_platform_mf,0.0033006590931706926,RandomForestRegressor,feature_importances_,49
tech_tf_architecture_multi_tier,0.0030673309720950577,RandomForestRegressor,feature_importances_,50
external_eef_organisation_type_top_banking,0.002831789352463694,RandomForestRegressor,feature_importances_,51
project_prf_team_size_group_71_80,0.0028123314278162936,RandomForestRegressor,feature_importances_,52
project_prf_case_tool_used_don_t_know,0.0027756806596044986,RandomForestRegressor,feature_importances_,53
tech_tf_architecture_standalone,0.002767470527817704,RandomForestRegressor,feature_importances_,54
tech_tf_client_server_no,0.0027469523396676586,RandomForestRegressor,feature_importances_,55
external_eef_organisation_type_top_manufacturing,0.002743070337410214,RandomForestRegressor,feature_importances_,56
tech_tf_clientserver_description_nan,0.002688738034189958,RandomForestRegressor,feature_importances_,57
external_eef_organisation_type_top_logistics,0.002679582122048957,RandomForestRegressor,feature_importances_,58
process_pmf_prototyping_used_nan,0.0026731144251653225,RandomForestRegressor,feature_importances_,59
project_prf_relative_size_xs,0.0026604905546700175,RandomForestRegressor,feature_importances_,60
project_prf_application_type_top_data warehouse system,0.0026531366779835182,RandomForestRegressor,feature_importances_,61
external_eef_organisation_type_top_telecommunications,0.0026347792006784112,RandomForestRegressor,feature_importances_,62
external_eef_organisation_type_top_government,0.0026104775331722008,RandomForestRegressor,feature_importances_,63
project_prf_application_type_top_business application,0.0025306306054251318,RandomForestRegressor,feature_importances_,64
project_prf_application_type_top_management or performance reporting,0.0024579052647489804,RandomForestRegressor,feature_importances_,65
tech_tf_clientserver_description_client_presentation,0.0023907930584929162,RandomForestRegressor,feature_importances_,66
project_prf_case_tool_used_yes,0.0023688778640559736,RandomForestRegressor,feature_importances_,67
tech_tf_web_development_nan,0.0023523416152820813,RandomForestRegressor,feature_importances_,68
project_prf_team_size_group_41_50,0.0023431113868199456,RandomForestRegressor,feature_importances_,69
project_prf_application_type_top_software for machine control,0.002316040979579341,RandomForestRegressor,feature_importances_,70
external_eef_industry_sector_medical & health care,0.002298607665327152,RandomForestRegressor,feature_importances_,71
project_prf_case_tool_used_nan,0.0022861595566418154,RandomForestRegressor,feature_importances_,72
tech_tf_web_development_web,0.0022710823683026187,RandomForestRegressor,feature_importances_,73
external_eef_organisation_type_top_insurance,0.002177766468108287,RandomForestRegressor,feature_importances_,74
external_eef_organisation_type_other,0.002138247366112221,RandomForestRegressor,feature_importances_,75
external_eef_industry_sector_electronics & computers,0.0021220988156513236,RandomForestRegressor,feature_importances_,76
external_eef_organisation_type_top_nan,0.0020712554922774013,RandomForestRegressor,feature_importances_,77
external_eef_industry_sector_service industry,0.0020181256746754105,RandomForestRegressor,feature_importances_,78
project_prf_application_type_top_electronic data interchange,0.001992420756955124,RandomForestRegressor,feature_importances_,79
tech_tf_development_platform_mr,0.001984628856186413,RandomForestRegressor,feature_importances_,80
tech_tf_clientserver_description_client presentation processing,0.0019367686284587871,RandomForestRegressor,feature_importances_,81
tech_tf_type_of_server_nan,0.001919456941288717,RandomForestRegressor,feature_importances_,82
project_prf_relative_size_xxs,0.001901149228707145,RandomForestRegressor,feature_importances_,83
tech_tf_clientserver_description_stand_alone,0.0018710302720872799,RandomForestRegressor,feature_importances_,84
project_prf_application_type_top_customer relationship management,0.001847097029475803,RandomForestRegressor,feature_importances_,85
project_prf_case_tool_used_no,0.0018031192870875698,RandomForestRegressor,feature_importances_,86
external_eef_industry_sector_banking,0.0017721190175488714,RandomForestRegressor,feature_importances_,87
project_prf_team_size_group_1,0.0017155286225961363,RandomForestRegressor,feature_importances_,88
external_eef_data_quality_rating_c_lang,0.0017002593369877487,RandomForestRegressor,feature_importances_,89
tech_tf_architecture_multi_tier_with_web_public_interface,0.0016438410258336309,RandomForestRegressor,feature_importances_,90
tech_tf_clientserver_description_web,0.0016322440796670361,RandomForestRegressor,feature_importances_,91
external_eef_organisation_type_top_transport & storage,0.0016238224720031723,RandomForestRegressor,feature_importances_,92
external_eef_organisation_type_top_wholesale & retail trade,0.0016032186456030452,RandomForestRegressor,feature_importances_,93
external_eef_industry_sector_utilities,0.0016025631656160083,RandomForestRegressor,feature_importances_,94
external_eef_organisation_type_top_computers & software,0.0015544864699513791,RandomForestRegressor,feature_importances_,95
project_prf_application_group_infrastructure_software,0.0015523019460683735,RandomForestRegressor,feature_importances_,96
project_prf_team_size_group_21_30,0.0015365244247425396,RandomForestRegressor,feature_importances_,97
project_prf_relative_size_l,0.0015144452492655523,RandomForestRegressor,feature_importances_,98
external_eef_industry_sector_wholesale & retail,0.001500791542139606,RandomForestRegressor,feature_importances_,99
external_eef_industry_sector_financial,0.0014752806751242298,RandomForestRegressor,feature_importances_,100
project_prf_team_size_group_2,0.001469679069640171,RandomForestRegressor,feature_importances_,101
project_prf_application_type_top_document management,0.0014228952808634336,RandomForestRegressor,feature_importances_,102
project_prf_team_size_group_3_4,0.001407073076832182,RandomForestRegressor,feature_importances_,103
tech_tf_clientserver_description_server_processing,0.001390226389959655,RandomForestRegressor,feature_importances_,104
project_prf_application_type_top_management information system,0.0013897767411991196,RandomForestRegressor,feature_importances_,105
tech_tf_clientserver_description_client_server,0.0013769539239711446,RandomForestRegressor,feature_importances_,106
project_prf_application_group_mathematically_intensive_application,0.0013475309600089673,RandomForestRegressor,feature_importances_,107
tech_tf_clientserver_description_browser_server_architecture,0.001337141591335093,RandomForestRegressor,feature_importances_,108
project_prf_application_type_top_online. esales,0.0013176655868408973,RandomForestRegressor,feature_importances_,109
project_prf_application_group_real_time_application,0.0013082149453286682,RandomForestRegressor,feature_importances_,110
project_prf_team_size_group_9_14,0.0012593444029898888,RandomForestRegressor,feature_importances_,111
project_prf_team_size_group_61_70,0.0012538840482181845,RandomForestRegressor,feature_importances_,112
project_prf_team_size_group_5_8,0.0012449980133945198,RandomForestRegressor,feature_importances_,113
tech_tf_clientserver_description_client_server_architecture_p2p,0.0011789208938552357,RandomForestRegressor,feature_importances_,114
tech_tf_clientserver_description_client_server_architecture,0.0011591471504380807,RandomForestRegressor,feature_importances_,115
external_eef_organisation_type_top_public administration,0.0011558129241943185,RandomForestRegressor,feature_importances_,116
project_prf_application_type_top_embedded system/real_time application,0.0011521551053389166,RandomForestRegressor,feature_importances_,117
external_eef_data_quality_rating_d,0.00110493736018748,RandomForestRegressor,feature_importances_,118
external_eef_industry_sector_defence,0.0011046680318723017,RandomForestRegressor,feature_importances_,119
project_prf_application_type_top_stock control & order processing,0.0011025756111555968,RandomForestRegressor,feature_importances_,120
project_prf_application_type_top_transaction/production system,0.001009362434852736,RandomForestRegressor,feature_importances_,121
tech_tf_type_of_server_mainframe,0.000990332755752364,RandomForestRegressor,feature_importances_,122
project_prf_application_type_top_online analysis and reporting,0.0009900076370305427,RandomForestRegressor,feature_importances_,123
external_eef_organisation_type_top_telecommunication,0.0009827451206915637,RandomForestRegressor,feature_importances_,124
project_prf_development_type_re_development,0.0009692941931171644,RandomForestRegressor,feature_importances_,125
tech_tf_clientserver_description_client presentation processing data,0.0009517032447208588,RandomForestRegressor,feature_importances_,126
project_prf_application_type_top_unknown,0.000882635476632959,RandomForestRegressor,feature_importances_,127
tech_tf_language_type_apg,0.0008348193865068555,RandomForestRegressor,feature_importances_,128
external_eef_industry_sector_mining,0.0007947882982231509,RandomForestRegressor,feature_importances_,129
external_eef_industry_sector_education,0.0007946290170607545,RandomForestRegressor,feature_importances_,130
project_prf_team_size_group_15_20,0.0007583473507055909,RandomForestRegressor,feature_importances_,131
external_eef_industry_sector_logistics,0.0007379677118969728,RandomForestRegressor,feature_importances_,132
external_eef_industry_sector_professional services,0.0007271677446121538,RandomForestRegressor,feature_importances_,133
people_prf_project_user_involvement_yes,0.0007142222154244248,RandomForestRegressor,feature_importances_,134
external_eef_organisation_type_top_defence,0.0007118853386378448,RandomForestRegressor,feature_importances_,135
external_eef_organisation_type_top_aerospace / automotive,0.000708727002875457,RandomForestRegressor,feature_importances_,136
project_prf_application_type_top_workflow support & management,0.0006905194128873215,RandomForestRegressor,feature_importances_,137
people_prf_project_user_involvement_nan,0.0006875600153654434,RandomForestRegressor,feature_importances_,138
external_eef_organisation_type_top_financial property & business services,0.0006796909222408543,RandomForestRegressor,feature_importances_,139
project_prf_team_size_group_31_40,0.0006531654349745338,RandomForestRegressor,feature_importances_,140
