isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,project_prf_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_client/server_description,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
26608,D,2009,,community services,Business Application,mathematical modelling (finance or eng.); software development tool,Re-development,PC,3GL,.Net,342.0,M1,2364,1711,3.9,5.0,65.1,55.9,31.3,15.8,5-8,8.0,Yes,agile development; unified process,Yes,20,Multi-tier with web public interface,No,web/html browser,business logic + integration to 30 other systems; database server; ftp server; html/web server; messaging server; object/component server; security/authentication,,,Web,Yes,1,,0.0,,,,,,,,,,,,247831.0,"Canada, dollar",
23265,B,2012,Service Industry,government,Business Application,surveillance and security,Enhancement,PC,3GL,Proprietary Agile Platform,152.0,M2,7645,4532,6.1,7.3,,223.5,,1.8,3-4,,Yes,agile development; personal software process (psp); unified process,Yes,1,Client server,,data entry & validation; data retrieval & presentation; web/html browser,,,,Web,Yes,0,,,,,,,,17.0,,,27.0,,0.0,38012.0,"Canada, dollar","Yes 10,000"
21719,A,2011,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Infrastructure Software,surveillance and security,New Development,PC,3GL,.Net,48.0,S,324,218,5.1,6.0,,0.5,1.5,14.5,1,3.0,Yes,agile development,Yes,15,Client server,,,business logic + integration to 30 other systems; database server; ftp server; html/web server; messaging server; object/component server; security/authentication,,,Web,Yes,1,,,,,,,,5.0,,1.0,,0.0,,,"United States, dollar",
13026,B,2014,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,Proprietary,3GL,.Net,33.0,S,6673,4763,49.3,52.7,0.0,2.7,,4.3,,16.0,Yes,agile development,Yes,1,Stand alone,,,,,,,,0,,,,,,,,,13.0,,,,0.0,,"European, euro","Yes 10,000"
14345,B,2014,Government,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,surveillance and security,Enhancement,PC,3GL,.Net,33.0,S,7903,5554,31.1,33.0,,66.7,,1.0,1,,Yes,agile development,Yes,1,Stand alone,,,,,,,Yes,0,,,,,,,,0.0,8.0,,,,,,"European, euro","Yes 10,000"
26585,B,2012,Electronics & Computers,transport & storage,Business Application,project management,Enhancement,Proprietary,3GL,Proprietary Agile Platform,441.0,M2,13157,8032,6.4,7.7,0.0,284.6,275.9,1.6,9-14,9.0,Yes,agile development,Yes,1,Stand alone,,,,,,,,0,,,,1.0,,,,,4.0,,,,,189461.0,"European, euro","Yes 10,000"
25247,B,2011,Government,medical and health care,Business Application,idm,Enhancement,PC,3GL,Java,74.0,M2,531,763,1.5,1.7,,71.5,32.1,3.0,3-4,4.0,Yes,agile development,Yes,1,Client server,,,,,,Web,Yes,0,,,,,,,,,12.0,,28.0,,,,"European, euro",
30029,B,2012,Electronics & Computers,high tech,Business Application,customer billing; financial transaction process/accounting,New Development,Multi,3GL,JavaScript,205.0,M2,1945,1670,1.8,2.4,,274.8,,1.4,2,12.0,Yes,agile development,Yes,1,Multi-tier with web public interface,,web/html browser,,,,Web,,0,,,,,,,,,,,,,,,"European, euro",
15723,B,2011,Banking,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Business Application,content management system; dynamic website,Re-development,PC,3GL,Proprietary Agile Platform,258.0,XXS,8470,5066,7.5,7.9,13.5,10.6,,10.8,5-8,11.0,Yes,agile development,Yes,1,,,business logic or rule processing; data entry & validation; data retrieval & presentation,,,,Web,,0,,,1.0,,,,,,,,44.0,,,,"European, euro",
18820,B,2013,Government,banking; communications; education institution; government; medical and health care; transport & storage; wholesale & retail trade,Infrastructure Software,business application,Enhancement,,3GL,.Net,29.0,XXS,164,173,4.1,5.2,,18.6,34.6,8.0,1,3.0,Yes,agile development,Yes,1,Client server,,,,,,Web,,0,,,,2.0,,,,,4.0,,,,,147933.0,"European, euro",
