age,income,category,status,score,region_code
71,51950.96,D,pending,31.40869,3.0
64,53982.01,C,pending,55.778397,1.0
71,51048.082,D,inactive,44.217148,5.0
70,56831.96,D,active,60.442863,1.0
62,47212.797,D,pending,66.33346,1.0
67,51511.97,D,pending,63.9241,5.0
71,59535.93,C,inactive,64.97984,1.0
65,57908.25,C,pending,49.280266,1.0
60,62839.363,C,pending,65.67534,1.0
69,53499.418,D,pending,57.96988,3.0
55,58903.066,D,pending,65.34066,4.0
60,58760.094,D,pending,61.45433,5.0
62,51322.402,B,pending,64.960434,1.0
62,63797.69,D,pending,57.48714,4.0
68,52221.23,D,pending,59.417908,2.0
57,60855.06,D,pending,45.23859,4.0
39,52933.7,D,pending,39.942013,5.0
74,46234.75,C,pending,48.269283,4.0
63,53471.7,D,pending,57.726063,3.0
63,51373.75,B,pending,57.531353,1.0
42,43201.66,B,pending,49.961815,4.0
62,53457.395,D,pending,66.117325,5.0
60,51441.25,D,pending,67.127426,1.0
58,51537.33,D,pending,49.0616,1.0
70,58407.777,B,pending,38.150925,3.0
61,54292.234,C,pending,67.90707,1.0
67,53521.258,D,inactive,35.600002,4.0
66,60089.586,D,pending,63.255863,5.0
74,58151.035,D,pending,33.960857,3.0
38,55366.793,D,pending,57.53721,4.0
71,59233.18,D,pending,33.777008,1.0
73,47566.055,D,active,65.24381,1.0
70,62020.66,D,inactive,36.54204,4.0
69,58388.504,C,inactive,54.381996,1.0
71,59365.594,B,inactive,61.932938,1.0
54,58123.65,D,pending,68.25342,2.0
65,56613.336,D,pending,44.280037,1.0
54,50450.11,B,pending,40.593445,1.0
68,61209.305,D,inactive,43.491802,5.0
58,53571.19,C,pending,51.74937,4.0
66,50349.0,D,pending,58.64643,1.0
70,58880.15,A,pending,61.18841,1.0
67,60726.28,D,inactive,73.19297,3.0
66,46989.4,D,pending,41.43423,4.0
70,42925.004,D,inactive,69.175186,3.0
67,61590.902,A,pending,47.872433,1.0
66,49298.65,B,active,42.10363,3.0
72,50194.07,D,pending,37.50958,3.0
59,52263.95,A,inactive,50.58735,3.0
62,60360.996,D,active,48.903072,1.0
62,58740.98,C,inactive,45.856636,5.0
69,61475.81,B,pending,44.947407,1.0
73,61010.324,D,pending,54.925877,3.0
65,54167.86,D,inactive,41.851562,5.0
61,49456.105,D,pending,57.150497,3.0
