feature,importance,model,importance_type,rank
project_prf_max_team_size,1060,LGBMRegressor,feature_importances_,1
project_prf_functional_size,1008,LGBMRegressor,feature_importances_,2
tech_tf_primary_programming_language,377,LGBMRegressor,feature_importances_,3
process_pmf_docs,335,LGBMRegressor,feature_importances_,4
project_prf_development_type_enhancement,158,LGBMRegressor,feature_importances_,5
functional_size_group_m_100_999,144,LGBMRegressor,feature_importances_,6
project_prf_development_type_new_development,132,LGBMRegressor,feature_importances_,7
project_prf_application_type_financial transaction process/accounting,116,LGBMRegressor,feature_importances_,8
tech_tf_language_type_3gl,107,LGBMRegressor,feature_importances_,9
functional_size_group_s_100,107,LGBMRegressor,feature_importances_,10
tech_tf_architecture_missing,102,LGBMRegressor,feature_importances_,11
project_prf_team_size_group_missing,97,LGBMRegressor,feature_importances_,12
tech_tf_development_platform_pc,95,LGBMRegressor,feature_importances_,13
tech_tf_development_platform_mf,85,LGBMRegressor,feature_importances_,14
project_prf_relative_size_m2,78,LGBMRegressor,feature_importances_,15
project_prf_relative_size_s,76,LGBMRegressor,feature_importances_,16
project_prf_relative_size_m1,73,LGBMRegressor,feature_importances_,17
tech_tf_tools_used,54,LGBMRegressor,feature_importances_,18
external_eef_industry_sector_banking,51,LGBMRegressor,feature_importances_,19
external_eef_organisation_type_banking,38,LGBMRegressor,feature_importances_,20
external_eef_organisation_type_transport_and_storage,35,LGBMRegressor,feature_importances_,21
tech_tf_language_type_4gl,35,LGBMRegressor,feature_importances_,22
tech_tf_architecture_client_server,35,LGBMRegressor,feature_importances_,23
external_eef_industry_sector_financial,34,LGBMRegressor,feature_importances_,24
tech_tf_architecture_stand_alone,32,LGBMRegressor,feature_importances_,25
external_eef_organisation_type_government,31,LGBMRegressor,feature_importances_,26
project_prf_application_group_business_application,29,LGBMRegressor,feature_importances_,27
external_eef_organisation_type_financial_property_and_business_services,29,LGBMRegressor,feature_importances_,28
external_eef_organisation_type_medical_and_health_care,29,LGBMRegressor,feature_importances_,29
project_prf_team_size_group_1,26,LGBMRegressor,feature_importances_,30
process_pmf_development_methodologies_agile_development,26,LGBMRegressor,feature_importances_,31
project_prf_relative_size_xs,24,LGBMRegressor,feature_importances_,32
project_prf_case_tool_used_no,22,LGBMRegressor,feature_importances_,33
tech_tf_dbms_used_yes,22,LGBMRegressor,feature_importances_,34
project_prf_case_tool_used_missing,21,LGBMRegressor,feature_importances_,35
external_eef_organisation_type_wholesale_and_retail_trade,17,LGBMRegressor,feature_importances_,36
tech_tf_client_server_don_t_know,16,LGBMRegressor,feature_importances_,37
external_eef_organisation_type_education_institution,15,LGBMRegressor,feature_importances_,38
tech_tf_dbms_used_missing,14,LGBMRegressor,feature_importances_,39
tech_tf_development_platform_multi,13,LGBMRegressor,feature_importances_,40
tech_tf_development_platform_missing,11,LGBMRegressor,feature_importances_,41
external_eef_organisation_type_communications,11,LGBMRegressor,feature_importances_,42
project_prf_application_type_financial transaction process/accounting; workflow support & management,9,LGBMRegressor,feature_importances_,43
tech_tf_language_type_missing,9,LGBMRegressor,feature_importances_,44
tech_tf_architecture_multi_tier,9,LGBMRegressor,feature_importances_,45
project_prf_relative_size_l,8,LGBMRegressor,feature_importances_,46
process_pmf_development_methodologies_missing,8,LGBMRegressor,feature_importances_,47
