feature,importance,model,importance_type,rank
project_prf_functional_size,0.7157911819564517,GradientBoostingRegressor,feature_importances_,1
project_prf_max_team_size,0.1648042111796294,GradientBoostingRegressor,feature_importances_,2
project_prf_application_type_financial transaction process/accounting,0.028426347035549467,GradientBoostingRegressor,feature_importances_,3
tech_tf_language_type_3gl,0.025235824807479598,GradientBoostingRegressor,feature_importances_,4
tech_tf_tools_used,0.009107879473187083,GradientBoostingRegressor,feature_importances_,5
project_prf_relative_size_m2,0.006515548850489634,GradientBoostingRegressor,feature_importances_,6
tech_tf_dbms_used_missing,0.005014952564281437,GradientBoostingRegressor,feature_importances_,7
project_prf_relative_size_l,0.004647585195472266,GradientBoostingRegressor,feature_importances_,8
project_prf_team_size_group_missing,0.0037407045927080286,GradientBoostingRegressor,feature_importances_,9
external_eef_organisation_type_transport_and_storage,0.003598246987925579,GradientBoostingRegressor,feature_importances_,10
external_eef_industry_sector_banking,0.0032551575734823873,GradientBoostingRegressor,feature_importances_,11
tech_tf_client_server_don_t_know,0.0023679415046591584,GradientBoostingRegressor,feature_importances_,12
process_pmf_docs,0.001907535313169271,GradientBoostingRegressor,feature_importances_,13
tech_tf_primary_programming_language,0.0019063594237510404,GradientBoostingRegressor,feature_importances_,14
project_prf_case_tool_used_missing,0.001685964128573432,GradientBoostingRegressor,feature_importances_,15
external_eef_industry_sector_financial,0.0015862508427598894,GradientBoostingRegressor,feature_importances_,16
external_eef_organisation_type_financial_property_and_business_services,0.0015847783535558398,GradientBoostingRegressor,feature_importances_,17
tech_tf_development_platform_mf,0.0015571204938213071,GradientBoostingRegressor,feature_importances_,18
project_prf_case_tool_used_no,0.0015554551112275895,GradientBoostingRegressor,feature_importances_,19
tech_tf_development_platform_pc,0.0014052284338005193,GradientBoostingRegressor,feature_importances_,20
functional_size_group_s_100,0.0012519689139505674,GradientBoostingRegressor,feature_importances_,21
tech_tf_dbms_used_yes,0.000998355418100545,GradientBoostingRegressor,feature_importances_,22
external_eef_organisation_type_banking,0.0009659386861262895,GradientBoostingRegressor,feature_importances_,23
process_pmf_development_methodologies_unified_process,0.0009244698745831297,GradientBoostingRegressor,feature_importances_,24
external_eef_organisation_type_government,0.000852189494488588,GradientBoostingRegressor,feature_importances_,25
project_prf_relative_size_s,0.0008432693587467486,GradientBoostingRegressor,feature_importances_,26
process_pmf_development_methodologies_lean,0.0006829248742451189,GradientBoostingRegressor,feature_importances_,27
tech_tf_architecture_multi_tier_client_server,0.0006127699706702625,GradientBoostingRegressor,feature_importances_,28
project_prf_relative_size_m1,0.0006093362125883622,GradientBoostingRegressor,feature_importances_,29
tech_tf_architecture_multi_tier,0.0005974029745379854,GradientBoostingRegressor,feature_importances_,30
project_prf_relative_size_xs,0.0005535450156636664,GradientBoostingRegressor,feature_importances_,31
project_prf_application_group_business_application,0.0004909680344257785,GradientBoostingRegressor,feature_importances_,32
tech_tf_language_type_missing,0.0004608255845201151,GradientBoostingRegressor,feature_importances_,33
process_pmf_development_methodologies_agile_development,0.0004451307697887627,GradientBoostingRegressor,feature_importances_,34
project_prf_application_type_financial transaction process/accounting; workflow support & management,0.0004309935195501756,GradientBoostingRegressor,feature_importances_,35
functional_size_group_l_1000_2999,0.0003690855735258609,GradientBoostingRegressor,feature_importances_,36
tech_tf_architecture_stand_alone,0.0003042282926704912,GradientBoostingRegressor,feature_importances_,37
external_eef_organisation_type_banking_insurance_stock,0.0002802348155085859,GradientBoostingRegressor,feature_importances_,38
project_prf_application_type_workflow support & management,0.0002507293260819167,GradientBoostingRegressor,feature_importances_,39
project_prf_application_group_missing,0.00024008660186933175,GradientBoostingRegressor,feature_importances_,40
project_prf_application_group_infrastructure_software,0.0002394958602578565,GradientBoostingRegressor,feature_importances_,41
project_prf_relative_size_xxl,0.00023740696763753795,GradientBoostingRegressor,feature_importances_,42
external_eef_data_quality_rating_a,0.00017758240215955375,GradientBoostingRegressor,feature_importances_,43
project_prf_development_type_enhancement,0.00017125844622688984,GradientBoostingRegressor,feature_importances_,44
