feature,importance,model,importance_type,rank
project_prf_functional_size,0.7396761048550785,GradientBoostingRegressor,feature_importances_,1
tech_tf_language_type_4gl,0.03905329727490377,GradientBoostingRegressor,feature_importances_,2
tech_tf_primary_programming_language,0.035612655210754095,GradientBoostingRegressor,feature_importances_,3
project_prf_development_type_new_development,0.024855046669662303,GradientBoostingRegressor,feature_importances_,4
external_eef_organisation_type_banking,0.02375325038671679,GradientBoostingRegressor,feature_importances_,5
project_prf_application_type,0.023700795676506983,GradientBoostingRegressor,feature_importances_,6
external_eef_industry_sector,0.016313446763588618,GradientBoostingRegressor,feature_importances_,7
tech_tf_tools_used,0.015040390339972117,GradientBoostingRegressor,feature_importances_,8
tech_tf_language_type_3gl,0.012586225180725533,GradientBoostingRegressor,feature_importances_,9
tech_tf_development_platform_multi,0.008566251823514552,GradientBoostingRegressor,feature_importances_,10
process_pmf_docs,0.0074933954675754704,GradientBoostingRegressor,feature_importances_,11
tech_tf_client_server_yes,0.0066185822196644,GradientBoostingRegressor,feature_importances_,12
tech_tf_architecture_multi_tier,0.00584436574440144,GradientBoostingRegressor,feature_importances_,13
tech_tf_architecture_stand_alone,0.00520319600592685,GradientBoostingRegressor,feature_importances_,14
project_prf_year_of_project,0.004891908253800974,GradientBoostingRegressor,feature_importances_,15
tech_tf_language_type_missing,0.004363904973335409,GradientBoostingRegressor,feature_importances_,16
tech_tf_development_platform_mr,0.003302191081971038,GradientBoostingRegressor,feature_importances_,17
project_prf_relative_size_m2,0.002893865679079252,GradientBoostingRegressor,feature_importances_,18
project_prf_case_tool_used_missing,0.0028685173240778307,GradientBoostingRegressor,feature_importances_,19
tech_tf_development_platform_missing,0.002292165773815459,GradientBoostingRegressor,feature_importances_,20
tech_tf_architecture_missing,0.0021660825013213904,GradientBoostingRegressor,feature_importances_,21
project_prf_application_group_missing,0.0020803443546970014,GradientBoostingRegressor,feature_importances_,22
project_prf_case_tool_used_no,0.0015785454611980238,GradientBoostingRegressor,feature_importances_,23
tech_tf_dbms_used_yes,0.0014813980407032098,GradientBoostingRegressor,feature_importances_,24
project_prf_relative_size_missing,0.001319581661218963,GradientBoostingRegressor,feature_importances_,25
tech_tf_development_platform_pc,0.0008561036862821518,GradientBoostingRegressor,feature_importances_,26
"external_eef_organisation_type_financial, property & business services",0.000809902735879384,GradientBoostingRegressor,feature_importances_,27
project_prf_relative_size_m1,0.0007319198326491109,GradientBoostingRegressor,feature_importances_,28
project_prf_relative_size_xxs,0.0006567212464255833,GradientBoostingRegressor,feature_importances_,29
project_prf_relative_size_xl,0.0005737436657094057,GradientBoostingRegressor,feature_importances_,30
tech_tf_client_server_not_applicable,0.0004041087067937896,GradientBoostingRegressor,feature_importances_,31
external_eef_organisation_type_finance,0.00033400295532004114,GradientBoostingRegressor,feature_importances_,32
project_prf_team_size_group_missing,0.00031378436659723044,GradientBoostingRegressor,feature_importances_,33
project_prf_relative_size_xs,0.00030655942612410814,GradientBoostingRegressor,feature_importances_,34
tech_tf_language_type_apg,0.00030510390516677236,GradientBoostingRegressor,feature_importances_,35
project_prf_application_group_infrastructure_software,0.00029091171867206395,GradientBoostingRegressor,feature_importances_,36
project_prf_development_type_re_development,0.0002118592524164518,GradientBoostingRegressor,feature_importances_,37
project_prf_application_group_real_time_application,0.0002081084461000417,GradientBoostingRegressor,feature_importances_,38
tech_tf_architecture_multi_tier_with_web_public_interface,0.0001776775472475248,GradientBoostingRegressor,feature_importances_,39
project_prf_relative_size_xxl,0.00014784472306400846,GradientBoostingRegressor,feature_importances_,40
tech_tf_dbms_used_no,8.032358301953994e-05,GradientBoostingRegressor,feature_importances_,41
project_prf_case_tool_used_yes,3.581547832281463e-05,GradientBoostingRegressor,feature_importances_,42
tech_tf_architecture_multi_tier_client_server,0.0,GradientBoostingRegressor,feature_importances_,43
external_eef_organisation_type_credit card processor,0.0,GradientBoostingRegressor,feature_importances_,44
tech_tf_client_server_missing,0.0,GradientBoostingRegressor,feature_importances_,45
tech_tf_client_server_no,0.0,GradientBoostingRegressor,feature_importances_,46
"external_eef_organisation_type_banking; financial, property & business services",0.0,GradientBoostingRegressor,feature_importances_,47
project_prf_max_team_size,0.0,GradientBoostingRegressor,feature_importances_,48
project_prf_relative_size_s,0.0,GradientBoostingRegressor,feature_importances_,49
external_eef_organisation_type_missing,0.0,GradientBoostingRegressor,feature_importances_,50
tech_tf_language_type_5gl,0.0,GradientBoostingRegressor,feature_importances_,51
external_eef_organisation_type_revenue,0.0,GradientBoostingRegressor,feature_importances_,52
"external_eef_organisation_type_(banking, insurance, stock); financial, property & business services",0.0,GradientBoostingRegressor,feature_importances_,53
tech_tf_development_platform_proprietary,0.0,GradientBoostingRegressor,feature_importances_,54
external_eef_organisation_type_amusement/game center,0.0,GradientBoostingRegressor,feature_importances_,55
"external_eef_organisation_type_financial, property & business services; insurance",0.0,GradientBoostingRegressor,feature_importances_,56
external_eef_organisation_type_ banking,0.0,GradientBoostingRegressor,feature_importances_,57
project_prf_development_type_poc,0.0,GradientBoostingRegressor,feature_importances_,58
project_prf_development_type_not_defined,0.0,GradientBoostingRegressor,feature_importances_,59
external_eef_organisation_type_revenue collection,0.0,GradientBoostingRegressor,feature_importances_,60
project_prf_application_group_business_application,0.0,GradientBoostingRegressor,feature_importances_,61
project_prf_application_group_mathematically_intensive_application,0.0,GradientBoostingRegressor,feature_importances_,62
"external_eef_organisation_type_financial (banking, insurance, stock)",0.0,GradientBoostingRegressor,feature_importances_,63
