feature,importance,model,importance_type,rank
project_prf_functional_size,3155.3679597107744,BayesianRidge,coef_ (absolute values),1
project_prf_development_type_new_development,558.786557587859,BayesianRidge,coef_ (absolute values),2
tech_tf_primary_programming_language,547.9274745613515,BayesianRidge,coef_ (absolute values),3
tech_tf_language_type_4gl,467.2411142042373,BayesianRidge,coef_ (absolute values),4
tech_tf_tools_used,466.10612444318326,BayesianRidge,coef_ (absolute values),5
process_pmf_docs,334.75200136475894,BayesianRidge,coef_ (absolute values),6
project_prf_application_type,326.6015284586579,BayesianRidge,coef_ (absolute values),7
tech_tf_architecture_stand_alone,307.61146847467984,BayesianRidge,coef_ (absolute values),8
tech_tf_development_platform_mr,244.12547267260734,BayesianRidge,coef_ (absolute values),9
project_prf_case_tool_used_missing,243.0140523120104,BayesianRidge,coef_ (absolute values),10
tech_tf_development_platform_multi,237.54472987940684,BayesianRidge,coef_ (absolute values),11
project_prf_application_group_missing,212.96178904532047,BayesianRidge,coef_ (absolute values),12
tech_tf_language_type_3gl,191.41213684566515,BayesianRidge,coef_ (absolute values),13
project_prf_relative_size_m2,188.32215409511215,BayesianRidge,coef_ (absolute values),14
external_eef_organisation_type_banking,186.12518083312457,BayesianRidge,coef_ (absolute values),15
tech_tf_client_server_yes,161.3133526996188,BayesianRidge,coef_ (absolute values),16
external_eef_organisation_type_finance,158.44419093230704,BayesianRidge,coef_ (absolute values),17
external_eef_industry_sector,158.06042841352638,BayesianRidge,coef_ (absolute values),18
project_prf_relative_size_xs,146.7778429272042,BayesianRidge,coef_ (absolute values),19
tech_tf_dbms_used_yes,140.92378443208233,BayesianRidge,coef_ (absolute values),20
project_prf_relative_size_missing,121.65618696014563,BayesianRidge,coef_ (absolute values),21
project_prf_relative_size_xxs,120.57044394089846,BayesianRidge,coef_ (absolute values),22
project_prf_year_of_project,119.82508291429582,BayesianRidge,coef_ (absolute values),23
project_prf_team_size_group_missing,106.72593065998461,BayesianRidge,coef_ (absolute values),24
tech_tf_architecture_missing,100.6274453482711,BayesianRidge,coef_ (absolute values),25
tech_tf_dbms_used_no,96.70549198536591,BayesianRidge,coef_ (absolute values),26
project_prf_relative_size_s,92.99140339414257,BayesianRidge,coef_ (absolute values),27
tech_tf_architecture_multi_tier,86.19999204112644,BayesianRidge,coef_ (absolute values),28
project_prf_relative_size_m1,81.71598410192554,BayesianRidge,coef_ (absolute values),29
external_eef_organisation_type_revenue,76.40406035330932,BayesianRidge,coef_ (absolute values),30
"external_eef_organisation_type_financial, property & business services",68.58214133835756,BayesianRidge,coef_ (absolute values),31
tech_tf_language_type_apg,67.86990015104364,BayesianRidge,coef_ (absolute values),32
"external_eef_organisation_type_financial (banking, insurance, stock)",66.96097753861778,BayesianRidge,coef_ (absolute values),33
tech_tf_language_type_missing,66.44484742391604,BayesianRidge,coef_ (absolute values),34
tech_tf_development_platform_pc,61.554390093834996,BayesianRidge,coef_ (absolute values),35
tech_tf_client_server_not_applicable,59.59127044346022,BayesianRidge,coef_ (absolute values),36
external_eef_organisation_type_credit card processor,58.33897470101862,BayesianRidge,coef_ (absolute values),37
project_prf_application_group_infrastructure_software,48.335113502021024,BayesianRidge,coef_ (absolute values),38
tech_tf_architecture_multi_tier_with_web_public_interface,47.28577110601461,BayesianRidge,coef_ (absolute values),39
tech_tf_architecture_multi_tier_client_server,45.28771650706682,BayesianRidge,coef_ (absolute values),40
external_eef_organisation_type_ banking,44.93167149566746,BayesianRidge,coef_ (absolute values),41
external_eef_organisation_type_missing,43.79758471042469,BayesianRidge,coef_ (absolute values),42
project_prf_application_group_mathematically_intensive_application,39.92367961281119,BayesianRidge,coef_ (absolute values),43
tech_tf_client_server_missing,39.574280451738076,BayesianRidge,coef_ (absolute values),44
project_prf_case_tool_used_no,36.583828960670076,BayesianRidge,coef_ (absolute values),45
external_eef_organisation_type_amusement/game center,36.54845567364265,BayesianRidge,coef_ (absolute values),46
project_prf_development_type_not_defined,36.370371522393484,BayesianRidge,coef_ (absolute values),47
project_prf_development_type_poc,36.00252479856212,BayesianRidge,coef_ (absolute values),48
project_prf_relative_size_xxl,31.39268727642935,BayesianRidge,coef_ (absolute values),49
project_prf_max_team_size,29.57576523275555,BayesianRidge,coef_ (absolute values),50
project_prf_application_group_business_application,27.460661914843673,BayesianRidge,coef_ (absolute values),51
"external_eef_organisation_type_(banking, insurance, stock); financial, property & business services",27.078747607815668,BayesianRidge,coef_ (absolute values),52
project_prf_case_tool_used_yes,23.868169916895553,BayesianRidge,coef_ (absolute values),53
"external_eef_organisation_type_financial, property & business services; insurance",18.828485344639514,BayesianRidge,coef_ (absolute values),54
"external_eef_organisation_type_banking; financial, property & business services",18.534565393874466,BayesianRidge,coef_ (absolute values),55
project_prf_application_group_real_time_application,14.920931063655921,BayesianRidge,coef_ (absolute values),56
project_prf_development_type_re_development,12.357125944061693,BayesianRidge,coef_ (absolute values),57
tech_tf_development_platform_missing,11.688709517804213,BayesianRidge,coef_ (absolute values),58
external_eef_organisation_type_revenue collection,8.358846777542826,BayesianRidge,coef_ (absolute values),59
tech_tf_client_server_no,8.31999939227553,BayesianRidge,coef_ (absolute values),60
tech_tf_development_platform_proprietary,3.641897784225632,BayesianRidge,coef_ (absolute values),61
project_prf_relative_size_xl,0.9274934431893112,BayesianRidge,coef_ (absolute values),62
tech_tf_language_type_5gl,0.28100612705837946,BayesianRidge,coef_ (absolute values),63
