project_id,development_type,application_type,team_size,effort_hours,duration_months,complexity,technology_stack,quality_rating,budget_category
1543,New Development,Enterprise,2,82.56482,1.411553,Medium,C#,6.7545447,Large
523,Enhancement,Desktop,11,64.36326,1.1034894,High,JavaScript,8.069936,Small
1677,New Development,Web,9,67.31508,1.2372429,Medium,.NET,3.6121957,Medium
1817,New Development,Mobile,6,215.71909,3.3771996,Medium,.NET,2.4511023,Small
1785,Enhancement,Web,13,99.3419,1.2190628,Medium,C#,3.8974,Small
1640,New Development,Mobile,9,299.5966,2.9950202,Low,Python,2.3453434,Small
1879,New Development,Mobile,12,254.88606,3.0487986,Low,JavaScript,7.192588,Small
884,Enhancement,Desktop,10,184.55289,1.4976441,Low,Java,3.9867687,Small
1282,New Development,Desktop,10,310.6303,2.4121854,Medium,C#,1.7230715,Small
1590,New Development,Mobile,10,30.86251,1.6749924,Medium,C#,2.3958752,Small
360,New Development,Mobile,1,349.1622,1.4199157,Low,.NET,6.1115127,Medium
748,New Development,Mobile,-1,550.45953,2.412047,High,JavaScript,2.4149473,Medium
611,New Development,Mobile,6,39.55573,1.1135346,Low,JavaScript,9.261835,Small
697,Enhancement,Web,8,74.06152,1.1596333,Medium,.NET,1.7062051,Large
812,New Development,Mobile,5,184.08795,1.0782628,High,C#,4.452837,Large
1253,New Development,Web,13,72.1009,1.3286189,High,JavaScript,1.4727541,Small
1399,New Development,Mobile,5,61.951557,1.0166461,Medium,Java,7.6084557,Large
1384,New Development,Enterprise,13,74.752,2.1731412,Low,.NET,4.54784,Large
-578,Enhancement,Desktop,14,533.629,2.5738177,High,C#,3.2583086,Small
1344,New Development,Mobile,1,574.06024,4.2671676,Low,JavaScript,6.043068,Small
-14,New Development,Web,-7,264.7624,1.346225,High,JavaScript,5.4047647,Small
1572,New Development,Mobile,-3,47.57035,1.248149,High,Java,9.1766615,Medium
1259,New Development,Mobile,-6,308.49954,1.2711885,High,C#,9.125529,Small
1401,New Development,Web,7,276.96732,1.7934853,Medium,Java,5.330604,Large
1737,New Development,Mobile,6,734.59,4.6395397,Medium,Java,7.456571,Medium
1725,New Development,Mobile,13,28.99883,1.5812314,Medium,C#,6.4399104,Small
1319,Enhancement,Desktop,12,78.119286,1.1337732,Low,.NET,2.463675,Medium
1819,New Development,Enterprise,12,621.503,1.4255271,Low,Java,8.885989,Small
1877,New Development,Desktop,5,127.59388,1.0532738,Medium,Python,4.728839,Small
1720,New Development,Web,13,17.83455,1.1462827,Medium,JavaScript,6.561624,Large
1000,New Development,Desktop,10,15.834357,1.1896993,High,Java,4.5119514,Small
1415,New Development,Web,13,20.186903,1.1223525,Medium,Python,7.7074604,Small
1851,Maintenance,Desktop,8,34.65714,1.2548491,Medium,C#,7.5068827,Large
1849,New Development,Mobile,-6,131.2698,3.7601712,Low,JavaScript,9.429963,Small
1916,Maintenance,Mobile,5,27.99181,1.109566,Medium,C#,2.617369,Medium
1429,New Development,Web,13,204.23827,1.3872962,Medium,Python,2.547411,Large
1342,Maintenance,Mobile,3,105.29302,1.046643,Low,JavaScript,8.094394,Medium
1936,Enhancement,Web,10,188.85597,1.3916508,High,C#,2.4593346,Medium
1096,New Development,Web,8,330.53528,1.1060328,Medium,C#,1.9937205,Large
784,New Development,Web,7,273.30328,1.4991286,Medium,JavaScript,2.6006248,Small
1779,New Development,Mobile,14,114.05548,1.540952,Medium,C#,5.8642955,Large
1,New Development,Desktop,3,262.94025,1.406852,Medium,C#,7.738918,Small
501,Maintenance,Mobile,12,196.31664,1.110239,Medium,C#,3.4685178,Medium
429,New Development,Web,7,133.59645,4.3129396,Medium,JavaScript,7.0610604,Medium
1401,New Development,Mobile,5,38.750507,1.6558919,Low,JavaScript,7.2590785,Medium
18,New Development,Mobile,10,53.331535,1.3934025,Medium,JavaScript,4.738628,Large
1725,New Development,Enterprise,14,267.1919,2.2437935,Low,.NET,4.263858,Large
1277,New Development,Enterprise,13,36.81165,1.3812197,Low,Python,9.123386,Medium
1814,Maintenance,Mobile,13,121.72388,1.2443092,Medium,Java,1.65489,Large
