feature,importance,model,importance_type,rank
Feature_17,3144.1481354721996,LassoLars,coef_ (absolute values),1
Feature_18,1693.5193601442563,LassoLars,coef_ (absolute values),2
Feature_46,599.4275382012905,LassoLars,coef_ (absolute values),3
Feature_1,467.5770506378279,LassoLars,coef_ (absolute values),4
Feature_57,376.8533501787143,LassoLars,coef_ (absolute values),5
Feature_31,324.27339645870296,LassoLars,coef_ (absolute values),6
Feature_20,272.54208423139414,LassoLars,coef_ (absolute values),7
Feature_86,229.93453383223257,LassoLars,coef_ (absolute values),8
Feature_29,222.55808273230915,LassoLars,coef_ (absolute values),9
Feature_89,205.49138352444146,LassoLars,coef_ (absolute values),10
Feature_92,200.94506103083972,LassoLars,coef_ (absolute values),11
Feature_72,190.86823817994443,LassoLars,coef_ (absolute values),12
Feature_87,190.1024273360087,LassoLars,coef_ (absolute values),13
Feature_55,187.3411390250454,LassoLars,coef_ (absolute values),14
Feature_22,184.07326814429874,LassoLars,coef_ (absolute values),15
Feature_44,174.17978386808153,LassoLars,coef_ (absolute values),16
Feature_26,173.87455577423538,LassoLars,coef_ (absolute values),17
Feature_32,172.75897925706644,LassoLars,coef_ (absolute values),18
Feature_40,160.02943469919046,LassoLars,coef_ (absolute values),19
Feature_19,156.80436088830626,LassoLars,coef_ (absolute values),20
Feature_93,154.73253788999548,LassoLars,coef_ (absolute values),21
Feature_80,150.76753326997164,LassoLars,coef_ (absolute values),22
Feature_27,120.03628796585005,LassoLars,coef_ (absolute values),23
Feature_49,118.6786860223363,LassoLars,coef_ (absolute values),24
Feature_78,110.23572701746559,LassoLars,coef_ (absolute values),25
Feature_45,110.06240694490977,LassoLars,coef_ (absolute values),26
Feature_52,95.83575724484939,LassoLars,coef_ (absolute values),27
Feature_38,94.22157470484784,LassoLars,coef_ (absolute values),28
Feature_84,91.56237839670287,LassoLars,coef_ (absolute values),29
Feature_59,88.60853512289896,LassoLars,coef_ (absolute values),30
Feature_76,88.59895133623336,LassoLars,coef_ (absolute values),31
Feature_34,88.49859654059541,LassoLars,coef_ (absolute values),32
Feature_77,88.11374811337815,LassoLars,coef_ (absolute values),33
Feature_61,85.63577617923461,LassoLars,coef_ (absolute values),34
Feature_16,84.18992908036628,LassoLars,coef_ (absolute values),35
Feature_81,79.8925955537306,LassoLars,coef_ (absolute values),36
Feature_28,79.73501561789561,LassoLars,coef_ (absolute values),37
Feature_70,79.23728109291415,LassoLars,coef_ (absolute values),38
Feature_35,78.0998415177267,LassoLars,coef_ (absolute values),39
Feature_50,74.88419159979603,LassoLars,coef_ (absolute values),40
Feature_68,72.33569670683362,LassoLars,coef_ (absolute values),41
Feature_37,71.98078593126782,LassoLars,coef_ (absolute values),42
Feature_75,69.84691084320083,LassoLars,coef_ (absolute values),43
Feature_63,63.81791175078176,LassoLars,coef_ (absolute values),44
Feature_23,62.311090759945216,LassoLars,coef_ (absolute values),45
Feature_21,62.21711987998137,LassoLars,coef_ (absolute values),46
Feature_2,62.15877675212546,LassoLars,coef_ (absolute values),47
Feature_43,60.515239456137486,LassoLars,coef_ (absolute values),48
Feature_54,59.19058885191604,LassoLars,coef_ (absolute values),49
Feature_56,58.92524534626633,LassoLars,coef_ (absolute values),50
Feature_83,58.58708832903915,LassoLars,coef_ (absolute values),51
Feature_33,55.538368635854155,LassoLars,coef_ (absolute values),52
Feature_3,54.41088288381825,LassoLars,coef_ (absolute values),53
Feature_65,52.27251374597464,LassoLars,coef_ (absolute values),54
Feature_66,52.030134790240744,LassoLars,coef_ (absolute values),55
Feature_25,51.08654479877807,LassoLars,coef_ (absolute values),56
Feature_13,49.803998310821534,LassoLars,coef_ (absolute values),57
Feature_48,47.696109171407194,LassoLars,coef_ (absolute values),58
Feature_6,44.42088264856732,LassoLars,coef_ (absolute values),59
Feature_39,38.760405550231106,LassoLars,coef_ (absolute values),60
Feature_62,37.49690373319333,LassoLars,coef_ (absolute values),61
Feature_41,29.90738329952178,LassoLars,coef_ (absolute values),62
Feature_58,29.508999614569472,LassoLars,coef_ (absolute values),63
Feature_53,28.659937651438103,LassoLars,coef_ (absolute values),64
Feature_7,27.552923268635865,LassoLars,coef_ (absolute values),65
Feature_74,27.46662676595208,LassoLars,coef_ (absolute values),66
Feature_79,27.268631810422043,LassoLars,coef_ (absolute values),67
Feature_73,24.953904999338135,LassoLars,coef_ (absolute values),68
Feature_36,24.146846596547277,LassoLars,coef_ (absolute values),69
Feature_15,23.24920406110972,LassoLars,coef_ (absolute values),70
Feature_60,18.788093213539334,LassoLars,coef_ (absolute values),71
Feature_71,18.154903574945827,LassoLars,coef_ (absolute values),72
Feature_11,16.89560621957282,LassoLars,coef_ (absolute values),73
Feature_24,16.450786156826133,LassoLars,coef_ (absolute values),74
Feature_51,16.241096617402107,LassoLars,coef_ (absolute values),75
Feature_67,15.151777108043833,LassoLars,coef_ (absolute values),76
Feature_10,14.69594601910942,LassoLars,coef_ (absolute values),77
Feature_4,14.191587711517553,LassoLars,coef_ (absolute values),78
Feature_30,11.88514456321388,LassoLars,coef_ (absolute values),79
Feature_12,11.57698741507329,LassoLars,coef_ (absolute values),80
Feature_88,10.687202754127162,LassoLars,coef_ (absolute values),81
Feature_5,10.68127836402177,LassoLars,coef_ (absolute values),82
Feature_8,8.470436337941358,LassoLars,coef_ (absolute values),83
Feature_91,7.176687481143886,LassoLars,coef_ (absolute values),84
Feature_14,7.038979997941778,LassoLars,coef_ (absolute values),85
Feature_47,7.011670182806203,LassoLars,coef_ (absolute values),86
Feature_90,6.975899609197548,LassoLars,coef_ (absolute values),87
Feature_82,6.065664636233408,LassoLars,coef_ (absolute values),88
Feature_69,6.058792153054544,LassoLars,coef_ (absolute values),89
Feature_64,2.72752709836799,LassoLars,coef_ (absolute values),90
Feature_42,2.449906191432852,LassoLars,coef_ (absolute values),91
Feature_85,1.168629400191747,LassoLars,coef_ (absolute values),92
Feature_9,0.0,LassoLars,coef_ (absolute values),93
Feature_0,0.0,LassoLars,coef_ (absolute values),94
