feature,importance,model,importance_type,rank
Feature_38,0.4421528491660307,GradientBoostingRegressor,feature_importances_,1
Feature_37,0.11404338779825157,GradientBoostingRegressor,feature_importances_,2
Feature_0,0.04772245381178988,GradientBoostingRegressor,feature_importances_,3
Feature_41,0.03127908126569785,GradientBoostingRegressor,feature_importances_,4
Feature_20,0.02435777381961567,GradientBoostingRegressor,feature_importances_,5
Feature_74,0.02342946286324159,GradientBoostingRegressor,feature_importances_,6
Feature_39,0.016764231139244166,GradientBoostingRegressor,feature_importances_,7
Feature_40,0.016083502438819543,GradientBoostingRegressor,feature_importances_,8
Feature_106,0.014288137491257919,GradientBoostingRegressor,feature_importances_,9
Feature_118,0.014067776021549228,GradientBoostingRegressor,feature_importances_,10
Feature_79,0.013376599003714087,GradientBoostingRegressor,feature_importances_,11
Feature_105,0.009979818147004535,GradientBoostingRegressor,feature_importances_,12
Feature_84,0.00872553597100054,GradientBoostingRegressor,feature_importances_,13
Feature_91,0.008584926216305808,GradientBoostingRegressor,feature_importances_,14
Feature_51,0.008580414884542285,GradientBoostingRegressor,feature_importances_,15
Feature_110,0.008527528521846581,GradientBoostingRegressor,feature_importances_,16
Feature_70,0.00718984277757981,GradientBoostingRegressor,feature_importances_,17
Feature_117,0.007136149761420134,GradientBoostingRegressor,feature_importances_,18
Feature_49,0.00710101414649963,GradientBoostingRegressor,feature_importances_,19
Feature_108,0.006637741668037072,GradientBoostingRegressor,feature_importances_,20
Feature_120,0.005580675527800538,GradientBoostingRegressor,feature_importances_,21
Feature_52,0.005453763732492354,GradientBoostingRegressor,feature_importances_,22
Feature_67,0.005204138483084106,GradientBoostingRegressor,feature_importances_,23
Feature_57,0.0051862418084129185,GradientBoostingRegressor,feature_importances_,24
Feature_107,0.004547197397994909,GradientBoostingRegressor,feature_importances_,25
Feature_101,0.004435586524764788,GradientBoostingRegressor,feature_importances_,26
Feature_114,0.004362874132414903,GradientBoostingRegressor,feature_importances_,27
Feature_115,0.004088918025031284,GradientBoostingRegressor,feature_importances_,28
Feature_61,0.004038671743727245,GradientBoostingRegressor,feature_importances_,29
Feature_2,0.003977670280255466,GradientBoostingRegressor,feature_importances_,30
Feature_104,0.003962928284236872,GradientBoostingRegressor,feature_importances_,31
Feature_64,0.003898049974494681,GradientBoostingRegressor,feature_importances_,32
Feature_93,0.003822454493172596,GradientBoostingRegressor,feature_importances_,33
Feature_53,0.0037574036480321066,GradientBoostingRegressor,feature_importances_,34
Feature_86,0.0036883064772917015,GradientBoostingRegressor,feature_importances_,35
Feature_99,0.003638008119267729,GradientBoostingRegressor,feature_importances_,36
