feature,importance,model,importance_type,rank
Feature_38,3054.259563334542,BayesianRidge,coef_ (absolute values),1
Feature_37,1862.9097535961735,BayesianRidge,coef_ (absolute values),2
Feature_0,1473.145747881597,BayesianRidge,coef_ (absolute values),3
Feature_74,895.8848348573249,BayesianRidge,coef_ (absolute values),4
Feature_118,651.4070477807977,BayesianRidge,coef_ (absolute values),5
Feature_106,614.4108281148044,BayesianRidge,coef_ (absolute values),6
Feature_79,539.1351106971864,BayesianRidge,coef_ (absolute values),7
Feature_110,532.0673171540291,BayesianRidge,coef_ (absolute values),8
Feature_84,508.20452846057964,BayesianRidge,coef_ (absolute values),9
Feature_86,472.17815692846176,BayesianRidge,coef_ (absolute values),10
Feature_51,465.20811911943116,BayesianRidge,coef_ (absolute values),11
Feature_91,464.6485889978827,BayesianRidge,coef_ (absolute values),12
Feature_89,464.1585684910833,BayesianRidge,coef_ (absolute values),13
Feature_117,395.7177395154239,BayesianRidge,coef_ (absolute values),14
Feature_41,394.3474243795066,BayesianRidge,coef_ (absolute values),15
Feature_105,393.3453899788766,BayesianRidge,coef_ (absolute values),16
Feature_115,372.94788200010527,BayesianRidge,coef_ (absolute values),17
Feature_67,370.75574942939954,BayesianRidge,coef_ (absolute values),18
Feature_101,369.3824219065809,BayesianRidge,coef_ (absolute values),19
Feature_57,357.23807681135713,BayesianRidge,coef_ (absolute values),20
Feature_108,353.05156278172296,BayesianRidge,coef_ (absolute values),21
Feature_90,336.14445872007275,BayesianRidge,coef_ (absolute values),22
Feature_39,334.3479984004538,BayesianRidge,coef_ (absolute values),23
Feature_70,326.11176894344953,BayesianRidge,coef_ (absolute values),24
Feature_61,324.0528882734018,BayesianRidge,coef_ (absolute values),25
Feature_40,286.1978762640208,BayesianRidge,coef_ (absolute values),26
Feature_49,283.72295765503776,BayesianRidge,coef_ (absolute values),27
Feature_76,282.21434432923496,BayesianRidge,coef_ (absolute values),28
Feature_119,276.63840605220196,BayesianRidge,coef_ (absolute values),29
Feature_81,274.99926476654025,BayesianRidge,coef_ (absolute values),30
Feature_102,269.27482625299217,BayesianRidge,coef_ (absolute values),31
Feature_16,257.1105031028681,BayesianRidge,coef_ (absolute values),32
Feature_100,256.8097543538435,BayesianRidge,coef_ (absolute values),33
Feature_98,254.9888602656818,BayesianRidge,coef_ (absolute values),34
Feature_96,240.41021442129596,BayesianRidge,coef_ (absolute values),35
Feature_103,237.97129286527309,BayesianRidge,coef_ (absolute values),36
Feature_93,230.7844364302598,BayesianRidge,coef_ (absolute values),37
Feature_7,228.9864566982221,BayesianRidge,coef_ (absolute values),38
Feature_92,228.2396140946328,BayesianRidge,coef_ (absolute values),39
Feature_20,219.85864854493295,BayesianRidge,coef_ (absolute values),40
Feature_66,219.26619223168768,BayesianRidge,coef_ (absolute values),41
Feature_69,208.16931066953276,BayesianRidge,coef_ (absolute values),42
Feature_114,202.39037462696893,BayesianRidge,coef_ (absolute values),43
Feature_122,201.2909648503632,BayesianRidge,coef_ (absolute values),44
Feature_85,198.9971865529443,BayesianRidge,coef_ (absolute values),45
Feature_12,192.08433320494507,BayesianRidge,coef_ (absolute values),46
Feature_8,190.34193038093989,BayesianRidge,coef_ (absolute values),47
Feature_95,177.38685061733224,BayesianRidge,coef_ (absolute values),48
Feature_53,175.62660902742553,BayesianRidge,coef_ (absolute values),49
Feature_120,172.19466366967382,BayesianRidge,coef_ (absolute values),50
Feature_65,165.06910563054785,BayesianRidge,coef_ (absolute values),51
Feature_17,164.40582351214587,BayesianRidge,coef_ (absolute values),52
Feature_80,160.90323864692482,BayesianRidge,coef_ (absolute values),53
Feature_11,150.3927181270725,BayesianRidge,coef_ (absolute values),54
Feature_15,149.15927809183142,BayesianRidge,coef_ (absolute values),55
Feature_94,146.10497599063618,BayesianRidge,coef_ (absolute values),56
Feature_71,137.80217392723355,BayesianRidge,coef_ (absolute values),57
Feature_13,137.19743185026118,BayesianRidge,coef_ (absolute values),58
Feature_58,133.98473320980364,BayesianRidge,coef_ (absolute values),59
Feature_46,124.60843885868645,BayesianRidge,coef_ (absolute values),60
Feature_62,123.76416262266218,BayesianRidge,coef_ (absolute values),61
Feature_19,118.65642280802221,BayesianRidge,coef_ (absolute values),62
Feature_99,117.53109842913301,BayesianRidge,coef_ (absolute values),63
Feature_113,113.52442709305978,BayesianRidge,coef_ (absolute values),64
Feature_24,112.77507687949208,BayesianRidge,coef_ (absolute values),65
Feature_14,105.71894358208236,BayesianRidge,coef_ (absolute values),66
Feature_5,94.18843195542014,BayesianRidge,coef_ (absolute values),67
Feature_1,91.05499964180373,BayesianRidge,coef_ (absolute values),68
Feature_54,86.04367950241573,BayesianRidge,coef_ (absolute values),69
Feature_111,83.52160561416434,BayesianRidge,coef_ (absolute values),70
