feature,importance,model,importance_type,rank
Feature_2,351113422682889.56,LinearRegression,coef_ (absolute values),1
Feature_3,273097341801378.4,LinearRegression,coef_ (absolute values),2
Feature_7,146687339269075.66,LinearRegression,coef_ (absolute values),3
Feature_4,126147426058573.22,LinearRegression,coef_ (absolute values),4
Feature_8,81953902414228.7,LinearRegression,coef_ (absolute values),5
Feature_5,79165330572517.36,LinearRegression,coef_ (absolute values),6
Feature_6,73869965336300.69,LinearRegression,coef_ (absolute values),7
Feature_10,67482309795116.68,LinearRegression,coef_ (absolute values),8
Feature_12,66128403090094.305,LinearRegression,coef_ (absolute values),9
Feature_9,61884144596242.66,LinearRegression,coef_ (absolute values),10
Feature_13,56520646053328.01,LinearRegression,coef_ (absolute values),11
Feature_11,54055712360319.68,LinearRegression,coef_ (absolute values),12
Feature_14,45857546414944.234,LinearRegression,coef_ (absolute values),13
Feature_1,43824682795388.945,LinearRegression,coef_ (absolute values),14
Feature_17,3132.039441730827,LinearRegression,coef_ (absolute values),15
Feature_18,1887.3313352018595,LinearRegression,coef_ (absolute values),16
Feature_19,528.1254887282848,LinearRegression,coef_ (absolute values),17
Feature_39,493.085205078125,LinearRegression,coef_ (absolute values),18
Feature_36,275.236328125,LinearRegression,coef_ (absolute values),19
Feature_43,270.09349060058594,LinearRegression,coef_ (absolute values),20
Feature_65,240.23782348632812,LinearRegression,coef_ (absolute values),21
Feature_42,222.11514282226562,LinearRegression,coef_ (absolute values),22
Feature_77,220.1318359375,LinearRegression,coef_ (absolute values),23
Feature_69,210.0762939453125,LinearRegression,coef_ (absolute values),24
Feature_71,174.064208984375,LinearRegression,coef_ (absolute values),25
Feature_63,172.0102996826172,LinearRegression,coef_ (absolute values),26
Feature_62,167.14254760742188,LinearRegression,coef_ (absolute values),27
Feature_21,164.44830513000488,LinearRegression,coef_ (absolute values),28
Feature_28,162.546875,LinearRegression,coef_ (absolute values),29
Feature_80,145.697265625,LinearRegression,coef_ (absolute values),30
Feature_64,138.2265625,LinearRegression,coef_ (absolute values),31
Feature_47,130.5594482421875,LinearRegression,coef_ (absolute values),32
Feature_40,123.515869140625,LinearRegression,coef_ (absolute values),33
Feature_0,120.8531530379994,LinearRegression,coef_ (absolute values),34
Feature_20,119.56536841392517,LinearRegression,coef_ (absolute values),35
Feature_78,112.8524169921875,LinearRegression,coef_ (absolute values),36
Feature_72,111.5098876953125,LinearRegression,coef_ (absolute values),37
Feature_85,110.65521240234375,LinearRegression,coef_ (absolute values),38
Feature_24,101.9141845703125,LinearRegression,coef_ (absolute values),39
Feature_48,99.07470703125,LinearRegression,coef_ (absolute values),40
Feature_66,98.0755615234375,LinearRegression,coef_ (absolute values),41
Feature_82,96.84576416015625,LinearRegression,coef_ (absolute values),42
Feature_53,96.35986328125,LinearRegression,coef_ (absolute values),43
Feature_74,91.38525390625,LinearRegression,coef_ (absolute values),44
Feature_45,89.43145751953125,LinearRegression,coef_ (absolute values),45
Feature_44,87.63697814941406,LinearRegression,coef_ (absolute values),46
Feature_15,86.79945459438022,LinearRegression,coef_ (absolute values),47
