feature,importance,model,importance_type,rank
Feature_3,1987.131273347036,Lasso,coef_ (absolute values),1
Feature_27,214.138620768031,Lasso,coef_ (absolute values),2
Feature_26,146.50888202411997,Lasso,coef_ (absolute values),3
Feature_55,133.48460281498495,Lasso,coef_ (absolute values),4
Feature_39,127.73023252056575,Lasso,coef_ (absolute values),5
Feature_35,117.80556967010851,Lasso,coef_ (absolute values),6
Feature_53,111.67752359982902,Lasso,coef_ (absolute values),7
Feature_31,110.54562222107015,Lasso,coef_ (absolute values),8
Feature_56,95.47321594039714,Lasso,coef_ (absolute values),9
Feature_73,85.73459393857375,Lasso,coef_ (absolute values),10
Feature_47,81.12080503744356,Lasso,coef_ (absolute values),11
Feature_44,75.15423075604892,Lasso,coef_ (absolute values),12
Feature_36,71.39707827327875,Lasso,coef_ (absolute values),13
Feature_33,63.3831133395333,Lasso,coef_ (absolute values),14
Feature_41,61.2426807742222,Lasso,coef_ (absolute values),15
Feature_20,54.267413584402675,Lasso,coef_ (absolute values),16
Feature_4,52.73635628036429,Lasso,coef_ (absolute values),17
Feature_52,50.46924558183145,Lasso,coef_ (absolute values),18
Feature_54,47.82649400794901,Lasso,coef_ (absolute values),19
Feature_50,47.79784522544077,Lasso,coef_ (absolute values),20
Feature_2,45.41805054915827,Lasso,coef_ (absolute values),21
Feature_21,45.18775164785269,Lasso,coef_ (absolute values),22
Feature_46,42.39799513454187,Lasso,coef_ (absolute values),23
Feature_70,42.30208311586843,Lasso,coef_ (absolute values),24
Feature_59,41.79066005754154,Lasso,coef_ (absolute values),25
Feature_63,40.59810141795024,Lasso,coef_ (absolute values),26
Feature_7,38.99661483717614,Lasso,coef_ (absolute values),27
Feature_32,38.29441832716474,Lasso,coef_ (absolute values),28
Feature_8,37.09125260870667,Lasso,coef_ (absolute values),29
Feature_24,35.365459877776956,Lasso,coef_ (absolute values),30
Feature_67,33.543238143507764,Lasso,coef_ (absolute values),31
Feature_5,31.551332555364667,Lasso,coef_ (absolute values),32
Feature_29,28.907537794442764,Lasso,coef_ (absolute values),33
Feature_72,28.86108489206005,Lasso,coef_ (absolute values),34
Feature_18,27.254575905332295,Lasso,coef_ (absolute values),35
Feature_6,26.347404570238638,Lasso,coef_ (absolute values),36
Feature_43,26.267321242032537,Lasso,coef_ (absolute values),37
Feature_61,23.336738029540246,Lasso,coef_ (absolute values),38
Feature_19,23.072301362612855,Lasso,coef_ (absolute values),39
Feature_62,22.90519755506324,Lasso,coef_ (absolute values),40
Feature_25,20.007832596503295,Lasso,coef_ (absolute values),41
Feature_0,18.042448727559126,Lasso,coef_ (absolute values),42
Feature_34,17.027160818975087,Lasso,coef_ (absolute values),43
Feature_58,13.269171228992976,Lasso,coef_ (absolute values),44
Feature_12,12.464232542338337,Lasso,coef_ (absolute values),45
Feature_40,12.017835729231052,Lasso,coef_ (absolute values),46
Feature_37,11.934783452230768,Lasso,coef_ (absolute values),47
Feature_14,11.648016040605064,Lasso,coef_ (absolute values),48
Feature_23,10.765729005965992,Lasso,coef_ (absolute values),49
Feature_66,8.466152378676481,Lasso,coef_ (absolute values),50
Feature_71,7.797662229195052,Lasso,coef_ (absolute values),51
Feature_13,5.861441636036738,Lasso,coef_ (absolute values),52
Feature_28,5.672134199973203,Lasso,coef_ (absolute values),53
Feature_74,5.588905647055905,Lasso,coef_ (absolute values),54
Feature_11,5.373319592606517,Lasso,coef_ (absolute values),55
Feature_68,3.0906805116527187,Lasso,coef_ (absolute values),56
Feature_69,2.6274751945229764,Lasso,coef_ (absolute values),57
Feature_22,2.0475293808901607,Lasso,coef_ (absolute values),58
Feature_64,1.2071800037785128,Lasso,coef_ (absolute values),59
Feature_9,1.0049086243024068,Lasso,coef_ (absolute values),60
Feature_48,0.9659759994623184,Lasso,coef_ (absolute values),61
Feature_65,0.0,Lasso,coef_ (absolute values),62
Feature_75,0.0,Lasso,coef_ (absolute values),63
Feature_38,0.0,Lasso,coef_ (absolute values),64
Feature_60,0.0,Lasso,coef_ (absolute values),65
Feature_57,0.0,Lasso,coef_ (absolute values),66
Feature_51,0.0,Lasso,coef_ (absolute values),67
Feature_49,0.0,Lasso,coef_ (absolute values),68
Feature_45,0.0,Lasso,coef_ (absolute values),69
Feature_42,0.0,Lasso,coef_ (absolute values),70
Feature_1,0.0,Lasso,coef_ (absolute values),71
Feature_30,0.0,Lasso,coef_ (absolute values),72
Feature_17,0.0,Lasso,coef_ (absolute values),73
Feature_16,0.0,Lasso,coef_ (absolute values),74
Feature_15,0.0,Lasso,coef_ (absolute values),75
Feature_10,0.0,Lasso,coef_ (absolute values),76
Feature_76,0.0,Lasso,coef_ (absolute values),77
