feature,importance
tech_tf_architecture_multi_tier_with_web_public_interface,0.82839954
project_prf_year_of_project,0.1201533
project_prf_relative_size_l,0.01095771
project_prf_application_group_mathematically_intensive_application,0.0056633377
tech_tf_architecture_multi_tier,0.0051168124
isbsg_project_id,0.0020123215
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,0.0012535085
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,0.0008537348
project_prf_speed_of_delivery,0.0007826612
project_prf_defect_density,0.0006373258
project_prf_application_type,0.00054850685
project_prf_team_size_group_3_4,0.00041292005
tech_tf_architecture_stand_alone,0.00027003573
external_eef_industry_sector,0.00021505525
process_pmf_development_methodologies_personal_software_process__psp___unified_process,0.000111429894
process_pmf_development_methodologies_agile_development__scrum,6.2782594e-05
project_prf_development_type_new_development,3.9374154e-05
project_prf_relative_size_s,2.6343869e-05
tech_tf_architecture_client_server,1.3317517e-06
project_prf_team_size_group_5_8,6.609213e-07
process_pmf_development_methodologies_agile_development__unified_process,5.535335e-07
tech_tf_server_roles,2.0136514e-07
project_prf_max_team_size,9.073875e-08
tech_tf_development_platform_multi,2.540526e-08
tech_tf_primary_programming_language_abap,1.386155e-08
tech_tf_primary_programming_language_proprietary_agile_platform,7.4339184e-09
people_prf_personnel_changes,2.1436906e-09
project_prf_team_size_group_41_50,1.2101178e-09
people_prf_project_manage_changes,1.1426428e-09
tech_tf_primary_programming_language_java,5.7818816e-10
project_prf_manpower_delivery_rate,5.33911e-10
project_prf_application_group_real_time_application,2.6586933e-10
tech_tf_tools_used,1.39972565e-11
external_eef_organisation_type,1.3084924e-11
project_prf_functional_size,6.956446e-13
external_eef_data_quality_rating_b,2.0082009e-13
project_prf_project_elapsed_time,0.0
project_prf_team_size_group_Missing,0.0
process_pmf_development_methodologies_agile_development,0.0
process_pmf_development_methodologies_agile_development__iterative,0.0
project_prf_total_project_cost,0.0
process_pmf_docs,0.0
project_prf_normalised_pdr_ufp,0.0
project_prf_team_size_group_61_70,0.0
project_prf_normalised_level_1_pdr_ufp,0.0
tech_tf_client_server_no,0.0
tech_tf_client_server_yes,0.0
tech_tf_web_development_web,0.0
tech_tf_dbms_used_yes,0.0
project_prf_cost_currency_canada__dollar,0.0
project_prf_team_size_group_9_14,0.0
tech_tf_language_type_4GL,0.0
tech_tf_language_type_5GL,0.0
tech_tf_development_platform_mr,0.0
tech_tf_development_platform_proprietary,0.0
tech_tf_primary_programming_language_c_,0.0
tech_tf_primary_programming_language_c__,0.0
tech_tf_development_platform_pc,0.0
tech_tf_primary_programming_language_javascript,0.0
tech_tf_primary_programming_language_oracle,0.0
tech_tf_primary_programming_language_pl_i,0.0
project_prf_development_type_re_development,0.0
project_prf_application_group_business_application,0.0
project_prf_relative_size_m1,0.0
project_prf_relative_size_m2,0.0
project_prf_relative_size_xs,0.0
project_prf_relative_size_xxs,0.0
project_prf_team_size_group_2,0.0
project_prf_team_size_group_21_30,0.0
project_prf_application_group_infrastructure_software,0.0
project_prf_cost_currency_european__euro,0.0
