Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,324.1667,142811.5,377.9041,-0.4073,1.4703,0.9683
1,1406.75,5103197.875,2259.0259,-0.3247,1.1153,0.4553
2,947.25,2861292.7083,1691.5356,0.9431,1.7127,3.0902
3,2924.5833,37547006.0417,6127.5612,0.2631,1.651,1.208
4,1358.25,8748520.2083,2957.7898,-0.0248,1.3065,1.3686
5,477.0833,771143.375,878.1477,0.1104,0.973,1.1716
6,10860.5,598946730.5,24473.3882,-0.2648,2.7905,0.7329
7,384.0,581865.3333,762.801,-5.5084,0.9162,1.4844
8,329.8333,471903.8333,686.9526,-2.5409,0.7154,0.7938
9,419.1,265968.05,515.7209,0.962,0.9023,0.8149
Mean,1943.1517,65544043.9425,4073.0827,-0.6792,1.3553,1.2088
Std,3069.7055,178128818.5452,6996.7165,1.8554,0.5746,0.6944
