Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,4060.7244,51760338.3976,7194.4658,-0.1592,1.4916,0.558
1,8263.3448,375396440.5025,19375.1501,-0.2374,2.8402,1.1391
2,2901.0208,46897002.8861,6848.1386,0.1133,1.4385,2.6698
3,261.8004,226971.1027,476.4148,0.906,0.5354,0.4409
4,12994.1025,720326054.0577,26838.8907,-0.3088,2.9767,1.3972
5,126.9827,27569.6824,166.0412,0.3335,0.3997,0.383
6,974.0845,3380169.5901,1838.5238,0.5384,0.8946,1.1976
7,150.0335,45244.4358,212.7074,0.9702,0.1228,0.1032
8,90.4499,13097.3416,114.4436,0.6906,0.7849,0.4457
9,42.7909,4256.5951,65.2426,0.9325,0.2055,0.1307
Mean,2986.5335,119807714.4592,6313.0019,0.3779,1.169,0.8465
Std,4170.218,228285603.757,8941.6845,0.4766,0.9735,0.7433
