Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2203.2017,11009277.4879,3318.0231,0.6961,1.0683,2.2129
1,2213.8353,10934742.7301,3306.7723,0.6515,1.1104,2.1069
2,2109.7631,10242957.2148,3200.462,0.6627,1.1443,2.6165
3,2046.7373,9596858.5661,3097.8797,0.6922,1.0278,1.983
4,2177.3657,9865684.3087,3140.9687,0.6919,1.1012,2.2731
5,2145.1252,10228903.2715,3198.2657,0.7138,1.2288,3.295
6,2198.1788,12006876.8028,3465.0941,0.6036,1.07,2.0534
7,2093.1121,10321832.835,3212.7609,0.6658,1.1187,2.4495
8,2070.373,9492921.3973,3081.0585,0.6799,1.0619,2.1193
9,2208.2141,10381824.737,3222.0839,0.6506,1.0788,2.2646
Mean,2146.5906,10408187.9351,3224.3369,0.6708,1.101,2.3374
Std,59.2712,710791.7744,108.8099,0.0298,0.0529,0.366
