Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2930.0572,21158751.6169,4599.8643,0.3031,1.7578,11.3029
1,3009.6228,22772416.648,4772.0453,0.4667,1.6955,10.8876
2,3033.9528,19195817.1195,4381.3031,0.3573,1.6927,9.1199
3,3169.3624,22513578.0585,4744.8475,0.4158,1.7241,10.9311
4,3055.7817,20281947.6657,4503.5483,0.3386,1.7609,11.8259
5,3099.5251,21690402.1978,4657.2956,0.2925,1.6379,8.1232
6,3078.6623,21555263.3391,4642.7646,0.4311,1.6459,9.181
7,2883.0667,17739178.5815,4211.7904,0.3423,1.7894,12.3663
8,3158.8989,20380489.3474,4514.4755,0.4299,1.703,9.503
9,3247.6287,26736944.8418,5170.778,0.3279,1.7004,8.5565
Mean,3066.6558,21402478.9416,4619.8713,0.3705,1.7108,10.1798
Std,104.8035,2287413.8647,243.4509,0.0574,0.0462,1.3878
