Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,625.8227,765348.5885,874.842,-6.5421,0.7323,1.3397
1,906.5194,1849891.5887,1360.1072,0.5198,0.5129,0.7442
2,4754.9637,55299999.8376,7436.397,-0.0998,0.9927,2.7864
3,1758.5522,9252357.1129,3041.7687,0.8184,1.9335,14.169
4,2249.6887,21190393.5142,4603.3025,-1.4823,1.2713,3.7252
5,1467.097,4518366.9089,2125.6451,-4.2123,1.4851,4.5335
6,10546.933,466989780.9838,21609.9463,0.0139,1.0189,0.7678
7,704.5741,1279959.1434,1131.3528,-13.317,1.7874,3.6868
8,242.2896,169535.2811,411.7466,-0.2721,0.8294,1.2496
9,1022.169,1388322.8284,1178.2711,0.8019,1.4408,4.8169
Mean,2427.8609,56270395.5788,4377.3379,-2.3772,1.2004,3.7819
Std,2966.8461,137853773.3265,6091.741,4.3039,0.4395,3.7579
