Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3126.3751,25431058.2066,5042.9216,0.388,1.7318,9.9043
1,2962.6427,20059158.2732,4478.7452,0.3822,1.7035,9.9015
2,2992.1382,18223761.4509,4268.9298,0.3547,1.8461,13.048
3,3063.4917,22547056.7287,4748.3741,0.3813,1.7903,14.386
4,2983.2143,21576005.8896,4644.9979,0.4061,1.6721,9.6775
5,2937.8951,20083823.8891,4481.498,0.3645,1.8594,13.3842
6,2909.8763,20621252.6341,4541.0629,0.424,1.5951,8.1041
7,3252.356,22452819.8627,4738.4407,0.3267,1.5999,8.2347
8,3188.9524,21500306.1983,4636.8423,0.3174,1.6909,10.1172
9,3055.6315,19663288.1275,4434.3306,0.4416,1.7465,11.1229
Mean,3047.2573,21215853.1261,4601.6143,0.3786,1.7236,10.788
Std,106.7095,1887241.9231,202.4819,0.0376,0.0863,2.0464
