Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,2085.9553,7416341.2866,2723.296,0.8339,1.4203,0.6133
1,1196.8507,3794933.4763,1948.0589,0.9875,0.5891,0.6744
2,714.6515,1298840.9926,1139.6671,0.9754,1.6421,5.8691
3,599.4127,728811.8282,853.7048,0.6981,0.9655,1.712
4,7244.8119,222972293.0482,14932.2568,0.5949,0.9912,0.8234
5,440.703,296322.6171,544.3552,-6.1632,2.0564,2.8906
6,363.0414,331996.2488,576.1912,0.9547,0.5835,0.7149
7,623.8003,1154543.5191,1074.4969,0.2401,0.5603,0.3842
8,224.3339,61612.867,248.2194,-0.4553,1.0369,2.6914
9,795.8343,1641582.6014,1281.2426,-25.0308,1.227,2.6242
Mean,1428.9395,23969727.8485,2532.1489,-2.6365,1.1072,1.8997
Std,2003.0258,66367926.2276,4190.2207,7.7437,0.4669,1.6106
