Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,4083.1987,55541248.757,7452.6001,-0.2439,1.2673,0.5069
1,7914.7981,343314916.7522,18528.7592,-0.1316,1.5035,1.2661
2,3254.4064,53628636.3254,7323.1575,-0.0139,2.1048,8.4732
3,562.8908,971205.4264,985.4976,0.5977,1.0769,1.9504
4,12277.2977,695601337.0333,26374.2552,-0.2639,1.9458,1.1074
5,267.7115,81267.2741,285.0742,-0.9645,0.6372,0.8645
6,1149.5769,4413515.5318,2100.8369,0.3972,1.0385,1.5424
7,390.0831,339477.135,582.6467,0.7766,0.4585,0.4437
8,815.9754,1224960.3264,1106.7793,-27.9344,1.8323,6.0579
9,321.7685,358972.3126,599.143,-4.6923,1.0514,1.8449
Mean,3103.7707,115547553.6874,6533.875,-3.2473,1.2916,2.4057
Std,3833.2411,217760651.8774,8535.5745,8.3612,0.5213,2.5345
