Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3120.6314,25445819.8902,5044.385,0.3877,1.7031,9.7035
1,2953.3153,19977328.455,4469.6005,0.3847,1.6756,9.8327
2,2985.1043,18187855.7324,4264.7222,0.356,1.827,12.9497
3,3057.1357,22517619.784,4745.2734,0.3821,1.7815,14.2934
4,2980.2076,21582060.1261,4645.6496,0.4059,1.666,9.5379
5,2929.1749,19996848.0545,4471.7835,0.3672,1.865,13.3118
6,2906.4073,20634207.9592,4542.4892,0.4237,1.6107,8.1363
7,3244.2986,22413873.5204,4734.3293,0.3279,1.6118,8.2681
8,3183.9167,21485001.7461,4635.1917,0.3179,1.6981,9.9658
9,3047.7671,19649891.1803,4432.8198,0.442,1.7116,10.9395
Mean,3040.7959,21189050.6448,4598.6244,0.3795,1.715,10.6939
Std,106.551,1902657.7673,204.216,0.0372,0.0809,2.0242
