Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,216.9067,91216.5981,302.0209,0.1011,0.6328,0.9333
1,1501.2123,5253256.383,2291.9983,-0.3636,1.3869,0.5759
2,2455.0703,12765751.7563,3572.9192,0.7461,0.7476,1.4811
3,2205.3607,16002138.8321,4000.2673,0.6859,2.3258,5.9156
4,651.7483,2146428.2643,1465.0694,0.7486,1.201,1.7044
5,1165.6267,2995314.3497,1730.6976,-2.4553,1.6044,6.1734
6,4783.2442,105987633.348,10295.0295,0.7762,0.3587,0.3116
7,82.8758,13187.8445,114.8383,0.8525,0.5864,1.0378
8,491.9615,722185.6208,849.8151,-4.4188,1.3582,3.7748
9,726.9169,903328.4987,950.436,0.8711,1.1145,2.0743
Mean,1428.0923,14688044.1495,2557.3092,-0.2456,1.1316,2.3982
Std,1350.4586,30882918.729,2854.5077,1.6962,0.5534,2.0401
