Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,286.8563,411572.9927,641.5395,0.978,0.2412,0.1945
1,306.0573,455916.9808,675.2162,0.982,0.2307,0.1823
2,300.5368,298190.7482,546.0684,0.9878,0.2186,0.1753
3,310.0695,406364.0638,637.4669,0.9824,0.2312,0.1852
4,253.7392,263382.4343,513.208,0.9866,0.2367,0.1841
5,283.6236,252443.4743,502.4375,0.9861,0.2334,0.188
6,297.8235,280784.0153,529.8906,0.9843,0.2421,0.193
7,270.9842,270652.967,520.2432,0.9841,0.2326,0.1804
8,279.295,281835.4216,530.8817,0.9866,0.23,0.1862
9,287.9063,343336.0014,585.9488,0.9821,0.2238,0.1826
Mean,287.6892,326447.9099,568.2901,0.984,0.232,0.1852
Std,16.2032,69369.4733,59.1124,0.0028,0.0068,0.0054
