feature,mean_importance
process_pmf_docs,-0.012401487379616424
tech_tf_server_roles,-0.009967705485771786
external_eef_industry_sector,-0.00718704938694395
tech_tf_development_platform_pc,-0.005087516051456823
external_eef_data_quality_rating_b,-0.0045113108864600765
tech_tf_language_type_4GL,-0.002908976542728023
tech_tf_tools_used,-0.002660054894822081
project_prf_relative_size_m1,-0.0023047164790189756
tech_tf_architecture_multi_tier_with_web_public_interface,-0.0018257394724213061
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,-0.0002719178999236016
tech_tf_architecture_client_server,-0.00023268832764352098
tech_tf_dbms_used_yes,-8.639968273969068e-05
project_prf_team_size_group_Missing,-7.838886987234783e-05
project_prf_team_size_group_61_70,0.0
tech_tf_primary_programming_language_proprietary_agile_platform,0.0
project_prf_team_size_group_41_50,0.0
project_prf_team_size_group_21_30,0.0
project_prf_relative_size_xxs,0.0
project_prf_team_size_group_5_8,0.0
project_prf_team_size_group_3_4,0.0
process_pmf_development_methodologies_agile_development__scrum,0.0
process_pmf_development_methodologies_agile_development__iterative,0.0
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,0.0
process_pmf_development_methodologies_agile_development__unified_process,0.0
process_pmf_development_methodologies_personal_software_process__psp___unified_process,0.0
tech_tf_architecture_multi_tier,0.0
tech_tf_client_server_no,0.0
tech_tf_client_server_yes,0.0
project_prf_team_size_group_9_14,0.0
project_prf_relative_size_l,0.0
project_prf_cost_currency_european__euro,0.0
tech_tf_primary_programming_language_pl_i,0.0
project_prf_application_group_business_application,0.0
project_prf_application_group_infrastructure_software,0.0
project_prf_application_group_mathematically_intensive_application,0.0
project_prf_application_group_real_time_application,0.0
project_prf_development_type_re_development,0.0
project_prf_cost_currency_canada__dollar,0.0
tech_tf_development_platform_multi,0.0
tech_tf_development_platform_proprietary,0.0
tech_tf_language_type_5GL,0.0
tech_tf_development_platform_mr,0.0
tech_tf_primary_programming_language_c_,0.0
tech_tf_primary_programming_language_c__,0.0
tech_tf_primary_programming_language_javascript,0.0
tech_tf_primary_programming_language_abap,0.0
people_prf_personnel_changes,0.0009937765629920493
tech_tf_primary_programming_language_java,0.0011656962825138117
tech_tf_web_development_web,0.0018681865152675669
project_prf_team_size_group_2,0.0022735545790318694
project_prf_relative_size_s,0.003607592008096605
project_prf_relative_size_m2,0.005780513344670168
project_prf_development_type_new_development,0.0058515039798729684
process_pmf_development_methodologies_agile_development,0.007318757041667123
external_eef_organisation_type,0.010271353556837174
tech_tf_primary_programming_language_oracle,0.010436859493916872
project_prf_year_of_project,0.014530942844658574
tech_tf_architecture_stand_alone,0.02542867700918868
project_prf_relative_size_xs,0.040324954313059144
project_prf_application_type,0.046536713796457393
project_prf_functional_size,0.18238539768287426
project_prf_max_team_size,0.4088281789364296
