feature,mean_importance
tech_tf_primary_programming_language_c_,-0.03547694022977119
tech_tf_tools_used,-0.011043905362212548
project_prf_application_type,-0.01063237949556694
external_eef_data_quality_rating_b,-0.008242904003040574
project_prf_relative_size_m1,-0.005321038422459501
project_prf_team_size_group_5_8,-0.005289104697441227
tech_tf_architecture_stand_alone,-0.0046418984031233405
process_pmf_development_methodologies_personal_software_process__psp___unified_process,-0.0038023315867348638
project_prf_relative_size_m2,-0.0034398216190318852
project_prf_development_type_re_development,-0.0015261556564546308
external_eef_organisation_type,-0.0008804804488969142
tech_tf_primary_programming_language_c__,0.0
process_pmf_development_methodologies_agile_development__scrum,0.0
tech_tf_primary_programming_language_javascript,0.0
tech_tf_primary_programming_language_proprietary_agile_platform,0.0
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,0.0
tech_tf_primary_programming_language_abap,0.0
process_pmf_development_methodologies_agile_development__iterative,0.0
project_prf_team_size_group_61_70,0.0
project_prf_team_size_group_21_30,0.0
tech_tf_primary_programming_language_pl_i,0.0
tech_tf_language_type_5GL,0.0
tech_tf_development_platform_proprietary,0.0
project_prf_team_size_group_3_4,0.0
tech_tf_client_server_no,0.0
tech_tf_architecture_multi_tier,0.0
project_prf_application_group_business_application,0.0
process_pmf_development_methodologies_agile_development__unified_process,0.0
project_prf_application_group_mathematically_intensive_application,0.0
project_prf_application_group_infrastructure_software,0.0
project_prf_application_group_real_time_application,0.0
tech_tf_development_platform_mr,0.0
tech_tf_development_platform_multi,0.0
project_prf_team_size_group_41_50,0.0
tech_tf_architecture_multi_tier_with_web_public_interface,0.0012910556996153899
project_prf_cost_currency_canada__dollar,0.004813446536962029
tech_tf_server_roles,0.005537040185508041
project_prf_relative_size_s,0.005749663954968248
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,0.006692271087088503
external_eef_industry_sector,0.0074844816910598745
project_prf_development_type_new_development,0.022288899324165928
project_prf_year_of_project,0.025727884495901715
tech_tf_dbms_used_yes,0.025786550816730057
tech_tf_primary_programming_language_oracle,0.030276011661482354
project_prf_relative_size_xs,0.031844172200640244
project_prf_team_size_group_9_14,0.03345166029292514
project_prf_relative_size_xxs,0.039631343044918756
project_prf_team_size_group_Missing,0.047865980986265905
tech_tf_language_type_4GL,0.04947844125388421
project_prf_cost_currency_european__euro,0.05962277691200337
tech_tf_development_platform_pc,0.07048472540435388
project_prf_team_size_group_2,0.07455107037944404
tech_tf_client_server_yes,0.09507292327745295
process_pmf_development_methodologies_agile_development,0.10194801541574813
tech_tf_architecture_client_server,0.1174883391489711
tech_tf_web_development_web,0.13103921782439226
project_prf_relative_size_l,0.16379031466769622
tech_tf_primary_programming_language_java,0.18623333794522007
people_prf_personnel_changes,0.2572949733291406
project_prf_max_team_size,0.8802405306376142
process_pmf_docs,1.0475027586931271
project_prf_functional_size,1.4229117997541185
