feature,mean_importance
tech_tf_server_roles,-0.042111832808508734
process_pmf_docs,-0.01586485344400443
tech_tf_architecture_stand_alone,-0.012543329421032156
tech_tf_tools_used,-0.006927789617230557
tech_tf_development_platform_pc,-0.005078971058756432
external_eef_data_quality_rating_b,-0.004108762689202955
external_eef_organisation_type,-0.0011014851016699079
tech_tf_client_server_yes,-0.00048824565855447034
tech_tf_dbms_used_yes,-3.474215801061997e-05
project_prf_relative_size_m2,0.0
process_pmf_development_methodologies_agile_development__unified_process,0.0
tech_tf_primary_programming_language_proprietary_agile_platform,0.0
project_prf_cost_currency_canada__dollar,0.0
process_pmf_development_methodologies_agile_development__scrum,0.0
tech_tf_primary_programming_language_pl_i,0.0
project_prf_relative_size_l,0.0
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,0.0
project_prf_team_size_group_3_4,0.0
project_prf_team_size_group_2,0.0
project_prf_team_size_group_21_30,0.0
tech_tf_primary_programming_language_oracle,0.0
project_prf_team_size_group_41_50,0.0
project_prf_team_size_group_5_8,0.0
project_prf_team_size_group_61_70,0.0
project_prf_team_size_group_9_14,0.0
project_prf_relative_size_xxs,0.0
tech_tf_primary_programming_language_javascript,0.0
tech_tf_language_type_5GL,0.0
tech_tf_primary_programming_language_c__,0.0
tech_tf_client_server_no,0.0
people_prf_personnel_changes,0.0
project_prf_application_group_business_application,0.0
project_prf_application_group_infrastructure_software,0.0
project_prf_application_group_mathematically_intensive_application,0.0
project_prf_application_group_real_time_application,0.0
tech_tf_architecture_multi_tier,0.0
project_prf_development_type_re_development,0.0
tech_tf_development_platform_mr,0.0
tech_tf_development_platform_multi,0.0
tech_tf_development_platform_proprietary,0.0
tech_tf_architecture_client_server,0.0
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,0.0
tech_tf_primary_programming_language_abap,0.0
process_pmf_development_methodologies_personal_software_process__psp___unified_process,0.0
tech_tf_primary_programming_language_java,0.0
process_pmf_development_methodologies_agile_development__iterative,0.0
project_prf_cost_currency_european__euro,0.00023853930021000558
project_prf_team_size_group_Missing,0.0004869761048776289
tech_tf_primary_programming_language_c_,0.0033346877290699128
project_prf_relative_size_m1,0.003615845335464207
external_eef_industry_sector,0.005299295772954138
project_prf_relative_size_s,0.006724989684490301
tech_tf_language_type_4GL,0.0075698297795770975
project_prf_development_type_new_development,0.008843822055490586
tech_tf_web_development_web,0.014849557884326497
process_pmf_development_methodologies_agile_development,0.027608279915360003
tech_tf_architecture_multi_tier_with_web_public_interface,0.03310268908511489
project_prf_year_of_project,0.04599137122189119
project_prf_relative_size_xs,0.17975608452252936
project_prf_application_type,0.18714817303622414
project_prf_functional_size,0.2904793870809854
project_prf_max_team_size,0.47421854855039314
