feature,shap_importance
project_prf_max_team_size,0.5422508720675049
tech_tf_architecture_stand_alone,0.1742938094488926
project_prf_functional_size,0.06851427776252673
external_eef_industry_sector,0.04048118939389541
external_eef_organisation_type,0.030081497258414157
process_pmf_docs,0.02945307905246828
external_eef_data_quality_rating_b,0.02492713611518369
project_prf_cost_currency_european__euro,0.018503995351546947
tech_tf_primary_programming_language_java,0.017803615788515012
tech_tf_development_platform_multi,0.016061595428457354
project_prf_team_size_group_2,0.01590720764014129
people_prf_personnel_changes,0.011663747777029214
project_prf_relative_size_xxs,0.00986670622901978
project_prf_application_type,0.00901810591928965
tech_tf_server_roles,0.008921527482863699
tech_tf_development_platform_pc,0.007469784517970653
tech_tf_development_platform_proprietary,0.005665882924818559
project_prf_relative_size_m1,0.005130635309287148
process_pmf_development_methodologies_agile_development__iterative,0.00383146151739609
project_prf_year_of_project,0.0036123121846591533
process_pmf_development_methodologies_agile_development,0.0026326666527071605
project_prf_team_size_group_21_30,0.001964525099746364
project_prf_application_group_mathematically_intensive_application,0.0018647568290066445
project_prf_relative_size_s,0.001798939852010299
tech_tf_primary_programming_language_c__,0.0010558206143384998
tech_tf_development_platform_mr,0.0
process_pmf_development_methodologies_personal_software_process__psp___unified_process,0.0
project_prf_application_group_business_application,0.0
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,0.0
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,0.0
process_pmf_development_methodologies_agile_development__scrum,0.0
process_pmf_development_methodologies_agile_development__unified_process,0.0
tech_tf_architecture_client_server,0.0
project_prf_team_size_group_9_14,0.0
tech_tf_architecture_multi_tier,0.0
tech_tf_architecture_multi_tier_with_web_public_interface,0.0
tech_tf_tools_used,0.0
tech_tf_client_server_no,0.0
tech_tf_client_server_yes,0.0
tech_tf_web_development_web,0.0
tech_tf_dbms_used_yes,0.0
project_prf_cost_currency_canada__dollar,0.0
project_prf_team_size_group_Missing,0.0
project_prf_team_size_group_5_8,0.0
project_prf_team_size_group_61_70,0.0
tech_tf_language_type_4GL,0.0
tech_tf_language_type_5GL,0.0
tech_tf_primary_programming_language_abap,0.0
tech_tf_primary_programming_language_c_,0.0
project_prf_development_type_re_development,0.0
tech_tf_primary_programming_language_javascript,0.0
tech_tf_primary_programming_language_oracle,0.0
tech_tf_primary_programming_language_pl_i,0.0
tech_tf_primary_programming_language_proprietary_agile_platform,0.0
project_prf_development_type_new_development,0.0
project_prf_application_group_real_time_application,0.0
project_prf_relative_size_m2,0.0
project_prf_relative_size_xs,0.0
project_prf_application_group_infrastructure_software,0.0
project_prf_team_size_group_3_4,0.0
project_prf_team_size_group_41_50,0.0
project_prf_relative_size_l,0.0
