feature,shap_importance
tech_tf_architecture_stand_alone,0.3524559487099126
tech_tf_development_platform_pc,0.19493366733273593
project_prf_max_team_size,0.11436793928455448
process_pmf_docs,0.062266109303947235
project_prf_application_type,0.051707599831668366
tech_tf_development_platform_multi,0.04654006652609565
external_eef_industry_sector,0.033125238968465115
external_eef_data_quality_rating_b,0.02619924133724581
project_prf_year_of_project,0.02563216316202532
project_prf_team_size_group_Missing,0.02471691606435766
project_prf_relative_size_m1,0.022481787357379445
project_prf_relative_size_xs,0.020541876312556794
external_eef_organisation_type,0.018098549664423272
tech_tf_dbms_used_yes,0.01749691479745584
tech_tf_client_server_yes,0.016076983776708863
tech_tf_primary_programming_language_c_,0.014742923140815016
tech_tf_development_platform_proprietary,0.012882733980983304
tech_tf_language_type_4GL,0.012687353005537168
project_prf_relative_size_xxs,0.012417145498711734
tech_tf_client_server_no,0.012316743003958663
tech_tf_language_type_5GL,0.011515261616418736
tech_tf_primary_programming_language_proprietary_agile_platform,0.009357385467845106
process_pmf_development_methodologies_agile_development,0.00893112088047971
project_prf_cost_currency_european__euro,0.0070026685479307885
people_prf_personnel_changes,0.005484820286221473
project_prf_team_size_group_21_30,0.005017465733662367
project_prf_functional_size,0.0036708430621054055
project_prf_development_type_new_development,0.003343669924120657
project_prf_application_group_business_application,0.0032834918137149174
project_prf_cost_currency_canada__dollar,0.0032427045865870033
process_pmf_development_methodologies_agile_development__iterative,0.0032064375146460735
tech_tf_web_development_web,0.0031972145504402982
project_prf_team_size_group_41_50,0.0026607430606781506
project_prf_team_size_group_9_14,0.0024509031285515183
tech_tf_architecture_multi_tier_with_web_public_interface,0.0021561582648884467
tech_tf_development_platform_mr,0.0019035972665149832
project_prf_team_size_group_5_8,0.0018766025098613012
project_prf_development_type_re_development,0.0017408159833142308
tech_tf_architecture_client_server,0.0016918550012181123
project_prf_team_size_group_2,0.0010856805945655375
project_prf_application_group_mathematically_intensive_application,0.0009676460051087371
project_prf_relative_size_s,0.0008189844434611316
tech_tf_primary_programming_language_javascript,0.0006025524509651092
project_prf_relative_size_m2,0.000565192813918853
tech_tf_tools_used,0.0004935277221928399
process_pmf_development_methodologies_agile_development__unified_process,0.0002918216463633323
tech_tf_architecture_multi_tier,0.0001297648666626961
tech_tf_primary_programming_language_c__,0.00011689018772122116
tech_tf_server_roles,0.0
process_pmf_development_methodologies_personal_software_process__psp___unified_process,0.0
tech_tf_primary_programming_language_abap,0.0
process_pmf_development_methodologies_agile_development__scrum,0.0
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,0.0
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,0.0
project_prf_application_group_infrastructure_software,0.0
project_prf_team_size_group_61_70,0.0
project_prf_team_size_group_3_4,0.0
project_prf_application_group_real_time_application,0.0
tech_tf_primary_programming_language_pl_i,0.0
tech_tf_primary_programming_language_oracle,0.0
tech_tf_primary_programming_language_java,0.0
project_prf_relative_size_l,0.0
