feature,mean_importance
project_prf_relative_size_m1,-0.0003961974431898163
tech_tf_language_type_4GL,-0.0001999879843816721
external_eef_organisation_type,-0.00019470307653351448
project_prf_cost_currency_european__euro,-0.00010532241672068787
project_prf_development_type_re_development,-4.943303767092622e-05
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,0.0
tech_tf_language_type_5GL,0.0
tech_tf_development_platform_multi,1.1102230246251566e-17
tech_tf_primary_programming_language_c__,1.1102230246251566e-17
tech_tf_development_platform_pc,1.1102230246251566e-17
process_pmf_development_methodologies_agile_development__unified_process,1.1102230246251566e-17
project_prf_team_size_group_41_50,1.1102230246251566e-17
project_prf_team_size_group_3_4,1.1102230246251566e-17
tech_tf_tools_used,1.6653345369377347e-17
tech_tf_architecture_multi_tier,1.6653345369377347e-17
process_pmf_development_methodologies_agile_development__iterative,2.2204460492503132e-17
tech_tf_primary_programming_language_java,2.2204460492503132e-17
tech_tf_development_platform_proprietary,2.2204460492503132e-17
tech_tf_architecture_client_server,2.2204460492503132e-17
project_prf_team_size_group_21_30,2.2204460492503132e-17
project_prf_application_group_infrastructure_software,2.2204460492503132e-17
tech_tf_web_development_web,2.2204460492503132e-17
process_pmf_docs,2.2204460492503132e-17
project_prf_cost_currency_canada__dollar,2.2204460492503132e-17
project_prf_team_size_group_9_14,2.2204460492503132e-17
tech_tf_client_server_no,2.2204460492503132e-17
tech_tf_primary_programming_language_pl_i,2.2204460492503132e-17
project_prf_relative_size_l,2.7755575615628914e-17
project_prf_team_size_group_Missing,2.7755575615628914e-17
project_prf_year_of_project,2.7755575615628914e-17
project_prf_application_group_mathematically_intensive_application,2.7755575615628914e-17
process_pmf_development_methodologies_agile_development__scrum,3.3306690738754695e-17
project_prf_application_type,3.3306690738754695e-17
project_prf_functional_size,3.3306690738754695e-17
project_prf_team_size_group_61_70,3.3306690738754695e-17
tech_tf_server_roles,3.3306690738754695e-17
tech_tf_dbms_used_yes,3.3306690738754695e-17
tech_tf_primary_programming_language_oracle,3.3306690738754695e-17
tech_tf_primary_programming_language_proprietary_agile_platform,3.3306690738754695e-17
project_prf_relative_size_xxs,3.3306690738754695e-17
project_prf_application_group_real_time_application,3.3306690738754695e-17
tech_tf_development_platform_mr,3.3306690738754695e-17
project_prf_relative_size_m2,3.3306690738754695e-17
tech_tf_primary_programming_language_c_,3.3306690738754695e-17
tech_tf_primary_programming_language_javascript,3.3306690738754695e-17
project_prf_team_size_group_2,3.3306690738754695e-17
tech_tf_architecture_multi_tier_with_web_public_interface,3.3306690738754695e-17
tech_tf_client_server_yes,3.8857805861880476e-17
project_prf_relative_size_s,3.8857805861880476e-17
process_pmf_development_methodologies_agile_development,4.4408920985006264e-17
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,4.4408920985006264e-17
project_prf_application_group_business_application,4.4408920985006264e-17
project_prf_development_type_new_development,4.4408920985006264e-17
tech_tf_primary_programming_language_abap,4.4408920985006264e-17
Cluster,4.4408920985006264e-17
project_prf_relative_size_xs,4.4408920985006264e-17
process_pmf_development_methodologies_personal_software_process__psp___unified_process,4.4408920985006264e-17
Dist_Cluster_2,8.645474429586076e-06
external_eef_data_quality_rating_b,5.460782128020036e-05
external_eef_industry_sector,0.00016351224201574532
project_prf_team_size_group_5_8,0.00027042725606368225
Dist_Cluster_4,0.0005901844254763589
people_prf_personnel_changes,0.0006689205430393808
Dist_Cluster_3,0.0009447715739157204
Dist_Cluster_5,0.002519084643872732
Dist_Cluster_0,0.04970473858175242
Dist_Cluster_1,0.07059427271104368
project_prf_max_team_size,0.13508265805740613
tech_tf_architecture_stand_alone,0.859364186358804
