feature,mean_importance
tech_tf_server_roles,-0.0007926871089531135
tech_tf_tools_used,-0.00019743380270388077
tech_tf_development_platform_pc,-0.000185177479493695
tech_tf_language_type_4GL,-0.00010782812356471271
project_prf_team_size_group_9_14,-3.757519932196807e-05
tech_tf_primary_programming_language_proprietary_agile_platform,0.0
project_prf_relative_size_m1,0.0
project_prf_relative_size_m2,0.0
project_prf_relative_size_xxs,0.0
project_prf_team_size_group_21_30,0.0
project_prf_team_size_group_3_4,0.0
project_prf_team_size_group_41_50,0.0
project_prf_team_size_group_5_8,0.0
project_prf_team_size_group_61_70,0.0
project_prf_team_size_group_Missing,0.0
process_pmf_development_methodologies_agile_development__iterative,0.0
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,0.0
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,0.0
process_pmf_development_methodologies_agile_development__scrum,0.0
process_pmf_development_methodologies_agile_development__unified_process,0.0
process_pmf_development_methodologies_personal_software_process__psp___unified_process,0.0
tech_tf_architecture_client_server,0.0
tech_tf_architecture_multi_tier,0.0
tech_tf_architecture_multi_tier_with_web_public_interface,0.0
tech_tf_client_server_no,0.0
tech_tf_client_server_yes,0.0
tech_tf_dbms_used_yes,0.0
project_prf_relative_size_l,0.0
tech_tf_primary_programming_language_pl_i,0.0
project_prf_cost_currency_european__euro,0.0
tech_tf_development_platform_mr,0.0
project_prf_application_group_real_time_application,0.0
project_prf_application_group_business_application,0.0
project_prf_development_type_re_development,0.0
external_eef_data_quality_rating_b,0.0
tech_tf_development_platform_multi,0.0
tech_tf_development_platform_proprietary,0.0
project_prf_application_group_mathematically_intensive_application,0.0
tech_tf_language_type_5GL,0.0
tech_tf_primary_programming_language_c_,0.0
tech_tf_primary_programming_language_c__,0.0
people_prf_personnel_changes,0.0
tech_tf_primary_programming_language_javascript,0.0
tech_tf_primary_programming_language_abap,0.0
project_prf_application_group_infrastructure_software,0.0
project_prf_relative_size_s,3.666284155778299e-05
project_prf_development_type_new_development,0.0005318918571603187
project_prf_relative_size_xs,0.000650654137770329
project_prf_team_size_group_2,0.0009838474478863824
project_prf_cost_currency_canada__dollar,0.001433882728907493
tech_tf_web_development_web,0.0022237463485665133
tech_tf_architecture_stand_alone,0.004398608527734285
tech_tf_primary_programming_language_oracle,0.0070730326258415434
external_eef_organisation_type,0.007803286276486926
tech_tf_primary_programming_language_java,0.00811077462912504
project_prf_year_of_project,0.01351449344477268
process_pmf_development_methodologies_agile_development,0.015271039129974717
process_pmf_docs,0.018793153027978994
project_prf_application_type,0.022663397454632576
external_eef_industry_sector,0.023226791105883313
project_prf_functional_size,0.15567876085060334
project_prf_max_team_size,1.1691635192305803
