feature,mean_importance
process_pmf_development_methodologies_agile_development,-0.003316079872392902
tech_tf_primary_programming_language_c_,-0.0031541464995822276
project_prf_application_type,-0.001398569147554951
project_prf_team_size_group_2,-0.0004114789072255931
process_pmf_docs,-0.00013867538289143999
tech_tf_web_development_web,-3.3306690738754695e-17
project_prf_application_group_business_application,-2.7755575615628914e-17
project_prf_team_size_group_3_4,-2.4980018054066023e-17
process_pmf_development_methodologies_agile_development__scrum,-2.2204460492503132e-17
tech_tf_language_type_5GL,-1.9428902930940238e-17
tech_tf_tools_used,-1.9428902930940238e-17
tech_tf_primary_programming_language_javascript,-1.9428902930940238e-17
project_prf_relative_size_m1,-1.9428902930940238e-17
project_prf_relative_size_m2,-1.6653345369377347e-17
tech_tf_primary_programming_language_pl_i,-1.6653345369377347e-17
tech_tf_primary_programming_language_c__,-1.6653345369377347e-17
tech_tf_development_platform_mr,-1.6653345369377347e-17
project_prf_relative_size_s,-1.6653345369377347e-17
tech_tf_architecture_multi_tier_with_web_public_interface,-1.6653345369377347e-17
tech_tf_primary_programming_language_proprietary_agile_platform,-1.3877787807814457e-17
tech_tf_architecture_client_server,-1.3877787807814457e-17
process_pmf_development_methodologies_personal_software_process__psp___unified_process,-1.3877787807814457e-17
tech_tf_client_server_no,-1.1102230246251566e-17
project_prf_cost_currency_canada__dollar,-1.1102230246251566e-17
project_prf_team_size_group_Missing,-1.1102230246251566e-17
process_pmf_development_methodologies_agile_development__unified_process,-1.1102230246251566e-17
project_prf_team_size_group_21_30,-1.1102230246251566e-17
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,-8.326672684688674e-18
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,-8.326672684688674e-18
project_prf_application_group_real_time_application,-8.326672684688674e-18
tech_tf_architecture_multi_tier,-8.326672684688674e-18
project_prf_relative_size_l,-8.326672684688674e-18
project_prf_team_size_group_61_70,-8.326672684688674e-18
project_prf_team_size_group_41_50,-5.551115123125783e-18
project_prf_team_size_group_5_8,-5.551115123125783e-18
project_prf_cost_currency_european__euro,-5.551115123125783e-18
project_prf_development_type_re_development,-5.551115123125783e-18
tech_tf_development_platform_proprietary,-5.551115123125783e-18
project_prf_development_type_new_development,-5.551115123125783e-18
tech_tf_development_platform_multi,-5.551115123125783e-18
tech_tf_primary_programming_language_oracle,-2.7755575615628915e-18
tech_tf_server_roles,-2.7755575615628915e-18
process_pmf_development_methodologies_agile_development__iterative,-2.7755575615628915e-18
project_prf_application_group_infrastructure_software,0.0
tech_tf_dbms_used_yes,0.0
tech_tf_client_server_yes,0.0
tech_tf_primary_programming_language_abap,2.7755575615628915e-18
project_prf_application_group_mathematically_intensive_application,5.551115123125783e-18
tech_tf_language_type_4GL,0.0021912387108072194
tech_tf_primary_programming_language_java,0.00239707687005008
external_eef_data_quality_rating_b,0.002503536092627945
project_prf_team_size_group_9_14,0.004237395311502423
external_eef_organisation_type,0.00444992065382784
people_prf_personnel_changes,0.011046856826638172
tech_tf_development_platform_pc,0.015528836662644685
project_prf_relative_size_xxs,0.02738714059089924
project_prf_functional_size,0.030940829128922615
project_prf_relative_size_xs,0.031462167403751296
project_prf_year_of_project,0.035838301056821245
external_eef_industry_sector,0.11142148304800234
project_prf_max_team_size,0.28993932709794845
tech_tf_architecture_stand_alone,0.39687597427892757
