feature,mean_importance
project_prf_application_type,-0.019646300839179898
external_eef_industry_sector,-0.002456274267974301
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,-6.661338147750939e-17
people_prf_personnel_changes,-6.661338147750939e-17
tech_tf_architecture_multi_tier,-4.4408920985006264e-17
project_prf_team_size_group_9_14,-4.4408920985006264e-17
tech_tf_development_platform_multi,-4.4408920985006264e-17
project_prf_application_group_business_application,-4.4408920985006264e-17
project_prf_team_size_group_21_30,-3.3306690738754695e-17
tech_tf_client_server_no,-3.3306690738754695e-17
tech_tf_development_platform_proprietary,-2.2204460492503132e-17
project_prf_application_group_infrastructure_software,-2.2204460492503132e-17
project_prf_relative_size_s,-2.2204460492503132e-17
process_pmf_development_methodologies_personal_software_process__psp___unified_process,-2.2204460492503132e-17
project_prf_development_type_re_development,-2.2204460492503132e-17
tech_tf_web_development_web,-2.2204460492503132e-17
process_pmf_development_methodologies_agile_development__scrum,-2.2204460492503132e-17
process_pmf_development_methodologies_agile_development,-1.1102230246251566e-17
tech_tf_primary_programming_language_pl_i,-1.1102230246251566e-17
tech_tf_primary_programming_language_java,-1.1102230246251566e-17
process_pmf_development_methodologies_agile_development__iterative,-1.1102230246251566e-17
tech_tf_primary_programming_language_c_,-1.1102230246251566e-17
tech_tf_primary_programming_language_proprietary_agile_platform,-1.1102230246251566e-17
tech_tf_development_platform_mr,-1.1102230246251566e-17
tech_tf_architecture_client_server,-1.1102230246251566e-17
tech_tf_dbms_used_yes,-1.1102230246251566e-17
tech_tf_language_type_5GL,-1.1102230246251566e-17
tech_tf_primary_programming_language_abap,0.0
tech_tf_language_type_4GL,0.0
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,0.0
project_prf_application_group_real_time_application,0.0
project_prf_cost_currency_canada__dollar,0.0
tech_tf_tools_used,0.0
tech_tf_architecture_multi_tier_with_web_public_interface,0.0
project_prf_team_size_group_Missing,0.0
tech_tf_client_server_yes,0.0
process_pmf_development_methodologies_agile_development__unified_process,0.0
project_prf_team_size_group_3_4,1.1102230246251566e-17
project_prf_team_size_group_61_70,1.1102230246251566e-17
project_prf_year_of_project,1.1102230246251566e-17
tech_tf_development_platform_pc,1.1102230246251566e-17
project_prf_development_type_new_development,1.1102230246251566e-17
tech_tf_primary_programming_language_oracle,1.1102230246251566e-17
project_prf_relative_size_m2,1.1102230246251566e-17
project_prf_cost_currency_european__euro,1.1102230246251566e-17
project_prf_relative_size_xs,1.1102230246251566e-17
project_prf_relative_size_xxs,2.2204460492503132e-17
tech_tf_server_roles,2.2204460492503132e-17
project_prf_application_group_mathematically_intensive_application,2.2204460492503132e-17
project_prf_team_size_group_5_8,2.2204460492503132e-17
project_prf_relative_size_m1,3.3306690738754695e-17
process_pmf_docs,3.3306690738754695e-17
project_prf_team_size_group_41_50,3.3306690738754695e-17
tech_tf_primary_programming_language_javascript,3.3306690738754695e-17
project_prf_relative_size_l,3.3306690738754695e-17
project_prf_team_size_group_2,3.3306690738754695e-17
tech_tf_primary_programming_language_c__,4.4408920985006264e-17
external_eef_data_quality_rating_b,4.4408920985006264e-17
project_prf_functional_size,0.00048506325304062956
external_eef_organisation_type,0.004510141314195281
tech_tf_architecture_stand_alone,0.14212220485770183
project_prf_max_team_size,0.6361366217121172
