feature,mean_importance
external_eef_organisation_type,-0.001752613508770623
tech_tf_dbms_used_yes,-0.00016743343017104894
project_prf_team_size_group_Missing,-0.0001647585107891203
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,1.1102230246251566e-17
project_prf_relative_size_l,2.2204460492503132e-17
project_prf_team_size_group_2,2.2204460492503132e-17
project_prf_application_group_business_application,2.2204460492503132e-17
project_prf_relative_size_xxs,2.7755575615628914e-17
process_pmf_development_methodologies_personal_software_process__psp___unified_process,2.7755575615628914e-17
process_pmf_development_methodologies_agile_development__scrum,3.3306690738754695e-17
project_prf_year_of_project,3.8857805861880476e-17
tech_tf_primary_programming_language_c_,3.8857805861880476e-17
project_prf_functional_size,3.8857805861880476e-17
external_eef_data_quality_rating_b,3.8857805861880476e-17
project_prf_team_size_group_9_14,4.4408920985006264e-17
project_prf_application_group_real_time_application,4.4408920985006264e-17
project_prf_development_type_re_development,4.4408920985006264e-17
tech_tf_development_platform_mr,4.4408920985006264e-17
project_prf_relative_size_xs,4.4408920985006264e-17
tech_tf_architecture_multi_tier_with_web_public_interface,4.4408920985006264e-17
project_prf_application_group_infrastructure_software,4.4408920985006264e-17
project_prf_team_size_group_41_50,4.9960036108132046e-17
process_pmf_development_methodologies_agile_development,4.9960036108132046e-17
project_prf_relative_size_s,4.9960036108132046e-17
tech_tf_primary_programming_language_pl_i,5.551115123125783e-17
tech_tf_primary_programming_language_proprietary_agile_platform,5.551115123125783e-17
tech_tf_language_type_4GL,5.551115123125783e-17
tech_tf_primary_programming_language_oracle,6.106226635438361e-17
tech_tf_language_type_5GL,6.106226635438361e-17
project_prf_application_type,6.106226635438361e-17
project_prf_relative_size_m2,6.106226635438361e-17
tech_tf_architecture_client_server,6.106226635438361e-17
tech_tf_server_roles,6.106226635438361e-17
project_prf_team_size_group_21_30,6.106226635438361e-17
project_prf_development_type_new_development,6.106226635438361e-17
tech_tf_primary_programming_language_c__,6.106226635438361e-17
tech_tf_primary_programming_language_java,6.661338147750939e-17
tech_tf_web_development_web,6.661338147750939e-17
tech_tf_client_server_yes,6.661338147750939e-17
tech_tf_client_server_no,6.661338147750939e-17
process_pmf_development_methodologies_agile_development__iterative,6.661338147750939e-17
tech_tf_tools_used,6.661338147750939e-17
project_prf_application_group_mathematically_intensive_application,6.661338147750939e-17
project_prf_team_size_group_3_4,6.661338147750939e-17
project_prf_cost_currency_canada__dollar,6.661338147750939e-17
project_prf_team_size_group_61_70,6.661338147750939e-17
tech_tf_development_platform_proprietary,7.216449660063518e-17
external_eef_industry_sector,7.216449660063518e-17
tech_tf_development_platform_multi,7.216449660063518e-17
tech_tf_primary_programming_language_javascript,7.216449660063518e-17
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,7.216449660063518e-17
process_pmf_development_methodologies_agile_development__unified_process,7.216449660063518e-17
tech_tf_architecture_multi_tier,7.771561172376095e-17
tech_tf_primary_programming_language_abap,8.326672684688674e-17
project_prf_cost_currency_european__euro,0.00012562947752885466
project_prf_team_size_group_5_8,0.0010478130039569267
project_prf_relative_size_m1,0.003674494380187865
tech_tf_development_platform_pc,0.012570994742101532
process_pmf_docs,0.025254931977312312
people_prf_personnel_changes,0.03180051989253989
project_prf_max_team_size,0.3318070640836888
tech_tf_architecture_stand_alone,0.9555036627015518
