feature,mean_importance
project_prf_relative_size_m1_True,-0.0023173040153925658
tech_tf_development_platform_pc_True,-0.0008141776911924331
project_prf_relative_size_s_True,-0.0005839903644129923
process_pmf_docs,-0.0005220361002814949
project_prf_development_type_new_development_True,-0.0004565304586980262
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process_True,-0.00037348686672553923
external_eef_data_quality_rating_b_True,-0.0003204576974574935
project_prf_relative_size_xs_True,-0.0001367695050050799
tech_tf_primary_programming_language_proprietary_agile_platform_True,0.0
tech_tf_primary_programming_language_pl_i_True,0.0
tech_tf_development_platform_proprietary_True,0.0
project_prf_team_size_group_21_30_True,0.0
tech_tf_primary_programming_language_c__True,0.0
tech_tf_primary_programming_language_abap_True,0.0
tech_tf_language_type_5GL_True,0.0
tech_tf_language_type_4GL_True,0.0
tech_tf_development_platform_multi_True,0.0
tech_tf_primary_programming_language_javascript_True,0.0
tech_tf_primary_programming_language_c___True,0.0
project_prf_team_size_group_41_50_True,0.0
project_prf_team_size_group_5_8_True,0.0
tech_tf_dbms_used_yes_True,0.0
tech_tf_client_server_yes_True,0.0
tech_tf_client_server_no_True,0.0
tech_tf_architecture_multi_tier_with_web_public_interface_True,0.0
tech_tf_architecture_multi_tier_True,0.0
tech_tf_architecture_client_server_True,0.0
project_prf_team_size_group_3_4_True,0.0
process_pmf_development_methodologies_personal_software_process__psp___unified_process_True,0.0
process_pmf_development_methodologies_agile_development__scrum_True,0.0
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams_False,0.0
process_pmf_development_methodologies_agile_development__iterative_True,0.0
project_prf_team_size_group_Missing_True,0.0
project_prf_team_size_group_9_14_True,0.0
project_prf_team_size_group_61_70_False,0.0
process_pmf_development_methodologies_agile_development__unified_process_True,0.0
tech_tf_development_platform_mr_True,0.0
project_prf_cost_currency_european__euro_True,0.0
project_prf_application_group_real_time_application_True,0.0
people_prf_personnel_changes,0.0
external_eef_industry_sector_Missing,0.0
external_eef_industry_sector_banking,0.0
external_eef_industry_sector_communication,0.0
external_eef_industry_sector_electronics & computers,0.0
external_eef_industry_sector_government,0.0
external_eef_industry_sector_manufacturing,0.0
external_eef_industry_sector_service industry,0.0
external_eef_industry_sector_utilities,0.0
external_eef_industry_sector_wholesale & retail,0.0
project_prf_development_type_re_development_True,0.0
tech_tf_server_roles_data acquisation,0.0
tech_tf_server_roles_database server,0.0
tech_tf_server_roles_database server; file &/or print server; html/web server; multi-user legacy application,0.0
tech_tf_server_roles_Missing,0.0
tech_tf_server_roles_database server; html/web server,0.0
project_prf_application_group_mathematically_intensive_application_True,0.0
project_prf_application_group_infrastructure_software_True,0.0
project_prf_application_group_business_application_True,0.0
tech_tf_server_roles_multi-user legacy application,0.0
tech_tf_server_roles_html/web server; security/authentication,0.0
tech_tf_server_roles_html/web server; multi-user legacy application,0.0
tech_tf_server_roles_security/authentication,0.0
tech_tf_server_roles_database server; html/web server; security/authentication,0.0
tech_tf_server_roles_database server; html/web server; mail server; security/authentication,0.0
project_prf_relative_size_m2_True,2.8818620486339986e-05
project_prf_relative_size_l_True,2.9778227911048116e-05
external_eef_industry_sector_medical & health care,0.00012624165136569941
tech_tf_primary_programming_language_java_True,0.0002292521780652451
project_prf_relative_size_xxs_True,0.0010562425653643653
tech_tf_tools_used,0.00130773197917263
project_prf_application_type,0.001362547888949181
external_eef_industry_sector_education,0.005075059926971276
project_prf_team_size_group_2_True,0.005852809943496631
tech_tf_web_development_web_True,0.007069646936634449
project_prf_cost_currency_canada__dollar_True,0.008242618269846227
process_pmf_development_methodologies_agile_development_True,0.008874546114807178
tech_tf_primary_programming_language_oracle_True,0.008904961805489334
tech_tf_architecture_stand_alone_True,0.010782869868053347
project_prf_year_of_project,0.025888239054340144
external_eef_organisation_type,0.0385839075294191
project_prf_functional_size,0.12740131185699705
project_prf_max_team_size,1.0880056409953227
