iter	RMSE
0	8369.027011
1	8323.078246
2	8259.608357
3	8214.708076
4	8170.203414
5	8111.717669
6	8068.071764
7	8019.397845
8	7968.193146
9	7924.054495
10	7870.03622
11	7826.782097
12	7773.07732
13	7719.329018
14	7660.953191
15	7612.817925
16	7566.836766
17	7522.144176
18	7467.223337
19	7428.144317
20	7386.471404
21	7348.05749
22	7297.129296
23	7252.904336
24	7214.646561
25	7168.218196
26	7118.615198
27	7076.026345
28	7039.449296
29	6993.211292
30	6944.785744
31	6904.349091
32	6851.644479
33	6804.759241
34	6765.287553
35	6721.262259
36	6686.819764
37	6647.996594
38	6598.746068
39	6565.372429
40	6522.215926
41	6489.227004
42	6446.483938
43	6409.710581
44	6361.254058
45	6322.388313
46	6286.347017
47	6239.22153
48	6207.996616
49	6172.936915
50	6140.759505
51	6103.636251
52	6069.304322
53	6034.360224
54	6004.367081
55	5974.202506
56	5935.057809
57	5899.670863
58	5857.75812
59	5816.220176
60	5778.881034
61	5742.141112
62	5713.717335
63	5681.713925
64	5643.876574
65	5607.001845
66	5571.318924
67	5543.459458
68	5515.99975
69	5477.079255
70	5441.634262
71	5406.080637
72	5372.096717
73	5338.36735
74	5307.59029
75	5277.445827
76	5234.374384
77	5204.427013
78	5174.982563
79	5145.851878
80	5120.317554
81	5087.194982
82	5059.269908
83	5027.846365
84	4999.325497
85	4962.739727
86	4929.836755
87	4901.406038
88	4870.135063
89	4846.907444
90	4821.967957
91	4791.302176
92	4756.94019
93	4729.563008
94	4693.81145
95	4659.982965
96	4630.547413
97	4603.34125
98	4573.993287
99	4551.336347
100	4523.298619
101	4494.522545
102	4466.952124
103	4437.765131
104	4410.086299
105	4382.437821
106	4357.205573
107	4333.430963
108	4306.369431
109	4281.504308
110	4253.766107
111	4229.008241
112	4208.973842
113	4183.384895
114	4153.395111
115	4127.222147
116	4098.592597
117	4069.462092
118	4044.446086
119	4025.480031
120	4000.640494
121	3979.328256
122	3955.286609
123	3928.33145
124	3903.84879
125	3878.960632
126	3852.629886
127	3828.95633
128	3808.418192
129	3785.207073
130	3760.920029
131	3737.964856
132	3717.049271
133	3694.7282
134	3669.158909
135	3644.49288
136	3622.835828
137	3598.256737
138	3576.672909
139	3552.798987
140	3532.764117
141	3511.89242
142	3490.918507
143	3470.353772
144	3449.98786
145	3426.280504
146	3410.467825
147	3389.709033
148	3371.000989
149	3350.217729
150	3330.65593
151	3310.211753
152	3288.539192
153	3270.463956
154	3250.374557
155	3230.921243
156	3211.820304
157	3192.880831
158	3172.804219
159	3154.318863
160	3134.65859
161	3116.319287
162	3100.35566
163	3082.263233
164	3063.453913
165	3044.868293
166	3026.543271
167	3004.583534
168	2986.799977
169	2965.104188
170	2947.670529
171	2928.926684
172	2912.258618
173	2892.414155
