isbsg_project_id,external_eef_data_quality_rating,project_prf_year_of_project,external_eef_industry_sector,external_eef_organisation_type,project_prf_application_group,project_prf_application_type,project_prf_development_type,tech_tf_development_platform,tech_tf_language_type,tech_tf_primary_programming_language,project_prf_functional_size,project_prf_relative_size,project_prf_normalised_work_effort_level_1,project_prf_normalised_work_effort,project_prf_normalised_level_1_pdr_ufp,project_prf_normalised_pdr_ufp,project_prf_defect_density,project_prf_speed_of_delivery,project_prf_manpower_delivery_rate,project_prf_project_elapsed_time,project_prf_team_size_group,project_prf_max_team_size,project_prf_case_tool_used,process_pmf_development_methodologies,process_pmf_prototyping_used,process_pmf_docs,tech_tf_architecture,tech_tf_client_server,tech_tf_client_roles,tech_tf_server_roles,tech_tf_type_of_server,tech_tf_type_of_server.1,tech_tf_client/server_description,tech_tf_web_development,tech_tf_dbms_used,tech_tf_tools_used,people_prf_project_user_involvement,people_prf_ba_team_experience_less_than_1_yr,people_prf_ba_team_experience_1_to_3_yr,people_prf_ba_team_experience_great_than_3_yr,people_prf_it_experience_less_than_1_yr,people_prf_it_experience_1_to_3_yr,people_prf_it_experience_great_than_3_yr,people_prf_it_experience_less_than_3_yr,people_prf_it_experience_3_to_9_yr,people_prf_it_experience_great_than_9_yr,people_prf_project_manage_experience,people_prf_project_manage_changes,people_prf_personnel_changes,project_prf_total_project_cost,project_prf_cost_currency,project_prf_currency_multiple
26585,a,2011,electronics & computers,"financial, property & business services",business application,catalogue/register of things or events,re-development,proprietary,3gl,.net,182.0,m2,4822,3121,16.7,18.5,1.3,75.4,80.2,4.5,3-4,25.0,no,agile development,,4,multi-tier with web public interface,yes,,,,,,,,0,,0.0,5.0,,,,,1.0,,,,,,92660.0,,
17137,b,2013,financial,"education institution;electricity, gas, water;ieee",business application,mathematical modelling finance or eng.;software development tool,new development,proprietary,3gl,c#,597.0,m1,8499,4215,5.1,6.4,,188.4,,1.7,1,,yes,agile development,,16,,,,,,,,,,0,,,,,,,,,,,19.0,0.0,,118838.0,,
24701,d,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,infrastructure software,content management system;dynamic website,enhancement,pc,5gl,c#,192.0,s,7502,4196,36.6,37.9,,44.2,40.0,2.4,21-30,3.0,yes,agile development,,5,client server,yes,,security/authentication,,,,web,,0,,,,,,,,17.0,,1.0,,,,,"european, euro",no
16039,b,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,91.0,m2,7822,4898,16.8,19.3,0.9,21.0,,7.2,,4.0,,agile development,,1,stand alone,,,,,,,,yes,1,,,2.0,,,,,,5.0,,,0.0,0.0,,,
13784,b,2015,banking,government,business application,surveillance and security,enhancement,pc,3gl,c#,9.0,s,62,44,16.3,17.2,,4.5,,3.2,1,,no,agile development,,17,stand alone,,,,,,,,yes,1,,,,,,,,,3.0,,,,,,,
23552,b,2007,manufacturing,all industry organization types,business application,catalogue/register of things or events,new development,pc,3gl,c#,9.0,s,10,10,1.0,1.1,104.2,7.9,0.3,12.6,21-30,3.0,,agile development,,8,multi-tier with web public interface,yes,,,,,,web,yes,1,,,,0.0,,,,,4.0,,,0.0,,62736.0,,
29310,b,2012,banking,"education institution;electricity, gas, water;ieee",business application,surveillance and security,enhancement,pc,3gl,oracle,41.0,xs,282,272,1.4,1.8,,83.1,172.0,3.4,1,2.0,,agile development,,1,stand alone,,,,,,,,yes,0,,,,,,,,,9.0,,10.0,,,,,
29221,a,2010,education,medical and health care,business application,content management system;dynamic website,new development,proprietary,5gl,java,6.0,xs,102,115,37.0,37.5,,13.4,,4.5,21-30,13.0,,agile development,,3,multi-tier with web public interface,yes,,security/authentication,,,,,,0,,,,,,,,,,1.0,,,,,,
31969,a,2010,education,consumer goods,business application,workflow support & management;complex process control,enhancement,pc,3gl,pl/i,577.0,m2,38452,28743,42.7,44.0,5.5,356.6,,1.9,9-14,20.0,,agile development;joint application development jad;multifunctional teams,,1,stand alone,,,,,,,,yes,0,,,,,,,,0.0,,,14.0,0.0,,,"united states, dollar",
18119,b,2013,government,government,business application,surveillance and security,new development,pc,3gl,c#,35.0,m1,14,14,1.4,1.8,,9.0,16.8,11.8,1,2.0,,agile development,,20,stand alone,,,,,,,,,1,,,,1.0,,,,,1.0,4.0,,,,114409.0,"european, euro",
14535,b,2012,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,proprietary agile platform,6.0,xs,596,461,44.5,43.7,,0.6,,6.0,1,,,agile development,,1,,,web public interface,,,,,,yes,0,,,,8.0,,,,,,,,0.0,,16947.0,"european, euro",
15723,c,2010,electronics & computers,biotech,,data or database management,enhancement,,3gl,java,629.0,m2,2006,969,1.5,2.0,,388.9,266.7,2.1,2,15.0,yes,agile development,yes,20,multi-tier with web public interface,yes,,security/authentication,,,,web,,0,,,0.0,,,,,,,4.0,4.0,0.0,,,"european, euro",no
13784,b,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,19.0,xxs,325,268,12.2,14.0,,2.8,,5.6,1,,,agile development,,12,stand alone,,,,,,,,yes,0,,,,,,,,,,,,,0.0,,,
11801,b,2010,banking,government,infrastructure software,business application,new development,,3gl,c#,16.0,xs,3137,2359,23.1,25.1,16.1,1.0,0.6,8.0,,12.0,,agile development,,1,multi-tier with web public interface,,,,,,,,yes,0,,,,,,,,,,,,,,86095.0,,
11497,a,2013,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,,3gl,c#,39.0,xxs,27,32,0.5,0.5,,12.1,2.5,7.8,,,,agile development,yes,18,,,,security/authentication,,,,,yes,0,,,,2.0,,,,,,,19.0,0.0,,,"european, euro",no
21719,a,2012,service industry,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,business application,new development,proprietary,3gl,c#,720.0,s,24741,11158,66.8,64.8,,,96.3,5.4,9-14,,no,agile development,,15,,,business logic or rule processing;data entry & validation;data retrieval & presentation,,,,,,,0,,,,6.0,,,,,,,,0.0,,,,
14535,b,2014,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,,surveillance and security,enhancement,pc,3gl,c#,57.0,xs,48,34,3.4,3.9,,9.4,,13.0,1,2.0,,agile development,,2,stand alone,yes,,,,,,,yes,0,,,,,,,,,,,,,,,,
23265,b,2010,government,community services,business application,surveillance and security,enhancement,,3gl,java,98.0,m1,8557,4905,50.6,51.6,,28.1,4.3,4.4,,28.0,,agile development,,1,,,,security/authentication,,,,web,yes,0,,0.0,2.0,4.0,,,,2.0,,0.0,,,,,,
29310,b,2015,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,,3gl,c#,38.0,xs,304,179,14.6,16.5,0.1,23.8,,1.0,1,,,agile development,,16,stand alone,,,,,,,,,0,,,,,,,,,,,28.0,,,135970.0,"european, euro",no
11278,b,2008,education,government,business application,content management system;dynamic website,new development,,3gl,c#,14.0,m1,1710,1806,32.5,33.3,,0.5,,18.2,2,10.0,,agile development,yes,1,multi-tier with web public interface,,,html/web server;security/authentication,,,,,yes,1,,0.0,0.0,,,,,5.0,,,,0.0,,,,
19363,b,2009,education,government;community services,business application,customer relationship management,new development,proprietary,4gl,abap,1232.0,l,35530,20713,12.9,14.8,0.0,629.4,268.1,2.0,61-70,68.0,,agile development,,1,multi-tier with web public interface,,,multi-user legacy application,,,,web,,0,,,2.0,,,,,4.0,,,,1.0,,,"european, euro",no
21837,a,2008,education,community services,business application,content management system;dynamic website,new development,proprietary,3gl,.net,402.0,m2,12520,7270,13.9,15.7,,36.7,,13.5,2,33.0,no,agile development;joint application development jad;multifunctional teams,,20,multi-tier with web public interface,yes,business logic or rule processing;data entry & validation;data retrieval & presentation,html/web server;multi-user legacy application,,,,web,yes,1,,0.0,,,,,,17.0,,,,1.0,2.0,,"european, euro",
14345,a,2010,education,surveillance & security,business application,catalogue/register of things or events;logistic or supply planning & control,new development,pc,3gl,.net,451.0,m1,797,312,0.7,0.8,9.8,360.8,97.3,8.0,,5.0,,agile development,,20,client server,yes,,html/web server;security/authentication,,,,,yes,0,,,,2.0,,,,0.0,,,14.0,,0.0,,"european, euro",
25247,a,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,,business application,new development,pc,3gl,c#,541.0,s,1204,420,2.2,2.7,12.5,103.1,236.6,7.3,1,2.0,,agile development;personal software process psp;unified process,,20,stand alone,no,run a computer-human interface;business logic or rule processing;database server,,,,,web,yes,1,,,,,,,,,,,27.0,0.0,,122933.0,"european, euro",
13695,b,2013,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,4.0,xs,9,12,3.3,3.9,,0.2,0.5,14.9,1,2.0,,agile development,,1,stand alone,,,,,,,,yes,1,,,,,,,,,3.0,,,,,,,
25247,a,2014,banking,government,,business application,new development,pc,3gl,c#,433.0,xxs,7592,3752,10.4,12.0,0.3,182.2,,1.7,,2.0,no,agile development,,3,stand alone,,,,,,,,yes,0,,,,4.0,,,,,8.0,,,,,,"european, euro",no
30466,d,2007,service industry,government,business application,workflow support & management;complex process control,new development,pc,3gl,c#,383.0,l,759,785,0.5,0.5,173.9,,,18.8,1,,,agile development;iterative,,16,multi-tier with web public interface,yes,,,,,,web,yes,3,,0.0,,,,,,,,4.0,,1.0,0.0,,"canada, dollar",
15558,b,2010,government,banking,,mathematical modelling finance or eng.;software development tool,new development,pc,3gl,c#,199.0,s,409,284,1.0,1.3,,108.9,,3.3,41-50,8.0,,agile development;unified process,,14,multi-tier with web public interface,,,database server;file &/or print server;html/web server;mail server;security/authentication,,,,web,yes,0,,,,,,,,,6.0,,,,,65138.0,"canada, dollar",no
31969,d,2010,financial,"education institution;electricity, gas, water;ieee",business application,business application,new development,pc,3gl,proprietary agile platform,1025.0,s,30804,17228,34.7,36.6,0.0,108.6,259.5,8.9,3-4,13.0,yes,agile development,yes,15,client server,no,web/html browser,,,,,web,yes,1,,,,,,,,8.0,,,,0.0,1.0,80502.0,"european, euro",
17548,b,2012,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,multi,4gl,c#,9.0,xs,2796,1765,53.5,55.0,0.9,15.5,,1.8,5-8,16.0,,agile development,,1,,,,,,,,,,0,,,0.0,4.0,,,,,,4.0,,,,,,
18119,b,2015,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,pc,3gl,c#,10.0,xs,11,13,2.2,3.0,,10.6,11.9,3.7,1,,no,agile development;unified process,,18,stand alone,,,,,,,,yes,1,,,,,,,,,3.0,,,0.0,,130892.0,"european, euro",
26195,b,2012,banking,government,business application,surveillance and security,enhancement,pc,3gl,java,,xs,887,512,7.3,8.1,,119.8,18.6,1.2,,3.0,,agile development,yes,2,client server,,,security/authentication,,,,web,yes,0,,,,,,,,,7.0,,,,,,,no
23552,b,2013,government,"education institution;electricity, gas, water;ieee",,airport management,new development,multi,5gl,oracle,337.0,m1,594,408,1.4,1.6,0.4,243.9,40.9,1.4,,8.0,,agile development;personal software process psp;unified process,,18,multi-tier with web public interface,,,,,,,,yes,0,,,0.0,6.0,,,,,,1.0,,0.0,,187160.0,"european, euro",no
26861,b,2011,banking,government,business application,business application,new development,pc,4gl,c#,6.0,s,204,295,18.5,19.8,,0.4,,9.7,,,,agile development,,1,multi-tier with web public interface,,web/html browser,security/authentication,,,,web,yes,0,,,,,,,,,,,,,,110951.0,,
16039,a,2005,wholesale & retail,energy,business application,customer relationship management,re-development,pc,3gl,proprietary agile platform,864.0,m2,3079,1704,1.1,1.3,,218.5,20.7,18.3,41-50,,,agile development,,20,multi-tier with web public interface,no,,,,,,web,yes,1,,2.0,8.0,,,,,,,,,2.0,,55592.0,,
31166,b,2007,electronics & computers,information technology,business application,customer relationship management,enhancement,pc,4gl,java,199.0,m1,3328,2549,4.9,5.5,21.3,70.3,,7.2,,15.0,,agile development;unified process,,1,multi-tier with web public interface,yes,,,,,,web,yes,0,,1.0,0.0,,,,,1.0,,,,0.0,,,,
24701,a,2008,government,"education institution;electricity, gas, water;ieee",business application,course management,new development,multi,4gl,c#,181.0,m1,2829,1967,5.6,6.6,,23.2,5.7,15.9,5-8,4.0,yes,agile development,,19,client server,yes,web public interface,html/web server;multi-user legacy application,,,,,yes,2,,1.0,4.0,,,,,0.0,,18.0,,1.0,2.0,,,
18820,a,2012,medical & health care,"education institution;electricity, gas, water;ieee",business application,electronic data interchange,enhancement,multi,3gl,c#,108.0,l,3867,3326,34.1,37.3,2.0,56.8,34.6,6.2,5-8,,yes,agile development;joint application development jad;multifunctional teams,,17,stand alone,yes,business logic or rule processing;data entry & validation;data retrieval & presentation,,,,,,yes,0,,,0.0,5.0,,,,22.0,,,2.0,0.0,2.0,124400.0,,
18820,b,2009,government,surveillance & security,business application,business application,new development,,3gl,java,4.0,xs,10,15,4.9,5.6,,1.2,0.6,5.3,2,,,agile development,,1,,,,,,,,,yes,0,,,5.0,4.0,,,,,5.0,,,,,,,no
17275,b,2012,electronics & computers,"government;real estate & property;education institution;manufacturing;construction;wholesale & retail trade;transport & storage;communications;medical and health care;community services;defence;financial, property & business services;banking;professional",business application,data or database management,new development,multi,5gl,c#,220.0,m2,193,222,0.5,0.5,3.9,67.7,16.5,3.6,9-14,15.0,,agile development,yes,2,multi-tier with web public interface,,,,,,,,,0,,,,,,,,,,,,,,,,
29471,a,2009,government,education institution,business application,catalogue/register of things or events,new development,pc,3gl,java,422.0,l,7685,5451,6.0,7.3,,266.0,,9.0,5-8,13.0,,agile development;multifunctional teams;scrum,,13,,,web/html browser,security/authentication,,,,web,yes,0,,1.0,0.0,4.0,,,,0.0,,2.0,,1.0,1.0,,"european, euro",no
32296,a,2006,medical & health care,consumer goods,business application,customer billing/relationship management,enhancement,,5gl,java,163.0,m2,151,280,0.8,1.0,,49.4,4.4,14.1,,27.0,,agile development;iterative,,12,multi-tier with web public interface,yes,,,,,,web,yes,0,,3.0,0.0,,,,,0.0,,1.0,,0.0,,,"european, euro",
13784,a,2011,,"financial, property & business services",business application,content management system;dynamic website,new development,pc,3gl,oracle,29.0,m1,401,504,8.9,10.8,,170.3,,0.8,5-8,33.0,,agile development,,5,multi-tier with web public interface,yes,,database server;html/web server,,,,web,yes,0,,,,,,,,,,,12.0,,,,"canada, dollar",no
14345,b,2014,service industry,"education institution;electricity, gas, water;ieee",business application,business application,enhancement,proprietary,4gl,.net,52.0,s,157,205,3.3,4.3,,58.6,,1.5,1,25.0,,agile development,,1,multi-tier with web public interface,,,,,,,,,0,,,,,,,,,,,,,,28319.0,,
29310,b,2010,medical & health care,biotech,business application,automated data acquisition,new development,,5gl,abap,667.0,m2,6831,4352,2.1,2.7,13.0,480.0,271.6,0.8,41-50,,,agile development;scrum,,1,multi-tier with web public interface,,,,,,,web,,0,,,,,,,,,,,29.0,,,82415.0,"european, euro",
26608,b,2011,education,"education institution;electricity, gas, water;ieee",business application,airport management,new development,proprietary,5gl,proprietary agile platform,246.0,m1,758,542,3.5,4.3,,84.4,,9.7,,,no,agile development,,20,multi-tier with web public interface,,,data acquisation,,,,web,yes,0,,,,,,,,,,1.0,,1.0,,303536.0,,no
30466,b,2010,service industry,"education institution;electricity, gas, water;ieee",infrastructure software,business application,re-development,multi,3gl,c#,285.0,s,949,556,1.0,1.3,41.0,42.6,,11.1,1,,,agile development,,15,multi-tier with web public interface,,,,,,,web,yes,0,,,,2.0,,,,,,0.0,,,,,,
25247,b,2009,government,transport & storage,business application,course management,new development,pc,4gl,proprietary agile platform,198.0,s,911,603,17.1,17.4,,9.1,14.6,10.3,,9.0,no,agile development,,19,multi-tier with web public interface,,,database server;html/web server;mail server;security/authentication,,,,web,yes,0,,,,,,,,,,0.0,,0.0,0.0,,"european, euro",no
32692,b,2012,manufacturing,"education institution;electricity, gas, water;ieee",business application,surveillance and security,enhancement,multi,3gl,oracle,46.0,xs,385,350,18.3,17.5,6.5,5.6,12.6,10.2,,4.0,,agile development,,1,multi-tier with web public interface,,,,,,,,,0,,,,8.0,,,,,5.0,,31.0,,,52205.0,,
16563,c,2012,banking,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,content management system;dynamic website,enhancement,pc,3gl,c#,736.0,m1,23632,9252,26.1,28.1,,78.3,,14.4,5-8,4.0,no,agile development,yes,20,stand alone,yes,run a computer-human interface;data entry & validation;data retrieval & presentation;web/html browser,,,,,,yes,2,,1.0,5.0,,,,,17.0,,1.0,,0.0,1.0,,,
28393,a,2012,banking,government,business application,clinical archive,enhancement,pc,5gl,oracle,105.0,s,188,172,1.5,1.9,,28.6,63.6,9.3,1,2.0,,agile development,,15,,yes,,,,,,web,yes,0,,,,,,,,,,,11.0,,,112249.0,"european, euro",
25247,b,2009,electronics & computers,high tech,,promotions,enhancement,proprietary,4gl,.net,761.0,m2,16378,9505,1.0,1.2,53.4,214.6,41.9,7.3,2,18.0,,agile development,,1,multi-tier with web public interface,,,,,,,web,yes,0,,,,4.0,,,,,,,24.0,,,,,
26861,a,2006,service industry,education institution,business application,analysis management,re-development,pc,3gl,java,1210.0,m2,34869,23137,9.7,11.0,,137.1,41.7,10.6,3-4,31.0,yes,agile development,,1,multi-tier with web public interface,no,web/html browser,security/authentication,,,,web,yes,1,,1.0,2.0,,,,,8.0,,4.0,,2.0,12.0,107717.0,,
25081,b,2015,banking,government,business application,surveillance and security,enhancement,pc,3gl,c#,36.0,s,13,13,0.6,0.7,0.0,186.8,18.4,1.0,1,,,agile development,,3,stand alone,,,,,,,,yes,0,,,,,,,,,,,,,,4871.0,"canada, dollar",
30658,b,2015,government,government;education institution;wholesale & retail trade;transport & storage;communications;medical and health care;banking,business application,surveillance and security,enhancement,,4gl,proprietary agile platform,13.0,xs,10,10,2.0,2.5,,,,1.8,1,2.0,no,agile development,,2,stand alone,,,,,,,,,0,,,,,,,,,,,,,,346863.0,,no
