feature,importance,model,importance_type,rank
Feature_18,1060,LGBMRegressor,feature_importances_,1
Feature_17,1008,LGBMRegressor,feature_importances_,2
Feature_16,377,LGBMRegressor,feature_importances_,3
Feature_19,335,LGBMRegressor,feature_importances_,4
Feature_37,158,LGBMRegressor,feature_importances_,5
Feature_51,144,LGBMRegressor,feature_importances_,6
Feature_38,132,LGBMRegressor,feature_importances_,7
Feature_1,116,LGBMRegressor,feature_importances_,8
Feature_46,107,LGBMRegressor,feature_importances_,9
Feature_52,107,LGBMRegressor,feature_importances_,10
Feature_79,102,LGBMRegressor,feature_importances_,11
Feature_72,97,LGBMRegressor,feature_importances_,12
Feature_44,95,LGBMRegressor,feature_importances_,13
Feature_40,85,LGBMRegressor,feature_importances_,14
Feature_57,78,LGBMRegressor,feature_importances_,15
Feature_59,76,LGBMRegressor,feature_importances_,16
Feature_56,73,LGBMRegressor,feature_importances_,17
Feature_20,54,LGBMRegressor,feature_importances_,18
Feature_31,51,LGBMRegressor,feature_importances_,19
Feature_22,38,LGBMRegressor,feature_importances_,20
Feature_29,35,LGBMRegressor,feature_importances_,21
Feature_47,35,LGBMRegressor,feature_importances_,22
Feature_78,35,LGBMRegressor,feature_importances_,23
Feature_32,34,LGBMRegressor,feature_importances_,24
Feature_83,32,LGBMRegressor,feature_importances_,25
Feature_27,31,LGBMRegressor,feature_importances_,26
Feature_33,29,LGBMRegressor,feature_importances_,27
Feature_26,29,LGBMRegressor,feature_importances_,28
Feature_28,29,LGBMRegressor,feature_importances_,29
Feature_64,26,LGBMRegressor,feature_importances_,30
Feature_73,26,LGBMRegressor,feature_importances_,31
Feature_61,24,LGBMRegressor,feature_importances_,32
Feature_87,22,LGBMRegressor,feature_importances_,33
Feature_93,22,LGBMRegressor,feature_importances_,34
Feature_86,21,LGBMRegressor,feature_importances_,35
Feature_30,17,LGBMRegressor,feature_importances_,36
Feature_89,16,LGBMRegressor,feature_importances_,37
Feature_24,15,LGBMRegressor,feature_importances_,38
Feature_92,14,LGBMRegressor,feature_importances_,39
Feature_43,13,LGBMRegressor,feature_importances_,40
Feature_42,11,LGBMRegressor,feature_importances_,41
Feature_23,11,LGBMRegressor,feature_importances_,42
Feature_6,9,LGBMRegressor,feature_importances_,43
Feature_49,9,LGBMRegressor,feature_importances_,44
Feature_80,9,LGBMRegressor,feature_importances_,45
Feature_55,8,LGBMRegressor,feature_importances_,46
Feature_75,8,LGBMRegressor,feature_importances_,47
Feature_68,7,LGBMRegressor,feature_importances_,48
Feature_3,7,LGBMRegressor,feature_importances_,49
Feature_50,6,LGBMRegressor,feature_importances_,50
Feature_2,5,LGBMRegressor,feature_importances_,51
Feature_77,5,LGBMRegressor,feature_importances_,52
Feature_71,4,LGBMRegressor,feature_importances_,53
Feature_84,4,LGBMRegressor,feature_importances_,54
Feature_58,4,LGBMRegressor,feature_importances_,55
Feature_70,3,LGBMRegressor,feature_importances_,56
Feature_63,3,LGBMRegressor,feature_importances_,57
Feature_39,2,LGBMRegressor,feature_importances_,58
Feature_7,2,LGBMRegressor,feature_importances_,59
Feature_67,2,LGBMRegressor,feature_importances_,60
Feature_8,2,LGBMRegressor,feature_importances_,61
Feature_15,2,LGBMRegressor,feature_importances_,62
Feature_10,1,LGBMRegressor,feature_importances_,63
Feature_62,1,LGBMRegressor,feature_importances_,64
Feature_65,1,LGBMRegressor,feature_importances_,65
Feature_90,1,LGBMRegressor,feature_importances_,66
Feature_91,1,LGBMRegressor,feature_importances_,67
Feature_88,1,LGBMRegressor,feature_importances_,68
Feature_81,0,LGBMRegressor,feature_importances_,69
Feature_5,0,LGBMRegressor,feature_importances_,70
Feature_82,0,LGBMRegressor,feature_importances_,71
Feature_76,0,LGBMRegressor,feature_importances_,72
Feature_85,0,LGBMRegressor,feature_importances_,73
Feature_4,0,LGBMRegressor,feature_importances_,74
Feature_34,0,LGBMRegressor,feature_importances_,75
Feature_74,0,LGBMRegressor,feature_importances_,76
Feature_13,0,LGBMRegressor,feature_importances_,77
Feature_36,0,LGBMRegressor,feature_importances_,78
Feature_25,0,LGBMRegressor,feature_importances_,79
Feature_41,0,LGBMRegressor,feature_importances_,80
Feature_45,0,LGBMRegressor,feature_importances_,81
Feature_21,0,LGBMRegressor,feature_importances_,82
Feature_48,0,LGBMRegressor,feature_importances_,83
Feature_14,0,LGBMRegressor,feature_importances_,84
Feature_53,0,LGBMRegressor,feature_importances_,85
Feature_69,0,LGBMRegressor,feature_importances_,86
Feature_54,0,LGBMRegressor,feature_importances_,87
Feature_12,0,LGBMRegressor,feature_importances_,88
Feature_11,0,LGBMRegressor,feature_importances_,89
Feature_60,0,LGBMRegressor,feature_importances_,90
Feature_9,0,LGBMRegressor,feature_importances_,91
Feature_35,0,LGBMRegressor,feature_importances_,92
Feature_66,0,LGBMRegressor,feature_importances_,93
Feature_0,0,LGBMRegressor,feature_importances_,94
